# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 15 15:17:41 AEDT 2020 [seed=1579061859498]
# -overwrite dcr_all_2018_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-86081.28856764591	-102.72448767326834	-85978.56407997264	3.526399477827935	3.526399477827935	13.93832963947169	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005000000000000002	-85978.56407997264	0.0	-90.21155220829812
5000	-30017.806729367752	-87.32493597175801	-29930.481793395993	2.3575170617013232	2.3575170617013232	9.902409771141066	1.0285203718766904	-0.215008505236981	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024143823041702674	0.005	0.005000000000000006	-29930.481793395993	0.0	-75.54870407026368
10000	-29587.582701851883	-30.481021390524557	-29557.101680461357	2.3397480680146034	2.3397480680146034	6.615620887906704	0.37051406272409315	-0.13387162421021404	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07060147845686335	0.005	0.005	-29557.101680461357	0.0	-18.69301763928976
15000	-29413.135509331863	19.93570405979242	-29433.071213391657	2.2238810346495392	2.2238810346495392	5.616243436535311	0.21372019713399756	-0.6797703241632096	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05945022427392217	0.005	0.005000000000000001	-29433.071213391657	0.0	32.247302434675674
20000	-29377.720079205537	20.115273053666897	-29397.835352259204	2.151235120152233	2.151235120152233	5.305467960955732	0.25404851036850556	-1.3089683601131217	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3659730178296973	0.005	0.005000000000000001	-29397.835352259204	0.0	33.669115454894744
25000	-29365.268479515194	21.419930508452865	-29386.688410023646	1.8507766155841698	1.8507766155841698	4.692099991981938	0.25653043328180936	-1.751366539059494	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2361588893953042	0.005	0.004999999999999999	-29386.688410023646	0.0	35.15654285657753
30000	-29338.838376055435	37.60775713803038	-29376.446133193465	1.9670708410342794	1.9670708410342794	4.721827813792191	0.17845186489197784	-0.883618447631767	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1595847769634189	0.005	0.005	-29376.446133193465	0.0	50.32347238907786
35000	-29335.32716915086	41.5971115507093	-29376.92428070157	1.9844368076282113	1.9844368076282113	4.677817832441378	0.17024062093365186	-1.7294726785126755	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.18150728522104145	0.005	0.005000000000000001	-29376.92428070157	0.0	55.20252596704049
40000	-29335.497311071744	42.15694927591953	-29377.654260347663	2.1007875843834283	2.1007875843834283	4.911532625814038	0.1830335779680409	-1.3502371079595825	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5416278881710688	0.005	0.005000000000000001	-29377.654260347663	0.0	56.10336945552726
45000	-29335.500297613165	23.467644160460985	-29358.967941773626	2.0618422596502097	2.0618422596502097	4.998042586164196	0.2511852920086156	-0.3090032608604374	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.28624202536649374	0.005	0.005000000000000001	-29358.967941773626	0.0	35.86205944887756
50000	-29345.06659492084	23.0053003185822	-29368.071895239424	2.0334670747417203	2.0334670747417203	4.968681340592265	0.22334851169466824	-0.7391249164942404	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2812352323198131	0.005	0.005000000000000002	-29368.071895239424	0.0	35.819823398171415
