# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 16 09:45:01 AEDT 2020 [seed=1579128297921]
# -overwrite dcr_all_2018_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-111185.31355582387	-902.6276220945568	-110282.68593372931	1.4360113091133693	1.4360113091133693	8.88638424531965	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0016906503905525256	5.366504975955362	7.314014767462788E-4	-110282.68593372931	-799.8900152182607	-90.32328369999404
10000	-33839.39983402725	-1022.8492788608646	-32816.55055516639	61.0563487898237	61.0563487898237	152.38792366577178	4.6012313532559075	-0.1101169314061412	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02415896404025857	0.005	0.06413480027594175	5.095157785766266E-4	3.4594144312917994	-0.015378631006399007	-32816.55055516639	-799.8900152182607	-212.1940651936737
20000	-32147.46578362638	-1020.082222261066	-31127.383561365314	26.39823733059822	26.39823733059822	86.39434161558566	4.697320017940472	-0.017444502273458173	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04483608681456227	0.005	0.2175913210232308	5.398608136167762E-4	3.3387081256032998	-0.045924974940380704	-31127.383561365314	-799.8900152182607	-209.0179562543307
30000	-32023.36881038471	-979.9157573508755	-31043.453053033834	17.39491240566099	17.39491240566099	51.15590076360368	2.497304059899074	-0.17213545497917515	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026200046456561175	0.005	0.13657041124469665	9.099216313103384E-4	3.102826334046341	0.007779882674976535	-31043.453053033834	-799.8900152182607	-168.97715720164575
40000	-30394.352142043193	-1022.4261829025813	-29371.92595914061	17.325720057228434	17.325720057228434	62.26153918763744	5.708501189925649	-0.03828479689978703	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04425779466211868	0.005	0.3784415742733274	3.8890293076956125E-4	4.162324445835059	-0.020649119836265318	-29371.92595914061	-799.8900152182607	-210.85967231396262
50000	-30379.99664254597	-1005.7463742450045	-29374.250268300966	14.919289180496648	14.919289180496648	52.43885336121908	4.806997994569777	-7.284888937211242E-4	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09892966975410189	0.005	0.2793615986102955	4.793909591983448E-4	3.6457051516833383	-0.0010825779270133284	-29374.250268300966	-799.8900152182607	-194.40532515622888
60000	-30402.691896065124	-1023.2321742323065	-29379.459721832816	13.68566473579276	13.68566473579276	54.929605698559364	4.987727768639568	-0.1022487560739953	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0810656588838856	0.005	0.3026693315650009	4.4467537558901644E-4	4.02186165343474	-0.062416614618513916	-29379.459721832816	-799.8900152182607	-211.7554078919292
70000	-30374.932850097597	-1022.314366027355	-29352.61848407024	15.608696076699976	15.608696076699976	59.363718749709086	5.05649578765527	0.011869346288390314	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.32025923648163773	0.005	0.3663268685579776	3.8644544396737503E-4	4.335431101228527	-0.003919176413350182	-29352.61848407024	-799.8900152182607	-210.25861864290877
80000	-30333.264354160823	-1007.5220843396122	-29325.74226982121	18.902271324324474	18.902271324324474	58.42092106433969	4.087302322153381	-0.07932211629761565	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13409763210983708	0.005	0.4594555283009295	4.0321903150811737E-4	4.972874383955459	-0.011735365438845768	-29325.74226982121	-799.8900152182607	-195.49183110660604
90000	-30312.04321906233	-987.6793955219296	-29324.3638235404	16.983280262796793	16.983280262796793	52.036705226193256	3.5071055906416984	-0.00391080910921815	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3543761603413197	0.005	0.3059046956959776	4.916993016909207E-4	4.246045938056281	-0.006403580072717815	-29324.3638235404	-799.8900152182607	-175.74465483943098
100000	-30324.10619643482	-995.5472035174973	-29328.558992917322	22.428019032323178	22.428019032323178	61.73312994909346	4.529586144905703	0.0022787551868481692	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10328893626926998	0.005	0.6298470742501928	3.831360751975999E-4	3.695468323074992	0.007033096315677494	-29328.558992917322	-799.8900152182607	-183.1444319765971
110000	-30338.255376442026	-1016.7502895575814	-29321.505086884445	17.640206816913324	17.640206816913324	63.28345430379267	4.1424415581460625	-0.12567781441434644	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13560183005477336	0.005	0.41479242044555914	3.813076651284708E-4	3.6829246694472704	0.20423191249453498	-29321.505086884445	-799.8900152182607	-204.8046610027424
120000	-30363.693428049064	-1045.734606771617	-29317.958821277447	22.9959634055454	22.9959634055454	99.81477601873847	6.78662002318342	-0.06563262120265034	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.12653057972395773	0.005	0.5784292860408135	2.3843120826270368E-4	3.9818179677322965	0.06768353875752516	-29317.958821277447	-799.8900152182607	-233.37622887208107
130000	-30385.564349432487	-1054.105197508088	-29331.4591519244	29.89717255131185	29.89717255131185	97.09980571529726	6.73891879906841	-0.058995073662986286	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1299726763132043	0.005	0.9612815710152491	2.3649028282372313E-4	3.8275005014573393	-0.03771134269586345	-29331.4591519244	-799.8900152182607	-240.59801658500191
140000	-30381.79715181962	-1056.374958664017	-29325.422193155606	36.6985172993067	36.6985172993067	114.35680426006607	7.571790190394294	-0.08670117480555328	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0214686837726272	0.005	1.1427513785283006	2.1737973086612722E-4	3.873985881415743	-0.03788504543188072	-29325.422193155606	-799.8900152182607	-240.5126618736165
150000	-30353.294829400293	-1032.192933359145	-29321.10189604115	20.960866711707364	20.960866711707364	73.72908270730834	6.668913187889074	-0.036578701966108795	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.3702995571260719	0.005	0.5746233273017336	3.0835064993474707E-4	4.6461683162569285	-0.02627895652500047	-29321.10189604115	-799.8900152182607	-217.3874904773267
160000	-30344.159647481585	-1017.5010529268261	-29326.65859455476	20.375837239598642	20.375837239598642	64.4940433218387	4.5610066987482885	-0.11812030797958983	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4269093182970396	0.005	0.48890552013768707	3.547698131776179E-4	4.767125015529885	0.05320098008202956	-29326.65859455476	-799.8900152182607	-202.7580234172096
170000	-30319.073995581373	-995.4360065282664	-29323.637989053106	14.828908669698912	14.828908669698912	51.26266296633034	3.69552036456317	-0.11748639699776708	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.472574127374197	0.005	0.3205672268693116	4.304760871442477E-4	4.944982153642022	-0.012138454495359554	-29323.637989053106	-799.8900152182607	-181.10730484614584
180000	-30319.69164088139	-989.5673233372584	-29330.12431754413	15.167027834414876	15.167027834414876	47.06228188356252	3.1474475047435946	-0.04130855811713552	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.18602242054150425	0.005	0.2513617684635508	5.278346096650625E-4	4.887110752479606	-0.027338930012264125	-29330.12431754413	-799.8900152182607	-178.09552476362973
190000	-30314.39949998142	-986.3834386033742	-29328.016061378046	22.404790155177498	22.404790155177498	61.50313175721485	3.206936212640077	-0.012131511257613914	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.46340013076050635	0.005	0.3781279012408798	3.643248626353767E-4	4.971911131944477	-0.060755043337278714	-29328.016061378046	-799.8900152182607	-174.005762662948
200000	-30282.851627005784	-963.241018925116	-29319.610608080668	13.067908804917083	13.067908804917083	41.264580543327895	1.9534781065388516	-0.12426074576701085	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5115127547955508	0.005	0.14723664280366686	5.358456229093146E-4	4.430881979514467	0.0029103757375050056	-29319.610608080668	-799.8900152182607	-151.34767481200302
210000	-30303.73849249897	-971.4086862552588	-29332.329806243713	18.507718146954414	18.507718146954414	52.66023637428927	2.758846190603038	-0.21983101643818626	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08865829887396305	0.005	0.21806769937025197	4.382436642483213E-4	5.469174290990854	-0.037930097417023266	-29332.329806243713	-799.8900152182607	-160.0529795599371
220000	-30317.232044135042	-999.1503856567816	-29318.08165847826	25.27341460220792	25.27341460220792	76.68181193634751	4.609235379536715	-0.035589663555048334	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.30184658743155907	0.005	0.3600450488213759	3.119209592739902E-4	4.529550411595165	-0.037210388238529915	-29318.08165847826	-799.8900152182607	-187.12659318498274
230000	-30331.44168165793	-1003.2245676706661	-29328.217113987263	41.32800187294409	41.32800187294409	107.35510950817478	3.361528892450385	-0.09140993879382009	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8370501265610385	0.005	0.5797493491354659	2.375669002616342E-4	5.099138934552349	-0.03296907716711934	-29328.217113987263	-799.8900152182607	-189.41544742149213
240000	-30324.3245955542	-1006.8277327702858	-29317.496862783915	31.62746497731256	31.62746497731256	89.59199735024816	3.9953910585375607	-0.08578266523507527	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.3337648305397896	0.005	0.46917422381804863	2.510259559694283E-4	2.755863545671601	0.11963764854476196	-29317.496862783915	-799.8900152182607	-192.36252942404366
250000	-30338.756195061243	-1016.827221016687	-29321.928974044557	24.391668574577103	24.391668574577103	80.2736162505445	4.952365414816376	0.011764413194411905	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.31200727266960154	0.005	0.2600718856970574	2.9682722800958717E-4	3.979715589227411	0.1553899531588849	-29321.928974044557	-799.8900152182607	-205.10684848284524
260000	-30332.349885344553	-1005.6500583461215	-29326.699826998432	29.942146826888415	29.942146826888415	84.87445955477737	5.238325983608683	-0.08684559853987128	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.16414457929040274	0.005	0.3375755487818707	2.818931502110571E-4	3.848739260422214	-0.027887695050793925	-29326.699826998432	-799.8900152182607	-193.91781616483246
270000	-30317.879371544448	-1002.542445450603	-29315.336926093845	26.446174313531863	26.446174313531863	78.20506637129021	3.5258771165620097	-0.06723428253954666	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4237786651773292	0.005	0.350216881656049	3.1133973612447984E-4	3.5374160412241675	-0.03971074318263057	-29315.336926093845	-799.8900152182607	-190.27263953940675
