# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 16 16:05:37 AEDT 2020 [seed=1579151135467]
# -overwrite dcr_cladeA_2014_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-30241.06896199042	-121.11511991813782	-30119.953842072282	0.30764149050758915	2014.4065241252924	0.9351196948697444	0.1	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.23249132643904488	0.8510270375964986	0.19620342841566216	-30119.953842072282	-129.00668178441995	21.551026388315428
10000	-27081.693866192036	-107.37715200923367	-26974.3167141828	0.2646089503718104	2014.4495566654282	0.6489030524996511	0.04782075614919315	-0.6649915436752447	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.15706631277692243	0.09433650918099507	0.9387169008215474	0.005621996379273064	2.046893672348532	0.3050057738460708	-26974.3167141828	-129.00668178441995	36.60710325619537
20000	-27065.691231597746	-105.14801673178714	-26960.54321486596	0.32594530192272164	2014.3882203138774	0.6344723006012565	0.03915465318524193	-0.22721939566169924	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07731967872754054	0.07604046170925433	0.5331512098777733	0.007153054130591026	1.3057643980144236	-0.06998557531648676	-26960.54321486596	-129.00668178441995	36.91274978089358
30000	-27062.089918111993	-101.2527781337378	-26960.837139978255	0.2436929774261067	2014.470472638374	0.480423435738735	0.03909437881535118	0.13027009250963406	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06290276158717716	0.09112137829266853	0.7393228330470811	0.008565982485662186	1.7621009824417195	0.3873800566082235	-26960.837139978255	-129.00668178441995	41.525777696130326
40000	-27062.511445446427	-101.11146196490876	-26961.39998348152	0.2546461520355392	2014.4595194637645	0.5275063296528767	0.04683255346799656	0.44083305619348856	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.22977196774276687	0.022370733713322415	0.08076704654457173	0.007941871005064646	1.9888541083203541	0.0792629959775381	-26961.39998348152	-129.00668178441995	39.55478588533148
50000	-27076.03740182587	-113.75050821827043	-26962.2868936076	0.22465904908203208	2014.489506566718	0.6904973090501969	0.0783650612484597	0.2121010521689055	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2567207351501674	0.017990661930645118	0.05721012780424065	0.006182341984946652	2.07288214103888	0.18373576525930296	-26962.2868936076	-129.00668178441995	26.427280550173936
60000	-27082.735717327905	-119.7903192163778	-26962.945398111526	0.2830507842101649	2014.4311148315899	0.9443729580874507	0.13675253661766512	-0.40204579116078487	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07065291363598834	0.010595085443960154	0.03355412565125761	0.00516629874995026	1.2766052200803	-0.057947516676246376	-26962.945398111526	-129.00668178441995	19.71060859372116
70000	-27091.013687913433	-127.18940991292257	-26963.82427800051	0.28462032965395545	2014.429545286146	1.2008910214445352	0.24877457844623135	-0.0967611265460595	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016184181837038025	0.009183041574947155	0.04200339255210475	0.0035593151335122377	2.022883662414508	-0.11172392122197201	-26963.82427800051	-129.00668178441995	11.73200196612388
80000	-27091.434639794898	-130.4317922374341	-26961.00284755746	0.445217336132001	2014.2689482796682	1.7188798087326105	0.20286809957602892	-0.11830016985786451	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0914434125576369	0.016205212578689992	0.16116583179779673	0.0024978852484040955	1.716937601016153	0.13899328251151388	-26961.00284755746	-129.00668178441995	9.140673722093352
90000	-27094.951572377	-125.08016364174408	-26969.871408735253	0.21815840569756795	2014.4960072101026	0.9068638460010701	0.1118845564069032	-3.1548329311162058	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02870517941592123	0.021631516780018945	0.07054537822006916	0.005828373231514004	2.4561294726681413	0.4046515051754081	-26969.871408735253	-129.00668178441995	17.587385453128302
