# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 16 09:45:32 AEDT 2020 [seed=1579128330535]
# -overwrite dcr_cladeA_2014_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-27606.257036658193	-161.26368882016436	-27444.99334783803	1.8246237593675367	1.8246237593675367	6.779009421023453	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0016647880155708664	3.122339455934725	0.05279253639568512	-27444.99334783803	-129.00668178441995	-19.842683859442303
10000	-27137.01105818027	-162.54912097466752	-26974.4619372056	0.728181079979145	0.728181079979145	4.667677013101992	0.780317605145369	-0.6933730144220731	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0652254489155669	0.005	0.27906865485754756	8.786305802559902E-4	2.847034618563594	-0.09905237256248307	-26974.4619372056	-129.00668178441995	-21.46708833394354
20000	-27129.879205943602	-158.86478683790253	-26971.0144191057	1.026374794736413	1.026374794736413	5.37911496290456	0.9674247167781553	0.11950351678294435	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04934715407765268	0.005	0.20822823807030164	0.001047315548402345	1.6891773073840994	-0.183908011027137	-26971.0144191057	-129.00668178441995	-18.600899663784126
30000	-27118.7921601345	-149.42653537133106	-26969.36562476317	0.4382995174296753	0.4382995174296753	2.665711765867971	0.8244168023683643	0.5544834349745758	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.12179395604098535	0.005	0.06886002823979406	0.0017488951834437746	1.8232994574586496	-0.19703157564725157	-26969.36562476317	-129.00668178441995	-9.000880734665037
40000	-27107.133621097506	-144.19263717697805	-26962.94098392053	0.5191324009058996	0.5191324009058996	2.4960791432028606	0.6331505110182156	-0.1476806153471395	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.37150132587958584	0.005	0.05810208695685665	0.002045401251193381	1.934031299738099	0.14069874449919206	-26962.94098392053	-129.00668178441995	-3.7066463567739887
50000	-27097.02340428634	-135.3466701442208	-26961.676734142122	0.09214070991188897	0.09214070991188897	0.8733021644108345	0.32568405118887656	1.6933512331429297	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06177055095114937	0.005	0.0031252649824250857	0.0057386414458814395	0.555637037074335	-0.030125112638383536	-26961.676734142122	-129.00668178441995	5.900596203334291
60000	-27100.00460250648	-137.85732126085125	-26962.14728124563	0.1473722974288581	0.1473722974288581	1.1330192383110347	0.4432958535836203	-0.3700160265452155	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1678362451783426	0.005	0.007408075673455296	0.004831244211626568	1.1825569947519532	-0.03472838100941816	-26962.14728124563	-129.00668178441995	2.2915908767516253
70000	-27098.10608176234	-138.67646814891526	-26959.429613613425	0.42334382561554995	0.42334382561554995	1.937999181672622	0.2890533129786267	0.06725163064193729	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.14977227551875139	0.005	0.0074142580790254415	0.002662010801671847	1.2155796915739663	0.08222992682860578	-26959.429613613425	-129.00668178441995	1.1335686582564664
80000	-27103.281947120773	-139.9706888164052	-26963.31125830437	0.4731681593796426	0.4731681593796426	2.277073774658084	0.3266886597037676	0.1458495605607384	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.27389844900450694	0.005	0.011310207405251975	0.0022457567524985385	1.1360182329064077	0.04817578279128535	-26963.31125830437	-129.00668178441995	0.1778864919889802
90000	-27101.80815032388	-138.7960460588831	-26963.012104264995	0.5628439005061519	0.5628439005061519	2.191959096027177	0.4684310698658261	0.18284663961756298	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.15521752234245065	0.005	0.014866714292613513	0.0020059020339272555	1.9171994872949008	-0.11556273205195869	-26963.012104264995	-129.00668178441995	1.162835413329987
