# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 15 15:18:15 AEDT 2020 [seed=1579061893415]
# -overwrite dcr_cladeA_2018_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-28204.928424166792	-73.7942707865535	-28131.134153380237	2.2559954634254864	2.2559954634254864	9.306797239498806	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005	-28131.134153380237	0.0	-61.28133532158327
5000	-27138.42357856285	-19.19317297183558	-27119.230405591017	0.1370685851620569	0.1370685851620569	1.851812043442624	0.454348101677493	0.8880122708303095	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13572762279875986	0.005	0.005000000000000002	-27119.230405591017	0.0	-6.520775446956504
10000	-26945.37065225466	19.379543575771088	-26964.75019583043	0.10967055726689792	0.10967055726689792	1.0097427218283759	0.25342493585639964	4.741173974221671	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3254545326166791	0.005	0.004999999999999999	-26964.75019583043	0.0	36.2845546144457
15000	-26926.916288649983	34.99060744428597	-26961.906896094268	0.058337770719778664	0.058337770719778664	0.7916673292227947	0.17196910387016842	-0.24981927021112682	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10250071350674667	0.005	0.004999999999999999	-26961.906896094268	0.0	46.958355326171855
20000	-26888.177016296126	44.853322722951575	-26933.03033901908	0.060465235931244796	0.060465235931244796	0.7115539583228985	0.17842295810277156	1.3930128634496577	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08683718299934366	0.005	0.005000000000000002	-26933.03033901908	0.0	57.93293720159973
25000	-26852.763351783346	68.75708643820589	-26921.520438221552	0.06237481541819102	0.06237481541819102	0.5878892435474786	0.1112668280314864	0.05788072099099151	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.43866858249752855	0.005	0.005	-26921.520438221552	0.0	81.20523090183045
30000	-26864.08990476404	56.79656136005532	-26920.886466124095	0.06490065171864975	0.06490065171864975	0.6771895252706874	0.11421048191969885	0.7701333867355504	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.39407622109960017	0.005	0.005	-26920.886466124095	0.0	69.86777379606512
35000	-26881.334563721342	48.38399469068414	-26929.718558412027	0.06106103121007841	0.06106103121007841	0.7028495181101141	0.12005049674298024	0.7061889323775208	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.37174275089533293	0.005	0.005000000000000001	-26929.718558412027	0.0	61.34659579032752
40000	-26864.15678745361	55.72531663911053	-26919.882104092718	0.05998956012584851	0.05998956012584851	0.6629348750699986	0.10715419549027075	1.1026039101040226	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.28776587353504846	0.005	0.005	-26919.882104092718	0.0	68.91637883279684
45000	-26844.81858349917	62.819655166804	-26907.638238665975	0.04912915506287963	0.04912915506287963	0.5987939753826466	0.11286249509297676	-0.3584572618395525	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.867243293532011	0.005	0.005000000000000004	-26907.638238665975	0.0	76.42552560930275
