# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 15 15:32:46 AEDT 2020 [seed=1579062764151]
# -overwrite dcr_cladeB_2014_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-44427.7356167616	-81.36663116206985	-44346.36898559953	2.790900504912005	2011.714353803618	6.855056380414645	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.463635187333136	0.9279777246069406	-0.2861667131862538	-44346.36898559953	-59.914645471079815	-8.40717392607752
5000	-26627.93686570534	-69.88783932255	-26558.04902638279	0.8554178522936804	2013.6498364562365	2.387551834906189	0.36323196629673943	-0.6813311694702133	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09183391254620898	0.03040758427673313	0.2871862347450824	5.745808757942511E-4	1.448199831429521	-0.094561864117827	-26558.04902638279	-59.914645471079815	0.6309794210029378
10000	-26620.84547459337	-59.937026520426436	-26560.908448072943	0.22646621219642724	2014.2787880963338	0.7698902910954603	0.09310341497791642	-1.1075487052513449	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1823581523582407	0.01829766599630822	0.28271038366973367	0.0014088656824314534	1.4438602168208998	-0.08767898766813816	-26560.908448072943	-59.914645471079815	11.429044099744932
15000	-26614.03289544699	-49.155748914671484	-26564.87714653232	0.0909939937766703	2014.4142603147534	0.2783396095458628	0.04454941904218254	0.6565097321877813	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5896942650117356	0.018326200314925274	0.08286515608163117	0.004406110839873909	0.9523137287759926	-0.14891971489173217	-26564.87714653232	-59.914645471079815	22.47491463997937
20000	-26612.122070022247	-50.76364646962041	-26561.35842355263	0.10128286328672773	2014.4039714452433	0.29273792536704185	0.04993222356950174	-0.6715142139842234	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.3887407180940734	0.022477364799363797	0.087401663810524	0.00442779303910049	1.5514683420675828	-0.20970537262144015	-26561.35842355263	-59.914645471079815	22.57207375766232
25000	-26610.108389307148	-50.90525015046862	-26559.203139156678	0.126919889280956	2014.378334419249	0.3626932970419132	0.029254945373700755	0.2358289572209198	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.760526442397969	0.030437092852539926	0.3012262110090217	0.004197222608974536	2.286695036452669	0.5619029254782233	-26559.203139156678	-59.914645471079815	21.42872576640463
30000	-26623.460473917865	-63.10181357746067	-26560.358660340404	0.23524047471625698	2014.270013833814	0.8596733193124234	0.28728620044017555	-0.6338157583500585	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6098780350614866	0.010816622394509881	0.06810523640763753	0.0013032245214163935	2.468025757493475	0.04492459052005087	-26560.358660340404	-59.914645471079815	7.678964987920155
35000	-26629.679561969206	-68.43024020382532	-26561.24932176538	0.5428785826021523	2013.962375725928	1.8805067763730554	0.3884350414758144	-0.0969958627161911	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.35859659596624976	0.010520532295473093	0.05738414553184063	7.826466665889237E-4	1.0064726676210973	-0.14829250106936578	-26561.24932176538	-59.914645471079815	0.884228805867468
40000	-26620.454848201254	-60.041980047953274	-26560.4128681533	0.20511778492593472	2014.3001365236041	0.6910620936059686	0.11145447105918059	-1.7393364261146311	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.37466390311591763	0.011263056498664388	0.043870001970864735	0.0019486995873344622	0.859771422516535	-0.07042371387519696	-26560.4128681533	-59.914645471079815	11.429051543115078
45000	-26615.82764694651	-60.24177852609411	-26555.585868420414	0.14677147308404614	2014.358482835446	0.5578190078253861	0.1900426924156293	-0.2845369789722154	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2416210379600914	0.0074308048356015914	0.028996841307676137	0.002571894117929403	1.2934525917539381	-0.06594418969681848	-26555.585868420414	-59.914645471079815	11.359261399752969
50000	-26617.458524718804	-58.09989959950586	-26559.358625119297	0.25332048516737465	2014.2519338233626	0.7064608700806615	0.17718501756910687	1.0052040152797057	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.531344650148489	0.0070875561158619885	0.02683485965036135	0.001776879832598502	1.5871080917908211	0.771384194469202	-26559.358625119297	-59.914645471079815	12.653867124030157
55000	-26620.636299895345	-61.83193817757113	-26558.804361717772	0.1882304303274979	2014.3170238782027	0.6104180056372146	0.3209463143570724	0.7891744369778633	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6153870462937063	0.006228355431447718	0.0465283672185334	0.001283132162600746	1.658882887244529	0.1811362880098284	-26558.804361717772	-59.914645471079815	8.940208326025022
60000	-26624.74334586809	-64.75211316439564	-26559.991232703695	0.24778262399334627	2014.2574716845368	0.9313421877030553	0.16701680344689968	0.9665332957750765	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.6856192718991267	0.003463474031291398	0.014891128108538638	0.001018358566437034	2.215912368553057	-2.5002230212235564E-4	-26559.991232703695	-59.914645471079815	7.737705690613012
