# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 16 09:47:12 AEDT 2020 [seed=1579128430326]
# -overwrite dcr_cladeB_2014_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-27085.697454809088	-82.38423404367268	-27003.313220765416	2.6473633666300476	2.6473633666300476	7.388937621365974	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	8.532107884394332E-4	3.8308000927745516	-0.17159198349007002	-27003.313220765416	-59.914645471079815	-10.05526539629074
10000	-26657.442575465255	-97.94319824870311	-26559.49937721655	3.27771583535697	3.27771583535697	20.302008097523284	28.13064046966141	0.9836880523276694	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5673065157954436	0.005	0.592969536746255	6.539035777592025E-5	1.7589667601796544	-0.16770126092523202	-26559.49937721655	-59.914645471079815	-23.716748600759157
20000	-26655.178048499532	-96.80345024189546	-26558.374598257637	4.485893238640915	4.485893238640915	40.38707394123654	526.1648642942087	1.3049889157085015	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.32679105783719287	0.005	0.3874081279387326	2.575564347916437E-5	1.7589900734059483	0.027425578450501944	-26558.374598257637	-59.914645471079815	-23.348434530671504
30000	-26653.13372912405	-94.829160015724	-26558.304569108324	3.522172418332843	3.522172418332843	32.70810162721562	456.6869952124197	1.682852124140836	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.25529713855676406	0.005	0.6580545238491906	4.19498047353793E-5	1.8579454333521648	-0.26702053368434814	-26558.304569108324	-59.914645471079815	-20.328024525587995
40000	-26656.04113659727	-99.09193698298195	-26556.949199614286	4.276365808638289	4.276365808638289	31.845752945158623	284.13530570065336	1.5117835946779423	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13970842932214989	0.005	0.43599644792916714	3.1793838544098774E-5	2.9955320914329446	-0.12870259186791416	-26556.949199614286	-59.914645471079815	-25.660947185433265
50000	-26649.563573161817	-93.12128488374904	-26556.442288278067	3.5369409918687733	3.5369409918687733	29.094528544497386	1253.140917062903	2.4873508520967267	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.43402545006796095	0.005	0.6431506161163473	4.35684975696514E-5	1.587866126776225	0.04174981823110348	-26556.442288278067	-59.914645471079815	-17.49494122661479
60000	-26650.105823480608	-90.11463256797411	-26559.991190912635	2.300145212806193	2.300145212806193	21.67650681312309	6148.209383249372	4.228566087786316	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4078448133486732	0.005	0.414370798897835	5.4197538740595364E-5	1.923216657431417	0.11794997501089402	-26559.991190912635	-59.914645471079815	-13.436823715582523
70000	-26645.01646004996	-85.13267161406432	-26559.883788435895	1.5646781272170436	1.5646781272170436	15.121653411789385	17788.214042544896	7.356074250962974	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08253597034790004	0.005	0.3189695372091829	8.912684954835571E-5	2.290246040146501	-0.12857297132966966	-26559.883788435895	-59.914645471079815	-6.147776022970621
80000	-26648.090680370504	-85.3401638724933	-26562.75051649801	1.4531480922253837	1.4531480922253837	13.970793010864277	39034.75475551536	8.773960067641577	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01854756766265653	0.005	0.6232692466381362	1.116819228947489E-4	2.004955062106745	-0.19927187798842516	-26562.75051649801	-59.914645471079815	-3.9399947346749227
90000	-26652.152260149982	-90.25923472314486	-26561.893025426838	1.4282265702527612	1.4282265702527612	13.774954695973076	104057.15235239548	10.276280850176484	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.027181977895305715	0.005	0.27721354570225	9.911116413012074E-5	3.8815780260476465	-0.07914987606799789	-26561.893025426838	-59.914645471079815	-7.72741910916513
100000	-26651.992543468557	-92.31220127284573	-26559.680342195712	1.6101565477562432	1.6101565477562432	15.068712496248002	175023.27234514782	8.457848488805876	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01774219479129157	0.005	0.5597386672668762	6.626694673585537E-5	4.022954452871641	-0.09015951453386013	-26559.680342195712	-59.914645471079815	-10.060461021823233
110000	-26652.67114902602	-89.72749687228273	-26562.94365215374	2.0231541424667587	2.0231541424667587	18.634986491898	39943.42968000916	6.312447329385737	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08034829909844984	0.005	0.6296090594322314	6.428418143125673E-5	1.9179403915283058	-0.1281629877367583	-26562.94365215374	-59.914645471079815	-10.637132822221375
120000	-26645.69446031811	-87.03445411184926	-26558.66000620626	1.8408047886792263	1.8408047886792263	16.073977733160817	8437.221500180001	6.269511365567629	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015059952711456584	0.005	0.30616077701576	7.594920097175726E-5	2.211364908036843	-0.03644946031660361	-26558.66000620626	-59.914645471079815	-9.403009647427702
130000	-26654.354789717665	-91.80565186837578	-26562.549137849288	1.4308523630818066	1.4308523630818066	13.549697350057036	2414.5727066608156	7.148524044616989	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.45592000565408886	0.005	0.5532310565801287	8.464696762173487E-5	2.542603312155252	0.2884696704417406	-26562.549137849288	-59.914645471079815	-11.732490268261671
140000	-26653.766442229527	-90.33577132438424	-26563.43067090514	1.4071124054580404	1.4071124054580404	11.440035102690016	2050.1701381902094	7.590801688872662	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6914946234958095	0.005	0.15017019596937167	1.0620966657958808E-4	1.28941374681325	0.03377923785178747	-26563.43067090514	-59.914645471079815	-10.562009451848015
150000	-26645.157967596868	-85.31422799960198	-26559.843739597265	1.4863971430121912	1.4863971430121912	14.392073039864002	17965.688768788717	7.978408074950516	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2917044795544192	0.005	0.24873013661228058	1.0097263406048624E-4	2.5224658388709384	0.06763509515383276	-26559.843739597265	-59.914645471079815	-5.4976050206359695
160000	-26646.411624624223	-85.6827500227488	-26560.728874601475	1.2881928299645995	1.2881928299645995	11.993438799372273	37729.586663178794	10.236350555960824	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.045282077235354885	0.005	0.23813899856294085	1.1921197509528001E-4	1.9927237376442068	0.14247169997907186	-26560.728874601475	-59.914645471079815	-3.935163802614722
170000	-26651.31165346817	-90.2355367439036	-26561.076116724264	1.5458110467632677	1.5458110467632677	14.275054084325884	37936.64331390931	8.223789083031942	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.8465727990136587	0.005	0.1128459615614589	7.695284361361456E-5	1.1858023349366356	-0.19335056816209062	-26561.076116724264	-59.914645471079815	-7.271739097638923
180000	-26648.021237270812	-88.22218504464945	-26559.799052226164	1.5450043638518494	1.5450043638518494	15.098847512439136	52206.775654553494	7.7409389164992595	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.14228393255839983	0.005	0.10583736551179254	9.115188598349165E-5	2.7496347247203397	0.5991845895337977	-26559.799052226164	-59.914645471079815	-9.028139762570543
190000	-26645.75587507577	-88.32686613903336	-26557.42900893674	2.0333631911106007	2.0333631911106007	18.519326939910425	25271.597781486063	5.949560819781865	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04205455436045058	0.005	0.15407286451571311	8.39562262594502E-5	2.459852991578928	-0.06817052733212114	-26557.42900893674	-59.914645471079815	-11.249302991786655
200000	-26651.36530086552	-90.47335560918859	-26560.89194525633	2.1166074219513833	2.1166074219513833	18.91676203079711	11850.899842824127	5.480204329969407	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02822963062325993	0.005	0.718941485959642	5.26632266210929E-5	1.364735004877746	-0.05842829486411232	-26560.89194525633	-59.914645471079815	-12.332399914283561
210000	-26650.063232585137	-87.00645700350579	-26563.05677558163	2.586794646590587	2.586794646590587	25.92036532489385	33686.394856912964	4.470676689023806	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.40136460511630584	0.005	0.2616437127802539	5.69286400003386E-5	1.5969145631112733	-0.0905388525869932	-26563.05677558163	-59.914645471079815	-10.282297369957547
220000	-26656.121358756536	-96.5831752120661	-26559.53818354447	2.987204276351268	2.987204276351268	27.363489055159924	35655.21731228544	3.8991536693836437	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.7359950380043572	0.005	0.43427267721868107	5.40697884237438E-5	2.23960807393948	-0.16296484614479978	-26559.53818354447	-59.914645471079815	-17.2237026145129
230000	-26651.01112105034	-92.08713943002527	-26558.92398162031	3.6251402341412375	3.6251402341412375	34.59294436703567	28622.16229821258	3.146494633942364	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.454409606637947	0.005	0.7380646353115121	3.207099893869632E-5	1.8999064680982511	0.2502252462653533	-26558.92398162031	-59.914645471079815	-15.202451406508423
240000	-26660.81379920114	-96.52937308467713	-26564.28442611646	4.458316096091145	4.458316096091145	36.463271280773476	7304.556219180931	2.4083819992055204	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5240734099422033	0.005	0.7097016464113949	4.442158351846228E-5	2.0681522551590916	-0.18187970024549044	-26564.28442611646	-59.914645471079815	-20.541735116779275
250000	-26657.02384604733	-99.4480074843494	-26557.57583856298	5.555177253479494	5.555177253479494	50.38583258491122	65399.86630532599	2.4119621017057593	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4101980680182731	0.005	0.5070912179824957	2.2635778261053068E-5	2.6245720115559297	-0.09053589453851427	-26557.57583856298	-59.914645471079815	-23.711418282224425
260000	-26657.029754257266	-97.9193395228474	-26559.11041473442	5.815069520525846	5.815069520525846	49.353123148411996	53625.17463898214	2.234079949532354	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9185568697024072	0.005	0.5536905461320959	3.0401439075191254E-5	2.0004930358004915	-0.17015003411731286	-26559.11041473442	-59.914645471079815	-21.321863801742175
