# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 16 16:07:18 AEDT 2020 [seed=1579151237116]
# -overwrite dcr_cladeB_2018_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-29479.184902499717	9.300034526694104	-29488.484937026413	0.21042900420316238	2018.2675028999568	0.7130336649420153	0.1	0.0	0.5	0.25	0.25	-29488.484937026413	0.0	23.138162780809427
10000	-26493.350091866505	26.57913312120067	-26519.929224987707	0.10207258435898528	2018.375859319801	0.28622330751849984	0.025997018239418922	2.4325564884063917	0.14816021372740987	0.003307779191740504	0.0033077791917405044	-26519.929224987707	0.0	40.262612118825416
20000	-26507.20124777372	15.267394475936856	-26522.468642249656	0.09979153185763293	2018.3781403723024	0.4045712417550555	0.08071016092863245	0.08745409814165428	0.1527076518756693	0.0026749636147682773	0.0026749636147682773	-26522.468642249656	0.0	26.33580356198755
30000	-26497.797901734928	24.99676512405096	-26522.79466685898	0.08802232327221347	2018.3899095808877	0.2841729593596978	0.03901174080211124	-0.39533724001199366	0.08733190568914538	0.0026218245960160625	0.002621824596016062	-26522.79466685898	0.0	36.40855802449832
40000	-26493.904459876747	25.22692366723112	-26519.13138354398	0.0769627047062869	2018.4009691994536	0.22583632971252607	0.02327031252874778	-1.0290851107114396	2.3853592895800797	0.004195059868948579	0.004195059868948577	-26519.13138354398	0.0	42.21862622289248
50000	-26504.124032496366	19.511204898934267	-26523.6352373953	0.14052036567631027	2018.3374115384836	0.4337959041790949	0.04460537465768334	-0.5761597345706198	0.5292418438214784	0.0035108261217038626	0.0035108261217038626	-26523.6352373953	0.0	31.92291305348142
60000	-26498.213837258383	27.479262585379892	-26525.693099843764	0.0785189696610003	2018.399412934499	0.21319491826031675	0.015598191221744552	2.6462100028691977	1.8989356404887188	0.005442604712211857	0.005442604712211857	-26525.693099843764	0.0	45.27443250603365
70000	-26492.87582700606	31.22448750179109	-26524.10031450785	0.10729288188069006	2018.3706390222792	0.26806752362794883	0.01362488466795395	-2.6347675139164033	0.4062731363555716	0.004204777084412046	0.004204777084412046	-26524.10031450785	0.0	45.779322474089085
80000	-26499.48292007289	21.360610333648744	-26520.84353040654	0.11040859898603328	2018.367523305174	0.3582503637437458	0.03658521488731505	0.7595466171244323	0.13868103262352557	0.0029010042428371475	0.0029010042428371475	-26520.84353040654	0.0	33.174373807069074
90000	-26511.70879683079	10.281878127185564	-26521.990674957975	0.1653339193253816	2018.3125979848346	0.5663953606884219	0.06268999055426636	-1.2620990496694935	0.11681666383028318	0.0027594717325724483	0.0027594717325724488	-26521.990674957975	0.0	22.300950234303382
100000	-26500.763114320664	19.775351460940918	-26520.538465781603	0.08327158594960464	2018.3946603182103	0.268215009443941	0.04565410710581065	6.4905124616859835	0.4876434302859603	0.00529015269130624	0.005290152691306238	-26520.538465781603	0.0	38.46350192299076
110000	-26496.679380804955	26.507426891397152	-26523.18680769635	0.08643646250841408	2018.3914954416516	0.2570137291152427	0.022481371314140505	-2.351343989738051	0.01838497892494997	0.004290066830378663	0.004290066830378662	-26523.18680769635	0.0	40.034132769847886
120000	-26495.81163427992	25.209510954010273	-26521.021145233928	0.07745185141838559	2018.4004800527416	0.2367624758034635	0.041573609058593856	4.795298633100341	0.043189573982385425	0.004436822197097729	0.00443682219709773	-26521.021145233928	0.0	41.287582806388606
130000	-26497.712291900298	24.956878585320148	-26522.669170485617	0.08536894262214045	2018.3925629615378	0.24134331295795278	0.024917592939885935	-3.3428627844063517	0.9525407736168275	0.004689347625315413	0.004689347625315412	-26522.669170485617	0.0	41.41939411478224
140000	-26525.55532347358	-3.958879507479665	-26521.5964439661	0.17776943031137793	2018.3001624738486	0.7611434348470977	0.18322237911097744	-1.7720313192338877	2.8463860942128463	0.0018803295157786997	0.0018803295157786993	-26521.5964439661	0.0	13.689572336258767
150000	-26521.623124697064	1.6574070728849328	-26523.28053176995	0.18148786535562889	2018.2964440388043	0.7676937391552419	0.15163411702584906	2.5768109205949274	0.31475400455794483	0.001566677818472121	0.0015666778184721213	-26523.28053176995	0.0	14.951616175103165
160000	-26494.804987629406	28.055813688228532	-26522.860801317634	0.08258876390652561	2018.3953431402535	0.2594138214201421	0.022401341726661028	-0.10671745965105539	0.06561653883732732	0.004160958017744828	0.004160958017744828	-26522.860801317634	0.0	39.41240695001846
170000	-26501.28550830236	20.516822988680566	-26521.80233129104	0.10854919637384053	2018.3693827077861	0.36154966881966377	0.05527393125518174	0.6808925576772158	0.12187683902406993	0.004255807617053858	0.004255807617053858	-26521.80233129104	0.0	32.40585371935135
180000	-26503.41169943028	17.90747410396476	-26521.319173534244	0.11495631969129595	2018.3629755844686	0.4119501392138823	0.07167176174931714	0.23160947242878427	0.017320075304265856	0.0025064190656443734	0.0025064190656443734	-26521.319173534244	0.0	28.80763603331045
190000	-26519.944271228684	4.509639528922095	-26524.453910757606	0.19094713428935042	2018.2869847698705	0.7417802234299935	0.14937782667845229	3.063687251882257	0.37120356533171806	0.0023070528696006085	0.0023070528696006085	-26524.453910757606	0.0	18.614808373746218
200000	-26506.912233311883	15.245971526343977	-26522.158204838226	0.12641521630868244	2018.3515166878512	0.41862177834911984	0.03514104657282109	-1.0009258203444396	1.8597121153738814	0.0025124105492795117	0.0025124105492795104	-26522.158204838226	0.0	30.593413792761854
