# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 15 15:20:44 AEDT 2020 [seed=1579062042711]
# -overwrite dcr_cladeB_2018_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-26885.94523633465	-125.49152058388995	-26760.45371575076	1.1811958334938546	1.1811958334938546	4.322869295148184	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0013891720584226018	2.5914384912801682	-0.10568524491053229	-26760.45371575076	-102.03592144986466	-11.041275957723174
5000	-26677.854276695587	-123.35304597452478	-26554.501230721064	0.4997449970394058	0.4997449970394058	2.814024336447082	1.2290383709301989	1.1131510358229282	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0698146957445976	0.005	0.092230055467989	6.096291704342216E-4	3.9395690660428686	-0.02671396787665089	-26554.501230721064	-102.03592144986466	-9.3733284642582
10000	-26636.39091661206	-115.95824355067548	-26520.432673061387	0.2623641218739802	0.2623641218739802	1.5783682347250867	0.388472609327266	0.6297105740076749	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5499688108215489	0.005	0.08932806770913009	5.608138205309675E-4	2.2397212055229536	-0.09146556771991793	-26520.432673061387	-102.03592144986466	-1.5103726410044465
15000	-26635.756641066477	-116.55190377235856	-26519.20473729412	0.3457999547781818	0.3457999547781818	1.7356777405262416	0.4657359428166502	0.5740038068983602	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9513912119760872	0.005	0.11823457682627551	8.391295938145792E-4	3.868384177586696	-0.07048903472983967	-26519.20473729412	-102.03592144986466	-1.2701745275029943
20000	-26646.16549413125	-118.28129456410733	-26527.884199567143	0.42907248355894934	0.42907248355894934	2.1735823830407526	0.6670412296991886	1.5141319231836174	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4757205021484168	0.005	0.07698074503934636	5.427772984049529E-4	3.590740365576325	-0.057868089433184104	-26527.884199567143	-102.03592144986466	-3.1345381049297663
25000	-26649.43651465451	-131.790883812181	-26517.64563084233	0.947044726571473	0.947044726571473	4.004156012578651	2.0787285734460443	0.1493946525748182	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7308473356432409	0.005	0.14928117965933127	2.320124722861326E-4	1.9335793605785307	-0.09715417426202157	-26517.64563084233	-102.03592144986466	-17.281695535889195
30000	-26652.961668709533	-128.72947719662503	-26524.232191512907	1.3482515395406183	1.3482515395406183	4.89348535048835	0.836118632180318	1.505064450241606	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7464602362738559	0.005	0.24384776755638515	2.0440199138572885E-4	1.3387836247954392	-0.15261762719753533	-26524.232191512907	-102.03592144986466	-12.54970598381345
35000	-26654.197942201063	-136.49221463765477	-26517.705727563407	0.8291860272916468	0.8291860272916468	6.393019176511955	3.520461500275757	2.9998865722898165	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5030225406833108	0.005	0.26487617705868904	1.8445356098455864E-4	1.9028244138604793	-0.04422057947985845	-26517.705727563407	-102.03592144986466	-19.241384622040478
40000	-26657.609567258427	-137.56398609036373	-26520.045581168062	0.8153821391079984	0.8153821391079984	7.293017113938572	7.639315579062995	4.226582301340352	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.39485842953985223	0.005	0.5311051978129953	1.8578706090264198E-4	1.969463034899449	-0.07097496854042094	-26520.045581168062	-102.03592144986466	-18.50406031718212
45000	-26656.710318978367	-136.1889616195735	-26520.521357358793	0.8582612781304639	0.8582612781304639	6.852600089714075	16.05217800353063	5.807951815139491	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.17580944543484134	0.005	0.11406915539489208	2.1529249801026314E-4	1.5477924488644523	-0.1750922902383104	-26520.521357358793	-102.03592144986466	-17.23678829943281
