# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 16 09:44:28 AEDT 2020 [seed=1579128264274]
# -overwrite dcr_all_2014_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-83552.4641048259	-282.78712953290056	-83269.67697529301	1.4256524074434551	1.4256524074434551	7.63838179647928	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.010268962560926758	4.826997880670585	-0.03647127600185112	-83269.67697529301	-235.50569461169232	-34.86711174490615
10000	-30969.306285501963	-347.4045521815536	-30621.90173332041	8.754741065729556	8.754741065729556	62.57514221517131	18.87035073795922	0.348788437872499	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2497223321811142	0.005	0.14015686444463973	6.053991280185054E-4	2.8319075249766374	-0.0992718687237948	-30621.90173332041	-235.50569461169232	-100.21565199448312
20000	-30955.73059499282	-353.7426457536253	-30601.987949239196	13.218919824315357	13.218919824315357	78.93391141198052	15.185300050412105	-0.043447454838109856	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2159272836778017	0.005	0.25524560820939757	5.321753057702845E-4	2.943440039441086	-0.09548774360744391	-30601.987949239196	-235.50569461169232	-104.58144726580848
30000	-30938.08930162	-365.7770539923929	-30572.312247627608	18.597689550868324	18.597689550868324	105.41235582761269	25.963408480809925	0.19290246322906013	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.973999328080526	0.005	0.3967951465523154	3.4950480911226974E-4	3.4963787237632706	-0.07355903306699928	-30572.312247627608	-235.50569461169232	-114.52550001126659
40000	-30930.649263061438	-367.61369765628626	-30563.035565405153	21.654768229928642	21.654768229928642	119.84151124042523	44.545863639488644	0.13078762221116946	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5446284144510625	0.005	0.6766801107930596	3.224520184316164E-4	4.279370398353264	-0.05330008215457626	-30563.035565405153	-235.50569461169232	-118.44315962616292
50000	-30947.701151530277	-375.378843503673	-30572.322308026603	22.25394725364475	22.25394725364475	154.24203173796954	38.43542464295171	0.10634892851763689	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6721974960773314	0.005	0.6838881986619826	2.6964180175977493E-4	4.028980184009645	-0.058714767139043576	-30572.322308026603	-235.50569461169232	-125.95604284477389
60000	-30939.615024039256	-365.2993650884217	-30574.315658950836	20.851647138966698	20.851647138966698	117.34583956529153	24.145183957746163	0.11323864022452512	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2871122843546674	0.005	1.0129453539452529	3.258865004862661E-4	3.2547172527541233	-0.05135189030476197	-30574.315658950836	-235.50569461169232	-113.65281657781811
70000	-30928.492927609914	-358.59730298489444	-30569.89562462502	14.775051259043213	14.775051259043213	86.13907988591077	36.79993732835973	0.22746005874149589	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8055243553345601	0.005	0.39206807366730756	4.4983809321795884E-4	3.2994663369420456	-0.09312273339101768	-30569.89562462502	-235.50569461169232	-109.66221420711415
80000	-30926.755211191095	-360.5490773569536	-30566.20613383414	30.520528617327457	30.520528617327457	133.55557998956587	22.87391709772588	0.06683640728813023	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.419234095677442	0.005	0.3360545652925537	3.1724068345636246E-4	3.3195084155821686	-0.08745643827451333	-30566.20613383414	-235.50569461169232	-112.71537253526755
90000	-30921.53289061864	-357.582826021537	-30563.950064597102	15.048994931206272	15.048994931206272	90.65057854607896	16.57671395438599	0.08650265071557373	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2034680364464025	0.005	0.4620536114542367	4.210593970560157E-4	3.0351088151086483	2.999457831649293E-4	-30563.950064597102	-235.50569461169232	-107.78305290843194
100000	-30924.544564639218	-356.18210564150945	-30568.362458997708	11.87717940992259	11.87717940992259	74.9136955952194	35.0111614968106	0.3387833481003282	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5670154010869329	0.005	0.2713898590967413	5.382488448500983E-4	2.9454968054543995	-0.12315675292162763	-30568.362458997708	-235.50569461169232	-107.9747640143356
110000	-30921.26757198299	-348.27051422855834	-30572.99705775443	9.807017027666118	9.807017027666118	60.222900358560715	17.678909062742974	0.2606199377312952	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8352944759837669	0.005	0.1517840600244068	6.070793142529924E-4	3.505580316164958	-0.05748081668663885	-30572.99705775443	-235.50569461169232	-99.9637685817012
120000	-30917.322245286774	-348.46315563912833	-30568.859089647645	14.096035277283317	14.096035277283317	76.13903287170174	13.50859409194398	0.08122519477512613	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1979465664263986	0.005	0.2636736879709079	5.122237037598769E-4	2.850088429567125	-0.08774941995473101	-30568.859089647645	-235.50569461169232	-99.27487337365231
130000	-30921.518608342198	-339.2905155178307	-30582.228092824367	13.331940787525552	13.331940787525552	55.34539891828482	11.938924289188519	0.15830028843939892	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5828772826269885	0.005	0.4572282043446336	6.736114636123425E-4	2.3989231002550766	-0.07494113825067479	-30582.228092824367	-235.50569461169232	-90.67464887386612
140000	-30920.01003234952	-347.6269593707065	-30572.383072978813	9.350033404606961	9.350033404606961	64.56106134595001	21.257391289400317	0.1978567736988599	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5918155681360276	0.005	0.20419433657124084	6.566503084863626E-4	2.740689669253313	-0.02249868450165322	-30572.383072978813	-235.50569461169232	-99.71266808911453
