PathParameter	MaxPathLikelihood	MLContribution
0.0000	-50908	-0.016063
2.1544e-07	-52491	-0.14570
2.1715e-06	-54773	-0.46513
8.3895e-06	-49521	-0.99706
2.1888e-05	-51216	-1.7652
4.6050e-05	-43165	-2.7593
8.4561e-05	-48645	-3.9494
0.00014136	-44697	-5.1801
0.00022061	-37864	-6.3983
0.00032669	-32681	-7.2208
0.00046416	-32311	-7.9668
0.00063774	-31219	-8.2881
0.00085232	-30965	-9.0882
0.0011130	-30978	-10.389
0.0014248	-30920	-12.016
0.0017932	-30974	-13.799
0.0022237	-30967	-15.850
0.0027216	-31009	-18.073
0.0032929	-30945	-20.457
0.0039432	-30952	-23.064
0.0046784	-30963	-25.882
0.0055047	-30890	-28.874
0.0064280	-30941	-32.068
0.0074546	-30937	-35.471
0.0085909	-30939	-39.058
0.0098431	-30892	-42.849
0.011218	-30849	-46.854
0.012722	-30880	-51.055
0.014361	-30852	-55.449
0.016143	-30888	-60.077
0.018075	-30896	-64.898
0.020162	-30858	-69.937
0.022413	-30852	-75.187
0.024834	-30851	-80.679
0.027432	-30816	-86.368
0.030215	-30840	-92.308
0.033190	-30824	-98.419
0.036364	-30809	-104.78
0.039745	-30801	-111.35
0.043339	-30798	-118.17
0.047156	-30797	-125.21
0.051201	-30745	-132.47
0.055484	-30765	-139.96
0.060011	-30725	-147.69
0.064790	-30733	-155.65
0.069830	-30728	-163.86
0.075138	-30697	-172.29
0.080722	-30714	-180.96
0.086591	-30692	-189.85
0.092751	-30700	-199.05
0.099213	-30679	-208.47
0.10598	-30651	-218.09
0.11307	-30673	-228.05
0.12048	-30671	-238.23
0.12823	-30658	-248.68
0.13631	-30646	-259.33
0.14475	-30656	-270.32
0.15355	-30633	-281.53
0.16271	-30644	-293.02
0.17226	-30632	-304.77
0.18218	-30635	-316.79
0.19250	-30626	-329.07
0.20322	-30629	-341.60
0.21436	-30622	-354.42
0.22591	-30622	-367.50
0.23789	-30616	-380.89
0.25031	-30613	-394.53
0.26318	-30608	-408.44
0.27650	-30610	-422.67
0.29029	-30606	-437.13
0.30455	-30606	-451.90
0.31930	-30611	-466.94
0.33454	-30608	-482.29
0.35028	-30608	-497.88
0.36653	-30605	-513.80
0.38330	-30606	-529.98
0.40060	-30605	-546.48
0.41844	-30605	-563.25
0.43683	-30603	-580.33
0.45578	-30604	-597.68
0.47530	-30604	-615.34
0.49539	-30603	-633.28
0.51608	-30598	-651.55
0.53735	-30602	-670.08
0.55924	-30601	-688.94
0.58174	-30598	-708.10
0.60487	-30600	-727.54
0.62863	-30600	-747.30
0.65304	-30599	-767.35
0.67811	-30600	-787.72
0.70384	-30598	-808.38
0.73025	-30598	-829.35
0.75734	-30598	-850.65
0.78513	-30598	-872.24
0.81363	-30598	-894.14
0.84284	-30596	-916.36
0.87278	-30598	-938.89
0.90345	-30597	-961.73
0.93488	-30597	-984.89
0.96705	-30598	-1008.4
1.0000	-30598	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -30690.90386205087
