PathParameter	MaxPathLikelihood	MLContribution
0.0000	-35378	-0.011030
2.1544e-07	-36423	-0.098099
2.1715e-06	-34330	-0.31674
8.3895e-06	-36706	-0.66751
2.1888e-05	-34394	-1.1948
4.6050e-05	-31539	-1.8633
8.4561e-05	-32346	-2.6636
0.00014136	-32259	-3.5790
0.00022061	-31552	-4.5441
0.00032669	-31425	-5.4843
0.00046416	-31278	-6.4647
0.00063774	-31243	-7.6325
0.00085232	-31149	-8.8163
0.0011130	-31147	-10.289
0.0014248	-31107	-12.009
0.0017932	-31033	-13.855
0.0022237	-31027	-15.953
0.0027216	-31058	-18.149
0.0032929	-30976	-20.587
0.0039432	-31004	-23.203
0.0046784	-30970	-25.999
0.0055047	-31008	-28.966
0.0064280	-30924	-32.161
0.0074546	-30932	-35.571
0.0085909	-30941	-39.161
0.0098431	-30946	-42.942
0.011218	-30930	-46.925
0.012722	-30908	-51.102
0.014361	-30924	-55.536
0.016143	-30859	-60.145
0.018075	-30840	-64.968
0.020162	-30866	-69.982
0.022413	-30872	-75.252
0.024834	-30860	-80.698
0.027432	-30813	-86.395
0.030215	-30796	-92.306
0.033190	-30833	-98.426
0.036364	-30771	-104.80
0.039745	-30801	-111.36
0.043339	-30779	-118.15
0.047156	-30770	-125.20
0.051201	-30773	-132.45
0.055484	-30746	-139.93
0.060011	-30740	-147.65
0.064790	-30726	-155.64
0.069830	-30719	-163.82
0.075138	-30698	-172.26
0.080722	-30698	-180.93
0.086591	-30695	-189.88
0.092751	-30687	-199.05
0.099213	-30670	-208.42
0.10598	-30656	-218.10
0.11307	-30665	-228.02
0.12048	-30664	-238.20
0.12823	-30661	-248.64
0.13631	-30647	-259.35
0.14475	-30644	-270.27
0.15355	-30635	-281.51
0.16271	-30632	-292.95
0.17226	-30642	-304.78
0.18218	-30610	-316.73
0.19250	-30611	-329.03
0.20322	-30615	-341.54
0.21436	-30613	-354.38
0.22591	-30602	-367.50
0.23789	-30611	-380.85
0.25031	-30603	-394.52
0.26318	-30604	-408.37
0.27650	-30597	-422.60
0.29029	-30604	-437.07
0.30455	-30596	-451.84
0.31930	-30597	-466.86
0.33454	-30596	-482.19
0.35028	-30594	-497.78
0.36653	-30593	-513.65
0.38330	-30592	-529.88
0.40060	-30588	-546.28
0.41844	-30588	-563.09
0.43683	-30587	-580.13
0.45578	-30578	-597.45
0.47530	-30580	-615.08
0.49539	-30582	-633.01
0.51608	-30581	-651.22
0.53735	-30578	-669.75
0.55924	-30579	-688.60
0.58174	-30577	-707.72
0.60487	-30579	-727.15
0.62863	-30579	-746.85
0.65304	-30577	-766.91
0.67811	-30574	-787.24
0.70384	-30573	-807.88
0.73025	-30573	-828.80
0.75734	-30572	-850.09
0.78513	-30573	-871.65
0.81363	-30568	-893.48
0.84284	-30554	-915.72
0.87278	-30563	-938.19
0.90345	-30558	-960.82
0.93488	-30545	-983.92
0.96705	-30566	-1007.6
1.0000	-30562	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -30668.640245882714
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-32910	-0.010819
2.1544e-07	-34198	-0.096982
2.1715e-06	-33949	-0.30835
8.3895e-06	-32668	-0.66250
2.1888e-05	-31948	-1.1867
4.6050e-05	-31446	-1.8234
8.4561e-05	-33504	-2.6537
0.00014136	-31980	-3.5326
0.00022061	-31263	-4.4453
0.00032669	-31332	-5.4846
0.00046416	-31451	-6.5130
0.00063774	-31228	-7.6658
0.00085232	-31106	-8.9044
0.0011130	-31132	-10.300
0.0014248	-31107	-12.049
0.0017932	-31059	-13.887
0.0022237	-31031	-16.004
0.0027216	-31029	-18.181
0.0032929	-31019	-20.630
0.0039432	-30975	-23.202
0.0046784	-31022	-26.020
0.0055047	-30952	-29.001
0.0064280	-30935	-32.193
0.0074546	-30975	-35.573
0.0085909	-30949	-39.171
0.0098431	-30906	-42.951
0.011218	-30935	-46.935
0.012722	-30923	-51.138
0.014361	-30891	-55.526
0.016143	-30891	-60.139
0.018075	-30878	-64.964
0.020162	-30878	-69.998
0.022413	-30876	-75.252
0.024834	-30853	-80.720
0.027432	-30844	-86.416
0.030215	-30811	-92.300
0.033190	-30810	-98.436
0.036364	-30801	-104.81
0.039745	-30826	-111.37
0.043339	-30780	-118.15
0.047156	-30750	-125.22
0.051201	-30768	-132.44
0.055484	-30747	-139.94
0.060011	-30750	-147.65
0.064790	-30703	-155.64
0.069830	-30700	-163.83
0.075138	-30705	-172.25
0.080722	-30706	-180.95
0.086591	-30701	-189.87
0.092751	-30682	-199.04
0.099213	-30674	-208.45
0.10598	-30668	-218.09
0.11307	-30663	-228.03
0.12048	-30656	-238.20
0.12823	-30661	-248.62
0.13631	-30645	-259.33
0.14475	-30645	-270.27
0.15355	-30641	-281.49
0.16271	-30643	-292.99
0.17226	-30634	-304.73
0.18218	-30630	-316.73
0.19250	-30624	-329.02
0.20322	-30621	-341.58
0.21436	-30617	-354.37
0.22591	-30617	-367.53
0.23789	-30615	-380.85
0.25031	-30603	-394.48
0.26318	-30606	-408.45
0.27650	-30607	-422.62
0.29029	-30602	-437.08
0.30455	-30599	-451.84
0.31930	-30597	-466.89
0.33454	-30593	-482.22
0.35028	-30593	-497.77
0.36653	-30592	-513.68
0.38330	-30583	-529.86
0.40060	-30586	-546.30
0.41844	-30586	-563.09
0.43683	-30588	-580.08
0.45578	-30580	-597.39
0.47530	-30582	-615.04
0.49539	-30582	-632.98
0.51608	-30584	-651.25
0.53735	-30583	-669.77
0.55924	-30579	-688.59
0.58174	-30580	-707.69
0.60487	-30576	-727.10
0.62863	-30574	-746.85
0.65304	-30574	-766.87
0.67811	-30571	-787.20
0.70384	-30575	-807.88
0.73025	-30572	-828.81
0.75734	-30566	-850.07
0.78513	-30568	-871.64
0.81363	-30565	-893.53
0.84284	-30561	-915.72
0.87278	-30570	-938.22
0.90345	-30567	-961.05
0.93488	-30568	-984.11
