PathParameter	MaxPathLikelihood	MLContribution
0.0000	-51344	-0.21105
2.1544e-07	-50894	-0.28665
2.1715e-06	-54202	-0.56568
8.3895e-06	-52471	-1.0479
2.1888e-05	-50621	-1.7668
4.6050e-05	-48427	-2.6523
8.4561e-05	-45757	-3.7790
0.00014136	-46590	-5.0489
0.00022061	-45084	-6.3385
0.00032669	-43833	-7.7578
0.00046416	-37309	-8.9687
0.00063774	-34110	-10.136
0.00085232	-31424	-10.091
0.0011130	-31293	-11.032
0.0014248	-31414	-12.455
0.0017932	-31135	-14.226
0.0022237	-31264	-16.265
0.0027216	-31173	-18.412
0.0032929	-31201	-20.830
0.0039432	-31136	-23.462
0.0046784	-31083	-26.266
0.0055047	-31053	-29.261
0.0064280	-30974	-32.486
0.0074546	-31111	-35.820
0.0085909	-31035	-39.445
0.0098431	-31067	-43.238
0.011218	-31013	-47.213
0.012722	-31018	-51.412
0.014361	-30933	-55.793
0.016143	-30996	-60.428
0.018075	-30971	-65.223
0.020162	-30958	-70.255
0.022413	-30931	-75.521
0.024834	-30926	-81.010
0.027432	-30902	-86.687
0.030215	-30882	-92.587
0.033190	-30887	-98.755
0.036364	-30844	-105.07
0.039745	-30831	-111.65
0.043339	-30852	-118.49
0.047156	-30832	-125.47
0.051201	-30779	-132.75
0.055484	-30790	-140.26
0.060011	-30769	-147.97
0.064790	-30751	-155.94
0.069830	-30741	-164.13
0.075138	-30756	-172.59
0.080722	-30726	-181.26
0.086591	-30691	-190.09
0.092751	-30688	-199.24
0.099213	-30684	-208.69
0.10598	-30683	-218.28
0.11307	-30653	-228.18
0.12048	-30660	-238.43
0.12823	-30652	-248.78
0.13631	-30635	-259.49
0.14475	-30642	-270.38
0.15355	-30633	-281.60
0.16271	-30627	-293.06
0.17226	-30636	-304.75
0.18218	-30616	-316.72
0.19250	-30614	-329.05
0.20322	-30604	-341.54
0.21436	-30608	-354.34
0.22591	-30606	-367.41
0.23789	-30599	-380.76
0.25031	-30590	-394.34
0.26318	-30583	-408.24
0.27650	-30587	-422.41
0.29029	-30583	-436.89
0.30455	-30589	-451.66
0.31930	-30581	-466.65
0.33454	-30581	-481.95
0.35028	-30576	-497.57
0.36653	-30575	-513.40
0.38330	-30564	-529.59
0.40060	-30568	-546.04
0.41844	-30568	-562.78
0.43683	-30569	-579.78
0.45578	-30565	-597.15
0.47530	-30567	-614.79
0.49539	-30568	-632.72
0.51608	-30564	-650.90
0.53735	-30565	-669.43
0.55924	-30564	-688.24
0.58174	-30564	-707.35
0.60487	-30563	-726.77
0.62863	-30558	-746.46
0.65304	-30558	-766.45
0.67811	-30551	-786.79
0.70384	-30557	-807.47
0.73025	-30550	-828.41
0.75734	-30552	-849.65
0.78513	-30552	-871.17
0.81363	-30541	-892.95
0.84284	-30542	-915.18
0.87278	-30508	-937.07
0.90345	-30521	-959.95
0.93488	-30490	-982.16
0.96705	-30420	-1003.7
1.0000	-30435	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -30679.113242647407
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-52159	-0.27110
2.1544e-07	-53227	-0.20556
2.1715e-06	-51065	-0.49223
8.3895e-06	-52283	-0.98308
2.1888e-05	-50898	-1.7048
4.6050e-05	-50157	-2.6003
8.4561e-05	-48867	-3.6730
0.00014136	-48092	-4.9480
0.00022061	-47667	-6.3305
0.00032669	-40587	-7.7345
0.00046416	-37405	-9.1163
0.00063774	-31812	-9.9069
0.00085232	-31318	-10.348
0.0011130	-31204	-10.877
0.0014248	-31173	-12.431
0.0017932	-31107	-14.121
0.0022237	-31091	-16.101
0.0027216	-31161	-18.330
0.0032929	-31134	-20.753
0.0039432	-31110	-23.370
0.0046784	-31062	-26.136
0.0055047	-31045	-29.179
0.0064280	-31073	-32.409
0.0074546	-31080	-35.805
0.0085909	-31039	-39.349
0.0098431	-31014	-43.141
0.011218	-30939	-47.169
0.012722	-30995	-51.383
0.014361	-31022	-55.736
0.016143	-31005	-60.400
0.018075	-31000	-65.231
0.020162	-30906	-70.246
0.022413	-30956	-75.507
0.024834	-30925	-80.958
0.027432	-30900	-86.685
0.030215	-30884	-92.581
0.033190	-30887	-98.721
0.036364	-30854	-105.07
0.039745	-30860	-111.68
0.043339	-30839	-118.47
0.047156	-30871	-125.52
0.051201	-30798	-132.75
0.055484	-30817	-140.24
0.060011	-30801	-148.00
0.064790	-30760	-155.94
0.069830	-30730	-164.10
0.075138	-30728	-172.49
0.080722	-30762	-181.28
0.086591	-30732	-190.23
0.092751	-30735	-199.37
0.099213	-30705	-208.73
0.10598	-30712	-218.48
0.11307	-30666	-228.22
0.12048	-30673	-238.46
0.12823	-30644	-248.80
0.13631	-30662	-259.58
0.14475	-30645	-270.51
0.15355	-30646	-281.66
0.16271	-30633	-293.05
0.17226	-30619	-304.78
0.18218	-30620	-316.84
0.19250	-30619	-329.16
0.20322	-30606	-341.57
0.21436	-30611	-354.39
0.22591	-30607	-367.36
0.23789	-30590	-380.75
0.25031	-30602	-394.36
0.26318	-30585	-408.25
0.27650	-30590	-422.45
0.29029	-30587	-436.90
0.30455	-30583	-451.67
0.31930	-30582	-466.65
0.33454	-30577	-481.95
0.35028	-30579	-497.53
