PathParameter	MaxPathLikelihood	MLContribution
0.0000	-30996	-0.0078232
2.1544e-07	-30711	-0.072272
2.1715e-06	-31063	-0.23065
8.3895e-06	-30301	-0.50195
2.1888e-05	-30992	-0.88053
4.6050e-05	-30492	-1.4182
8.4561e-05	-30836	-2.0680
0.00014136	-30562	-2.8737
0.00022061	-30161	-3.7351
0.00032669	-30791	-4.7813
0.00046416	-30210	-5.8289
0.00063774	-29970	-7.0469
0.00085232	-29946	-8.4252
0.0011130	-30066	-9.9067
0.0014248	-30042	-11.704
0.0017932	-29958	-13.515
0.0022237	-29873	-15.623
0.0027216	-30027	-17.874
0.0032929	-29910	-20.259
0.0039432	-29839	-22.781
0.0046784	-29862	-25.365
0.0055047	-29848	-28.080
0.0064280	-29829	-31.160
0.0074546	-29804	-34.262
0.0085909	-29780	-37.711
0.0098431	-29805	-41.321
0.011218	-29797	-45.167
0.012722	-29761	-49.211
0.014361	-29700	-53.454
0.016143	-29768	-57.885
0.018075	-29708	-62.533
0.020162	-29740	-67.384
0.022413	-29724	-72.445
0.024834	-29733	-77.724
0.027432	-29702	-83.230
0.030215	-29707	-88.896
0.033190	-29735	-94.830
0.036364	-29627	-100.98
0.039745	-29694	-107.34
0.043339	-29716	-113.90
0.047156	-29670	-120.67
0.051201	-29682	-127.73
0.055484	-29638	-134.93
0.060011	-29640	-142.42
0.064790	-29628	-150.12
0.069830	-29625	-158.04
0.075138	-29646	-166.17
0.080722	-29595	-174.58
0.086591	-29606	-183.19
0.092751	-29592	-192.00
0.099213	-29575	-201.18
0.10598	-29580	-210.38
0.11307	-29564	-219.84
0.12048	-29579	-229.85
0.12823	-29563	-239.88
0.13631	-29570	-250.21
0.14475	-29543	-260.71
0.15355	-29540	-271.49
0.16271	-29538	-282.53
0.17226	-29519	-293.82
0.18218	-29514	-305.43
0.19250	-29516	-317.19
0.20322	-29510	-329.34
0.21436	-29494	-341.58
0.22591	-29486	-354.22
0.23789	-29458	-366.87
0.25031	-29455	-380.02
0.26318	-29439	-393.38
0.27650	-29464	-407.03
0.29029	-29449	-420.89
0.30455	-29426	-434.94
0.31930	-29426	-449.51
0.33454	-29418	-464.06
0.35028	-29410	-479.14
0.36653	-29405	-494.19
0.38330	-29396	-509.57
0.40060	-29417	-525.61
0.41844	-29389	-541.43
0.43683	-29376	-557.64
0.45578	-29385	-574.23
0.47530	-29378	-591.13
0.49539	-29373	-608.28
0.51608	-29368	-625.68
0.53735	-29368	-643.53
0.55924	-29362	-661.43
0.58174	-29362	-679.90
0.60487	-29362	-698.58
0.62863	-29362	-717.44
0.65304	-29355	-736.60
0.67811	-29358	-756.14
0.70384	-29356	-775.86
0.73025	-29356	-795.89
0.75734	-29353	-816.28
0.78513	-29351	-836.98
0.81363	-29355	-858.09
0.84284	-29345	-879.26
0.87278	-29351	-900.85
0.90345	-29341	-922.71
0.93488	-29343	-944.94
0.96705	-29344	-967.45
1.0000	-29319	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -29495.428613938457
