PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27102	-0.13722
2.1544e-07	-27111	-0.083850
2.1715e-06	-27108	-0.19179
8.3895e-06	-27119	-0.38464
2.1888e-05	-27118	-0.67329
4.6050e-05	-27118	-1.0689
8.4561e-05	-27109	-1.5698
0.00014136	-27098	-2.1823
0.00022061	-27124	-2.9109
0.00032669	-27109	-3.7688
0.00046416	-27092	-4.7525
0.00063774	-27102	-5.8645
0.00085232	-27100	-7.1236
0.0011130	-27110	-8.5163
0.0014248	-27113	-10.058
0.0017932	-27113	-11.749
0.0022237	-27111	-13.580
0.0027216	-27111	-15.577
0.0032929	-27101	-17.724
0.0039432	-27113	-20.037
0.0046784	-27112	-22.510
0.0055047	-27083	-25.142
0.0064280	-27089	-27.955
0.0074546	-27082	-30.930
0.0085909	-27106	-34.077
0.0098431	-27074	-37.406
0.011218	-27088	-40.911
0.012722	-27088	-44.599
0.014361	-27088	-48.465
0.016143	-27078	-52.515
0.018075	-27088	-56.757
0.020162	-27081	-61.175
0.022413	-27073	-65.798
0.024834	-27086	-70.614
0.027432	-27080	-75.614
0.030215	-27067	-80.822
0.033190	-27068	-86.216
0.036364	-27073	-91.808
0.039745	-27071	-97.619
0.043339	-27044	-103.62
0.047156	-27059	-109.83
0.051201	-27056	-116.25
0.055484	-27033	-122.87
0.060011	-27032	-129.70
0.064790	-27046	-136.74
0.069830	-27030	-144.00
0.075138	-27011	-151.45
0.080722	-27028	-159.13
0.086591	-27022	-167.01
0.092751	-27027	-175.15
0.099213	-27022	-183.47
0.10598	-27008	-192.02
0.11307	-27000	-200.79
0.12048	-27011	-209.77
0.12823	-27009	-218.98
0.13631	-27005	-228.44
0.14475	-27005	-238.08
0.15355	-26997	-247.99
0.16271	-26998	-258.12
0.17226	-26994	-268.50
0.18218	-26997	-279.09
0.19250	-26985	-289.90
0.20322	-26991	-300.97
0.21436	-26987	-312.29
0.22591	-26987	-323.85
0.23789	-26987	-335.66
0.25031	-26987	-347.68
0.26318	-26985	-359.94
0.27650	-26981	-372.46
0.29029	-26978	-385.23
0.30455	-26984	-398.28
0.31930	-26983	-411.56
0.33454	-26981	-425.07
0.35028	-26979	-438.83
0.36653	-26978	-452.87
0.38330	-26976	-467.14
0.40060	-26977	-481.69
0.41844	-26974	-496.48
0.43683	-26974	-511.53
0.45578	-26974	-526.85
0.47530	-26972	-542.41
0.49539	-26973	-558.24
0.51608	-26971	-574.33
0.53735	-26967	-590.67
0.55924	-26969	-607.30
0.58174	-26965	-624.18
0.60487	-26967	-641.32
0.62863	-26962	-658.73
0.65304	-26955	-676.41
0.67811	-26953	-694.36
0.70384	-26959	-712.57
0.73025	-26951	-731.04
0.75734	-26955	-749.80
0.78513	-26953	-768.79
0.81363	-26939	-787.99
0.84284	-26939	-807.56
0.87278	-26903	-827.25
0.90345	-26919	-847.28
0.93488	-26890	-867.18
0.96705	-26859	-887.33
1.0000	1.1962e+295	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -27012.85456105852
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27102	-0.0071519
2.1544e-07	-27088	-0.055153
2.1715e-06	-27114	-0.17279
8.3895e-06	-27099	-0.37135
2.1888e-05	-27107	-0.66335
4.6050e-05	-27095	-1.0551
8.4561e-05	-27091	-1.5520
0.00014136	-27091	-2.1637
