PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27138	-0.0058770
2.1544e-07	-27136	-0.053350
2.1715e-06	-27112	-0.16961
8.3895e-06	-27135	-0.36821
2.1888e-05	-27127	-0.65912
4.6050e-05	-27113	-1.0505
8.4561e-05	-27132	-1.5491
0.00014136	-27144	-2.1616
0.00022061	-27124	-2.8934
0.00032669	-27143	-3.7493
0.00046416	-27125	-4.7343
0.00063774	-27135	-5.8519
0.00085232	-27112	-7.1082
0.0011130	-27127	-8.5048
0.0014248	-27130	-10.047
0.0017932	-27135	-11.737
0.0022237	-27097	-13.580
0.0027216	-27118	-15.576
0.0032929	-27123	-17.730
0.0039432	-27113	-20.047
0.0046784	-27117	-22.523
0.0055047	-27130	-25.170
0.0064280	-27122	-27.986
0.0074546	-27126	-30.968
0.0085909	-27104	-34.130
0.0098431	-27117	-37.461
0.011218	-27103	-40.973
0.012722	-27103	-44.664
0.014361	-27105	-48.541
0.016143	-27099	-52.602
0.018075	-27117	-56.847
0.020162	-27086	-61.276
0.022413	-27086	-65.907
0.024834	-27106	-70.727
0.027432	-27089	-75.728
0.030215	-27067	-80.937
0.033190	-27079	-86.347
0.036364	-27067	-91.944
0.039745	-27076	-97.744
0.043339	-27069	-103.74
0.047156	-27067	-109.96
0.051201	-27031	-116.37
0.055484	-27068	-122.99
0.060011	-27029	-129.80
0.064790	-27048	-136.83
0.069830	-27038	-144.07
0.075138	-27032	-151.53
0.080722	-27032	-159.20
0.086591	-27025	-167.06
0.092751	-27014	-175.18
0.099213	-26993	-183.49
0.10598	-26991	-192.02
0.11307	-27011	-200.80
0.12048	-27005	-209.75
0.12823	-27005	-218.98
0.13631	-27007	-228.42
0.14475	-26995	-238.08
0.15355	-26994	-247.97
0.16271	-26994	-258.09
0.17226	-26996	-268.49
0.18218	-26983	-279.05
0.19250	-26986	-289.89
0.20322	-26988	-300.97
0.21436	-26988	-312.29
0.22591	-26982	-323.81
0.23789	-26978	-335.62
0.25031	-26982	-347.65
0.26318	-26980	-359.92
0.27650	-26983	-372.45
0.29029	-26981	-385.22
0.30455	-26981	-398.26
0.31930	-26982	-411.50
0.33454	-26979	-425.03
0.35028	-26979	-438.81
0.36653	-26978	-452.82
0.38330	-26977	-467.12
0.40060	-26976	-481.65
0.41844	-26977	-496.44
0.43683	-26978	-511.50
0.45578	-26976	-526.79
0.47530	-26977	-542.38
0.49539	-26976	-558.19
0.51608	-26977	-574.30
0.53735	-26976	-590.65
0.55924	-26977	-607.28
0.58174	-26977	-624.16
0.60487	-26976	-641.31
0.62863	-26975	-658.73
0.65304	-26974	-676.40
0.67811	-26975	-694.37
0.70384	-26975	-712.59
0.73025	-26975	-731.09
0.75734	-26975	-749.86
0.78513	-26976	-768.89
0.81363	-26975	-788.21
0.84284	-26976	-807.80
0.87278	-26974	-827.67
0.90345	-26974	-847.81
0.93488	-26975	-868.22
0.96705	-26975	-888.92
1.0000	-26975	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -27018.485820860118
