PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27142	-0.12154
2.1544e-07	-27153	-0.099013
2.1715e-06	-27172	-0.19931
8.3895e-06	-27155	-0.39967
2.1888e-05	-27149	-0.69509
4.6050e-05	-27170	-1.0921
8.4561e-05	-27157	-1.6020
0.00014136	-27131	-2.2223
0.00022061	-27157	-2.9568
0.00032669	-27127	-3.8153
0.00046416	-27163	-4.8184
0.00063774	-27141	-5.9407
0.00085232	-27157	-7.2051
0.0011130	-27158	-8.5995
0.0014248	-27143	-10.148
0.0017932	-27140	-11.855
0.0022237	-27142	-13.695
0.0027216	-27134	-15.702
0.0032929	-27131	-17.843
0.0039432	-27136	-20.168
0.0046784	-27106	-22.652
0.0055047	-27131	-25.293
0.0064280	-27124	-28.127
0.0074546	-27109	-31.088
0.0085909	-27126	-34.246
0.0098431	-27120	-37.565
0.011218	-27123	-41.064
0.012722	-27116	-44.770
0.014361	-27116	-48.620
0.016143	-27112	-52.652
0.018075	-27114	-56.903
0.020162	-27074	-61.308
0.022413	-27070	-65.923
0.024834	-27083	-70.716
0.027432	-27095	-75.745
0.030215	-27061	-80.917
0.033190	-27057	-86.315
0.036364	-27071	-91.903
0.039745	-27061	-97.678
0.043339	-27072	-103.68
0.047156	-27063	-109.88
0.051201	-27055	-116.28
0.055484	-27046	-122.90
0.060011	-27061	-129.73
0.064790	-27041	-136.78
0.069830	-27042	-144.02
0.075138	-27039	-151.48
0.080722	-27035	-159.16
0.086591	-27029	-167.04
0.092751	-27023	-175.18
0.099213	-27021	-183.51
0.10598	-27020	-192.04
0.11307	-27006	-200.80
0.12048	-27006	-209.82
0.12823	-26999	-219.02
0.13631	-27010	-228.45
0.14475	-27002	-238.14
0.15355	-27001	-248.03
0.16271	-26989	-258.13
0.17226	-26992	-268.49
0.18218	-26993	-279.10
0.19250	-26992	-289.94
0.20322	-26992	-300.98
0.21436	-26990	-312.29
0.22591	-26980	-323.86
0.23789	-26980	-335.64
0.25031	-26984	-347.67
0.26318	-26980	-359.94
0.27650	-26974	-372.45
0.29029	-26976	-385.25
0.30455	-26973	-398.27
0.31930	-26977	-411.52
0.33454	-26974	-425.03
0.35028	-26974	-438.81
0.36653	-26969	-452.80
0.38330	-26972	-467.11
0.40060	-26970	-481.61
0.41844	-26971	-496.41
0.43683	-26963	-511.44
0.45578	-26970	-526.75
0.47530	-26964	-542.30
0.49539	-26965	-558.10
0.51608	-26958	-574.13
0.53735	-26963	-590.54
0.55924	-26958	-607.08
0.58174	-26956	-624.02
0.60487	-26959	-641.14
0.62863	-26958	-658.57
0.65304	-26955	-676.15
0.67811	-26955	-694.14
0.70384	-26954	-712.39
0.73025	-26948	-730.82
0.75734	-26948	-749.54
0.78513	-26942	-768.55
0.81363	-26945	-787.88
0.84284	-26936	-807.32
0.87278	-26936	-827.22
0.90345	-26896	-847.02
0.93488	-26900	-867.54
0.96705	-26875	-887.78
1.0000	1.1547e+13	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -27014.2849943216
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27144	-0.038420
2.1544e-07	-27172	-0.10216
2.1715e-06	-27136	-0.21172
8.3895e-06	-27147	-0.40944
2.1888e-05	-27149	-0.71349
4.6050e-05	-27152	-1.1059
8.4561e-05	-27144	-1.6034
0.00014136	-27124	-2.2348
0.00022061	-27143	-2.9647
0.00032669	-27178	-3.8291
0.00046416	-27162	-4.8224
0.00063774	-27156	-5.9483
0.00085232	-27149	-7.1981
0.0011130	-27132	-8.5983
0.0014248	-27148	-10.149
0.0017932	-27142	-11.835
0.0022237	-27137	-13.689
0.0027216	-27107	-15.687
0.0032929	-27116	-17.829
0.0039432	-27134	-20.156
0.0046784	-27127	-22.632
0.0055047	-27112	-25.274
