PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27209	-0.065158
2.1544e-07	-27203	-0.10135
2.1715e-06	-27220	-0.21636
8.3895e-06	-27173	-0.41411
2.1888e-05	-27216	-0.71473
4.6050e-05	-27244	-1.1186
8.4561e-05	-27193	-1.6368
0.00014136	-27214	-2.2571
0.00022061	-27223	-3.0120
0.00032669	-27210	-3.8899
0.00046416	-27221	-4.8848
0.00063774	-27210	-6.0131
0.00085232	-27209	-7.2701
0.0011130	-27191	-8.6843
0.0014248	-27191	-10.226
0.0017932	-27169	-11.917
0.0022237	-27169	-13.746
0.0027216	-27129	-15.757
0.0032929	-27119	-17.909
0.0039432	-27157	-20.215
0.0046784	-27185	-22.708
0.0055047	-27131	-25.340
0.0064280	-27158	-28.155
0.0074546	-27147	-31.131
0.0085909	-27147	-34.288
0.0098431	-27159	-37.611
0.011218	-27142	-41.117
0.012722	-27142	-44.811
0.014361	-27117	-48.678
0.016143	-27125	-52.742
0.018075	-27114	-56.983
0.020162	-27123	-61.405
0.022413	-27125	-66.023
0.024834	-27099	-70.823
0.027432	-27108	-75.834
0.030215	-27085	-81.031
0.033190	-27058	-86.427
0.036364	-27080	-92.026
0.039745	-27083	-97.831
0.043339	-27075	-103.82
0.047156	-27064	-110.03
0.051201	-27052	-116.43
0.055484	-27057	-123.03
0.060011	-27046	-129.85
0.064790	-27058	-136.89
0.069830	-27048	-144.13
0.075138	-27037	-151.59
0.080722	-27033	-159.27
0.086591	-27029	-167.12
0.092751	-27014	-175.21
0.099213	-27010	-183.55
0.10598	-27019	-192.05
0.11307	-27002	-200.81
0.12048	-27010	-209.79
0.12823	-27001	-219.01
0.13631	-27002	-228.46
0.14475	-26992	-238.09
0.15355	-26994	-248.02
0.16271	-26991	-258.13
0.17226	-26989	-268.46
0.18218	-26987	-279.07
0.19250	-26989	-289.89
0.20322	-26984	-300.96
0.21436	-26974	-312.25
0.22591	-26980	-323.80
0.23789	-26974	-335.57
0.25031	-26974	-347.60
0.26318	-26967	-359.88
0.27650	-26976	-372.39
0.29029	-26972	-385.17
0.30455	-26967	-398.19
0.31930	-26968	-411.43
0.33454	-26967	-424.96
0.35028	-26971	-438.73
0.36653	-26969	-452.74
0.38330	-26967	-467.01
0.40060	-26963	-481.54
0.41844	-26966	-496.31
0.43683	-26964	-511.38
0.45578	-26957	-526.66
0.47530	-26961	-542.21
0.49539	-26965	-558.05
0.51608	-26959	-574.11
0.53735	-26962	-590.45
0.55924	-26956	-607.07
0.58174	-26957	-623.93
0.60487	-26960	-641.05
0.62863	-26953	-658.47
0.65304	-26957	-676.13
0.67811	-26950	-694.07
0.70384	-26950	-712.26
0.73025	-26945	-730.74
0.75734	-26951	-749.49
0.78513	-26949	-768.51
0.81363	-26944	-787.78
0.84284	-26929	-807.34
0.87278	-26934	-827.17
0.90345	-26923	-847.23
0.93488	-26924	-867.50
0.96705	-26827	-887.71
1.0000	-26407	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -27015.544998632708
