PathParameter	MaxPathLikelihood	MLContribution
0.0000	-26651	-0.13671
2.1544e-07	-26639	-0.096033
2.1715e-06	-26595	-0.19726
8.3895e-06	-26626	-0.37910
2.1888e-05	-26642	-0.66859
4.6050e-05	-26639	-1.0421
8.4561e-05	-26657	-1.5362
0.00014136	-26652	-2.1338
0.00022061	-26652	-2.8542
0.00032669	-26650	-3.6903
0.00046416	-26611	-4.6544
0.00063774	-26612	-5.7538
0.00085232	-26642	-6.9851
0.0011130	-26662	-8.3553
0.0014248	-26654	-9.8683
0.0017932	-26649	-11.528
0.0022237	-26637	-13.335
0.0027216	-26622	-15.296
0.0032929	-26636	-17.411
0.0039432	-26645	-19.686
0.0046784	-26638	-22.117
0.0055047	-26637	-24.711
0.0064280	-26623	-27.474
0.0074546	-26616	-30.404
0.0085909	-26615	-33.507
0.0098431	-26633	-36.780
0.011218	-26620	-40.229
0.012722	-26622	-43.851
0.014361	-26628	-47.655
0.016143	-26592	-51.647
0.018075	-26608	-55.812
0.020162	-26612	-60.167
0.022413	-26588	-64.716
0.024834	-26594	-69.443
0.027432	-26606	-74.364
0.030215	-26598	-79.474
0.033190	-26594	-84.775
0.036364	-26597	-90.284
0.039745	-26579	-95.983
0.043339	-26591	-101.87
0.047156	-26573	-107.97
0.051201	-26583	-114.27
0.055484	-26582	-120.76
0.060011	-26586	-127.46
0.064790	-26573	-134.36
0.069830	-26578	-141.47
0.075138	-26571	-148.81
0.080722	-26571	-156.33
0.086591	-26571	-164.08
0.092751	-26568	-172.04
0.099213	-26573	-180.23
0.10598	-26572	-188.64
0.11307	-26573	-197.25
0.12048	-26572	-206.10
0.12823	-26571	-215.18
0.13631	-26569	-224.47
0.14475	-26571	-234.00
0.15355	-26567	-243.76
0.16271	-26564	-253.74
0.17226	-26568	-263.96
0.18218	-26568	-274.41
0.19250	-26567	-285.08
0.20322	-26567	-296.00
0.21436	-26566	-307.15
0.22591	-26565	-318.55
0.23789	-26567	-330.18
0.25031	-26563	-342.05
0.26318	-26566	-354.15
0.27650	-26564	-366.50
0.29029	-26563	-379.10
0.30455	-26563	-391.92
0.31930	-26562	-405.01
0.33454	-26563	-418.35
0.35028	-26564	-431.92
0.36653	-26561	-445.75
0.38330	-26566	-459.83
0.40060	-26560	-474.15
0.41844	-26561	-488.73
0.43683	-26561	-503.56
0.45578	-26562	-518.65
0.47530	-26562	-533.98
0.49539	-26559	-549.59
0.51608	-26562	-565.44
0.53735	-26559	-581.56
0.55924	-26558	-597.92
0.58174	-26558	-614.56
0.60487	-26558	-631.45
0.62863	-26553	-648.61
0.65304	-26550	-666.02
0.67811	-26550	-683.71
0.70384	-26550	-701.65
0.73025	-26550	-719.87
0.75734	-26545	-738.32
0.78513	-26544	-757.07
0.81363	-26545	-776.06
0.84284	-26517	-795.33
0.87278	-26524	-814.83
0.90345	-26524	-834.62
0.93488	-26475	-854.56
0.96705	-26486	-874.76
1.0000	9.1851e+74	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26586.65626329524
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-26653	-0.038949
2.1544e-07	-26656	-0.10367
2.1715e-06	-26668	-0.23974
8.3895e-06	-26655	-0.44733
2.1888e-05	-26615	-0.72882
4.6050e-05	-26631	-1.1127
8.4561e-05	-26644	-1.5904
0.00014136	-26650	-2.1975
0.00022061	-26619	-2.9072
0.00032669	-26648	-3.7596
0.00046416	-26639	-4.7090
0.00063774	-26653	-5.8193
0.00085232	-26655	-7.0301
0.0011130	-26631	-8.4010
0.0014248	-26637	-9.9137
0.0017932	-26619	-11.567
0.0022237	-26636	-13.368
0.0027216	-26634	-15.323
0.0032929	-26632	-17.432
0.0039432	-26635	-19.696
0.0046784	-26611	-22.132
0.0055047	-26631	-24.719
0.0064280	-26625	-27.485
0.0074546	-26637	-30.411
0.0085909	-26639	-33.505
0.0098431	-26632	-36.774
0.011218	-26622	-40.221
0.012722	-26609	-43.845
0.014361	-26619	-47.656
0.016143	-26635	-51.633
0.018075	-26624	-55.808
0.020162	-26614	-60.153
0.022413	-26593	-64.695
0.024834	-26611	-69.424
0.027432	-26607	-74.351
0.030215	-26600	-79.467
0.033190	-26601	-84.767
0.036364	-26591	-90.274
0.039745	-26602	-95.970
0.043339	-26602	-101.87
0.047156	-26591	-107.97
0.051201	-26596	-114.27
0.055484	-26576	-120.77
0.060011	-26583	-127.48
0.064790	-26582	-134.38
0.069830	-26576	-141.51
0.075138	-26583	-148.83
0.080722	-26578	-156.37
0.086591	-26579	-164.12
0.092751	-26580	-172.09
0.099213	-26573	-180.27
0.10598	-26576	-188.68
0.11307	-26577	-197.32
0.12048	-26576	-206.15
0.12823	-26576	-215.24
0.13631	-26574	-224.54
0.14475	-26575	-234.07
0.15355	-26575	-243.81
0.16271	-26573	-253.82
0.17226	-26574	-264.03
0.18218	-26573	-274.48
0.19250	-26573	-285.17
0.20322	-26574	-296.09
0.21436	-26572	-307.24
0.22591	-26571	-318.64
0.23789	-26571	-330.24
0.25031	-26571	-342.13
0.26318	-26571	-354.23
0.27650	-26570	-366.58
0.29029	-26572	-379.19
0.30455	-26568	-392.02
0.31930	-26568	-405.09
0.33454	-26570	-418.44
0.35028	-26570	-432.01
0.36653	-26568	-445.84
0.38330	-26568	-459.92
0.40060	-26569	-474.25
0.41844	-26568	-488.83
0.43683	-26567	-503.66
0.45578	-26566	-518.75
0.47530	-26562	-534.10
0.49539	-26566	-549.70
0.51608	-26567	-565.55
0.53735	-26564	-581.66
0.55924	-26564	-598.05
0.58174	-26561	-614.68
0.60487	-26560	-631.57
0.62863	-26557	-648.73
0.65304	-26559	-666.15
0.67811	-26559	-683.84
0.70384	-26561	-701.79
0.73025	-26553	-720.00
0.75734	-26550	-738.48
0.78513	-26541	-757.23
0.81363	-26546	-776.22
0.84284	-26533	-795.50
0.87278	-26533	-815.07
0.90345	-26527	-834.83
0.93488	-26538	-854.91
0.96705	-26516	-875.06
1.0000	-26505	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26593.182560128083
