PathParameter	MaxPathLikelihood	MLContribution
0.0000	-26634	-0.0057705
2.1544e-07	-26651	-0.052390
2.1715e-06	-26655	-0.16654
8.3895e-06	-26606	-0.36152
2.1888e-05	-26643	-0.64715
4.6050e-05	-26654	-1.0314
8.4561e-05	-26652	-1.5213
0.00014136	-26629	-2.1227
0.00022061	-26653	-2.8410
0.00032669	-26644	-3.6813
0.00046416	-26646	-4.6491
0.00063774	-26643	-5.7473
0.00085232	-26661	-6.9806
0.0011130	-26634	-8.3521
0.0014248	-26655	-9.8667
0.0017932	-26669	-11.527
0.0022237	-26653	-13.336
0.0027216	-26616	-15.298
0.0032929	-26665	-17.413
0.0039432	-26649	-19.687
0.0046784	-26619	-22.124
0.0055047	-26625	-24.723
0.0064280	-26617	-27.484
0.0074546	-26650	-30.415
0.0085909	-26653	-33.522
0.0098431	-26606	-36.795
0.011218	-26629	-40.246
0.012722	-26618	-43.874
0.014361	-26648	-47.685
0.016143	-26628	-51.666
0.018075	-26611	-55.842
0.020162	-26630	-60.191
0.022413	-26593	-64.734
0.024834	-26595	-69.466
0.027432	-26603	-74.389
0.030215	-26611	-79.504
0.033190	-26608	-84.802
0.036364	-26602	-90.305
0.039745	-26599	-96.004
0.043339	-26592	-101.89
0.047156	-26583	-107.99
0.051201	-26592	-114.28
0.055484	-26590	-120.78
0.060011	-26583	-127.48
0.064790	-26586	-134.38
0.069830	-26584	-141.50
0.075138	-26585	-148.81
0.080722	-26584	-156.36
0.086591	-26580	-164.11
0.092751	-26580	-172.08
0.099213	-26581	-180.28
0.10598	-26580	-188.69
0.11307	-26582	-197.32
0.12048	-26579	-206.17
0.12823	-26580	-215.25
0.13631	-26580	-224.56
0.14475	-26577	-234.09
0.15355	-26577	-243.84
0.16271	-26579	-253.82
0.17226	-26579	-264.06
0.18218	-26578	-274.51
0.19250	-26577	-285.19
0.20322	-26578	-296.11
0.21436	-26575	-307.27
0.22591	-26577	-318.66
0.23789	-26577	-330.29
0.25031	-26577	-342.16
0.26318	-26576	-354.28
0.27650	-26576	-366.64
0.29029	-26577	-379.23
0.30455	-26577	-392.07
0.31930	-26575	-405.17
0.33454	-26575	-418.50
0.35028	-26576	-432.08
0.36653	-26576	-445.90
0.38330	-26575	-459.99
0.40060	-26576	-474.32
0.41844	-26575	-488.90
0.43683	-26575	-503.74
0.45578	-26574	-518.83
0.47530	-26575	-534.18
0.49539	-26575	-549.78
0.51608	-26575	-565.65
0.53735	-26574	-581.76
0.55924	-26574	-598.14
0.58174	-26574	-614.78
0.60487	-26575	-631.69
0.62863	-26575	-648.85
0.65304	-26574	-666.27
0.67811	-26574	-683.97
0.70384	-26574	-701.93
0.73025	-26574	-720.15
0.75734	-26574	-738.65
0.78513	-26574	-757.41
0.81363	-26574	-776.43
0.84284	-26574	-795.74
0.87278	-26574	-815.31
0.90345	-26574	-835.15
0.93488	-26574	-855.27
0.96705	-26574	-875.66
1.0000	-26574	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26597.37739167435
