PathParameter	MaxPathLikelihood	MLContribution
0.0000	-26705	-0.20989
2.1544e-07	-26708	-0.14285
2.1715e-06	-26729	-0.21638
8.3895e-06	-26710	-0.41891
2.1888e-05	-26714	-0.70765
4.6050e-05	-26732	-1.1063
8.4561e-05	-26704	-1.5917
0.00014136	-26708	-2.2262
0.00022061	-26713	-2.9637
0.00032669	-26692	-3.8196
0.00046416	-26681	-4.7638
0.00063774	-26695	-5.8690
0.00085232	-26715	-7.1161
0.0011130	-26719	-8.5020
0.0014248	-26702	-9.9973
0.0017932	-26683	-11.655
0.0022237	-26665	-13.453
0.0027216	-26690	-15.416
0.0032929	-26690	-17.525
0.0039432	-26658	-19.809
0.0046784	-26679	-22.228
0.0055047	-26676	-24.842
0.0064280	-26680	-27.595
0.0074546	-26647	-30.524
0.0085909	-26649	-33.635
0.0098431	-26675	-36.908
0.011218	-26646	-40.350
0.012722	-26658	-43.987
0.014361	-26631	-47.791
0.016143	-26635	-51.771
0.018075	-26650	-55.933
0.020162	-26625	-60.289
0.022413	-26638	-64.851
0.024834	-26628	-69.584
0.027432	-26644	-74.490
0.030215	-26621	-79.605
0.033190	-26602	-84.913
0.036364	-26614	-90.401
0.039745	-26614	-96.108
0.043339	-26605	-102.01
0.047156	-26603	-108.09
0.051201	-26590	-114.39
0.055484	-26592	-120.89
0.060011	-26592	-127.57
0.064790	-26588	-134.50
0.069830	-26576	-141.61
0.075138	-26580	-148.92
0.080722	-26577	-156.48
0.086591	-26586	-164.23
0.092751	-26578	-172.17
0.099213	-26581	-180.37
0.10598	-26580	-188.77
0.11307	-26573	-197.36
0.12048	-26570	-206.21
0.12823	-26573	-215.33
0.13631	-26573	-224.62
0.14475	-26572	-234.11
0.15355	-26571	-243.85
0.16271	-26569	-253.86
0.17226	-26571	-264.07
0.18218	-26567	-274.53
0.19250	-26574	-285.24
0.20322	-26567	-296.09
0.21436	-26559	-307.26
0.22591	-26565	-318.64
0.23789	-26567	-330.28
0.25031	-26562	-342.12
0.26318	-26558	-354.22
0.27650	-26560	-366.58
0.29029	-26564	-379.16
0.30455	-26565	-392.02
0.31930	-26559	-405.08
0.33454	-26560	-418.41
0.35028	-26559	-431.97
0.36653	-26559	-445.79
0.38330	-26557	-459.84
0.40060	-26556	-474.16
0.41844	-26560	-488.79
0.43683	-26559	-503.60
0.45578	-26556	-518.62
0.47530	-26555	-533.99
0.49539	-26557	-549.61
0.51608	-26556	-565.43
0.53735	-26556	-581.55
0.55924	-26555	-597.85
0.58174	-26553	-614.54
0.60487	-26550	-631.36
0.62863	-26547	-648.50
0.65304	-26551	-665.92
0.67811	-26552	-683.60
0.70384	-26545	-701.53
0.73025	-26543	-719.70
0.75734	-26544	-738.26
0.78513	-26542	-756.89
0.81363	-26531	-775.98
0.84284	-26523	-795.20
0.87278	-26503	-814.62
0.90345	-26520	-834.39
0.93488	-26511	-854.46
0.96705	-26489	-874.69
1.0000	8.9234e+19	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26593.22785987945
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-26731	-0.12336
2.1544e-07	-26696	-0.082424
2.1715e-06	-26708	-0.19946
8.3895e-06	-26678	-0.39598
2.1888e-05	-26692	-0.68979
4.6050e-05	-26721	-1.0744
8.4561e-05	-26717	-1.5803
0.00014136	-26675	-2.2006
0.00022061	-26658	-2.9571
0.00032669	-26720	-3.7803
0.00046416	-26697	-4.7793
0.00063774	-26697	-5.8430
0.00085232	-26710	-7.0830
0.0011130	-26665	-8.4578
0.0014248	-26686	-9.9675
0.0017932	-26684	-11.637
0.0022237	-26684	-13.444
0.0027216	-26701	-15.411
0.0032929	-26678	-17.525
0.0039432	-26702	-19.794
0.0046784	-26686	-22.226
0.0055047	-26671	-24.827
0.0064280	-26666	-27.593
0.0074546	-26646	-30.525
0.0085909	-26672	-33.637
0.0098431	-26641	-36.900
0.011218	-26654	-40.359
0.012722	-26649	-43.989
0.014361	-26635	-47.790
0.016143	-26633	-51.767
0.018075	-26637	-55.949
0.020162	-26640	-60.296
0.022413	-26595	-64.861
0.024834	-26615	-69.592
0.027432	-26608	-74.497
0.030215	-26624	-79.597
0.033190	-26604	-84.906
0.036364	-26607	-90.406
0.039745	-26605	-96.085
0.043339	-26610	-102.01
0.047156	-26610	-108.09
0.051201	-26597	-114.35
0.055484	-26587	-120.89
0.060011	-26583	-127.56
0.064790	-26587	-134.49
0.069830	-26586	-141.59
0.075138	-26583	-148.91
0.080722	-26582	-156.42
0.086591	-26580	-164.19
0.092751	-26573	-172.16
0.099213	-26576	-180.33
0.10598	-26575	-188.73
0.11307	-26569	-197.36
0.12048	-26573	-206.20
0.12823	-26574	-215.27
0.13631	-26571	-224.56
0.14475	-26572	-234.10
0.15355	-26571	-243.84
0.16271	-26570	-253.82
0.17226	-26571	-264.04
0.18218	-26569	-274.49
0.19250	-26563	-285.16
