PathParameter	MaxPathLikelihood	MLContribution
0.0000	-26670	-0.067734
2.1544e-07	-26660	-0.10066
2.1715e-06	-26639	-0.19867
8.3895e-06	-26663	-0.40819
2.1888e-05	-26666	-0.69916
4.6050e-05	-26641	-1.0830
8.4561e-05	-26671	-1.5802
0.00014136	-26664	-2.1985
0.00022061	-26657	-2.9315
0.00032669	-26622	-3.7832
0.00046416	-26658	-4.7597
0.00063774	-26657	-5.8677
0.00085232	-26651	-7.1016
0.0011130	-26661	-8.4845
0.0014248	-26649	-9.9837
0.0017932	-26660	-11.638
0.0022237	-26645	-13.437
0.0027216	-26649	-15.394
0.0032929	-26641	-17.512
0.0039432	-26629	-19.769
0.0046784	-26616	-22.210
0.0055047	-26640	-24.799
0.0064280	-26616	-27.556
0.0074546	-26633	-30.484
0.0085909	-26618	-33.569
0.0098431	-26618	-36.836
0.011218	-26591	-40.279
0.012722	-26603	-43.896
0.014361	-26611	-47.700
0.016143	-26608	-51.665
0.018075	-26611	-55.839
0.020162	-26604	-60.180
0.022413	-26598	-64.705
0.024834	-26599	-69.431
0.027432	-26606	-74.345
0.030215	-26586	-79.448
0.033190	-26587	-84.751
0.036364	-26584	-90.246
0.039745	-26580	-95.947
0.043339	-26574	-101.84
0.047156	-26575	-107.94
0.051201	-26568	-114.23
0.055484	-26568	-120.72
0.060011	-26575	-127.41
0.064790	-26569	-134.34
0.069830	-26563	-141.46
0.075138	-26542	-148.77
0.080722	-26554	-156.32
0.086591	-26550	-164.05
0.092751	-26545	-172.02
0.099213	-26546	-180.20
0.10598	-26547	-188.58
0.11307	-26538	-197.21
0.12048	-26544	-206.02
0.12823	-26538	-215.08
0.13631	-26540	-224.36
0.14475	-26533	-233.88
0.15355	-26531	-243.63
0.16271	-26535	-253.60
0.17226	-26535	-263.79
0.18218	-26532	-274.21
0.19250	-26530	-284.89
0.20322	-26529	-295.77
0.21436	-26526	-306.92
0.22591	-26529	-318.29
0.23789	-26527	-329.87
0.25031	-26525	-341.72
0.26318	-26524	-353.80
0.27650	-26524	-366.11
0.29029	-26522	-378.66
0.30455	-26522	-391.46
0.31930	-26522	-404.54
0.33454	-26521	-417.83
0.35028	-26519	-431.38
0.36653	-26519	-445.14
0.38330	-26520	-459.19
0.40060	-26520	-473.49
0.41844	-26514	-488.02
0.43683	-26520	-502.82
0.45578	-26520	-517.88
0.47530	-26520	-533.20
0.49539	-26517	-548.75
0.51608	-26516	-564.58
0.53735	-26513	-580.64
0.55924	-26514	-596.99
0.58174	-26511	-613.58
0.60487	-26511	-630.45
0.62863	-26508	-647.57
0.65304	-26512	-664.95
0.67811	-26510	-682.58
0.70384	-26504	-700.50
0.73025	-26504	-718.67
0.75734	-26506	-737.12
0.78513	-26507	-755.82
0.81363	-26504	-774.80
0.84284	-26467	-794.04
0.87278	-26477	-813.52
0.90345	-26479	-833.28
0.93488	-26445	-853.34
0.96705	-26369	-872.77
1.0000	-24402	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26555.462476711873
