# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 15 15:32:46 AEDT 2020 [seed=1579062763537]
# -overwrite dcr_cladeB_2014_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-27036.35975241212	-75.58634160586709	-26960.773410806254	0.37069955224991186	0.37069955224991186	1.6587687418597952	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	9.62423816673872E-4	3.3172628504326473	-0.12660452646333029	-26960.773410806254	-59.914645471079815	-3.25737295848516
5000	-26644.34691935095	-85.8884537827399	-26558.458465568212	2.409784714612581	2.409784714612581	7.681325840369612	2.928263205504442	0.8058027915432964	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.24954323462389624	0.005	0.06948681634861706	1.9405937612374625E-4	1.4809467601208992	-0.18156808555020412	-26558.458465568212	-59.914645471079815	-14.046116142888975
10000	-26653.17365898532	-93.0868349831382	-26560.08682400218	1.764140316570783	1.764140316570783	12.990292822361798	13.028722398950377	1.7541403263825992	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.20995475567837849	0.005	0.1800638181599632	8.696108825706336E-5	2.0380163665895714	-0.13242224387558907	-26560.08682400218	-59.914645471079815	-20.043504756313027
15000	-26650.49428155477	-91.62162460307994	-26558.872656951688	2.2899790695792976	2.2899790695792976	11.745601330417681	7.23615242701696	1.1187497770945545	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.20567485225178425	0.005	0.397286117717365	1.0144575440672745E-4	1.1725166860167746	-0.04745613513725196	-26558.872656951688	-59.914645471079815	-18.57063575942352
20000	-26653.26519636538	-90.04068977801526	-26563.224506587365	1.6374634935496228	1.6374634935496228	13.213097420480569	186.54668513364098	4.565661035895024	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.25894794684638145	0.005	0.28842515664907104	9.358134246803769E-5	1.5283964341939587	0.026463121388973943	-26563.224506587365	-59.914645471079815	-13.761033264246983
25000	-26649.010204028575	-91.10098765872249	-26557.90921636985	1.9495512404457636	1.9495512404457636	14.320189643260917	308.3435525048705	3.930628042042743	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.23804898949705128	0.005	0.2783348622742971	1.0984410855799368E-4	2.347587764472872	-0.161279393065535	-26557.90921636985	-59.914645471079815	-15.52721496795576
30000	-26656.61326938339	-92.146086811363	-26564.467182572025	1.351750150370789	1.351750150370789	9.036647833686121	329.488187451723	6.641967971682386	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1840470874529255	0.005	0.37779345136676845	1.553005189033804E-4	2.5420700521864736	-0.09913384314902222	-26564.467182572025	-59.914645471079815	-13.670390781418002
35000	-26652.44771442332	-88.21135098640215	-26564.236363436918	1.783779298566606	1.783779298566606	16.740509053362018	2181.8659123264324	4.814001746106538	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1290472078523241	0.005	0.5527225141760989	4.9860950415172595E-5	1.8402531798410273	0.05617895812580709	-26564.236363436918	-59.914645471079815	-11.130309975557468
40000	-26650.7718436139	-93.20499104475593	-26557.566852569144	2.127492075081276	2.127492075081276	16.714133811918263	238.31171480209773	3.657613948597386	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.16800927801323656	0.005	0.8283502833082148	6.976215524055864E-5	2.140752113404597	-0.13515456723112146	-26557.566852569144	-59.914645471079815	-16.39496592567746
45000	-26646.250135159466	-89.617207543793	-26556.632927615672	1.7668161749400006	1.7668161749400006	15.113087670562933	1329.5218012132032	5.337798356472097	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4501724236844064	0.005	0.4661712443025055	1.0657494630246158E-4	1.7692899634139088	-0.26457097394424656	-26556.632927615672	-59.914645471079815	-11.638296741650507
