# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 15 15:20:45 AEDT 2020 [seed=1579062042841]
# -overwrite dcr_cladeB_2018_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-27037.04244733996	-17.675027015830906	-27019.36742032413	1.425808871886356	1.425808871886356	3.9984557203035944	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.004999999999999999	-27019.36742032413	0.0	-5.16209155086068
5000	-26514.46710421153	15.84744667673557	-26530.314550888266	0.06344220996627802	0.06344220996627802	0.29810226539945206	0.0716333804013726	-0.06316147391684757	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.23001258435907934	0.005	0.005	-26530.314550888266	0.0	27.88355950067461
10000	-26507.70255412586	15.263280771587372	-26522.965834897448	0.026412484587390754	0.026412484587390754	0.18828142621593394	0.06926902085474601	-0.4243402168827637	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.14179791847218098	0.005	0.005000000000000001	-26522.965834897448	0.0	27.484142983074936
15000	-26508.169040444147	16.32107438812873	-26524.490114832275	0.026040917916494946	0.026040917916494946	0.1836304970973222	0.04776853941257381	-0.792525273775621	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.11288303424657722	0.005	0.004999999999999998	-26524.490114832275	0.0	28.852291673053127
20000	-26513.82174452799	14.663400759317325	-26528.485145287308	0.032109987646864645	0.032109987646864645	0.216937811672846	0.07061544264840493	-0.025222441561474573	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5360170952877192	0.005	0.004999999999999999	-26528.485145287308	0.0	27.273583562578892
25000	-26518.403564901466	10.552442087554901	-26528.95600698902	0.053137764717224825	0.053137764717224825	0.2676295929466345	0.1100005899274417	-0.2880281855035931	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6037225175457802	0.005	0.005000000000000002	-26528.95600698902	0.0	23.560841873126183
30000	-26508.486981976617	17.82515272222608	-26526.312134698845	0.024832976112835314	0.024832976112835314	0.1576109262488897	0.041068083366170204	0.1992500436748048	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9530976156795405	0.005	0.004999999999999998	-26526.312134698845	0.0	31.443523872911026
35000	-26510.167440937286	13.180938189639429	-26523.348379126925	0.03849392284314654	0.03849392284314654	0.22865013842361656	0.08457577555629969	-0.5488411250983471	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.46183531751403706	0.005	0.005000000000000001	-26523.348379126925	0.0	26.166376260493834
40000	-26511.75827859346	10.68676376854173	-26522.445042362004	0.031882685402494323	0.031882685402494323	0.21376337703122225	0.0378959052024822	2.6480592760870745	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.534622854623551	0.005	0.004999999999999998	-26522.445042362004	0.0	25.91699459780519
45000	-26512.120074151346	9.15421951638903	-26521.274293667735	0.04410841433082125	0.04410841433082125	0.28333346966009754	0.0982284488052202	1.6378621287848045	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4128445620960391	0.005	0.004999999999999999	-26521.274293667735	0.0	23.13069721662063
50000	-26510.549358753902	19.103574254744004	-26529.652933008645	0.029488078072592558	0.029488078072592558	0.16135462362249225	0.037397247187174486	3.6835559466668046	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07017871498202792	0.005	0.004999999999999999	-26529.652933008645	0.0	34.440413470317566
55000	-26505.930248490495	17.136029091742202	-26523.06627758224	0.028983198189115288	0.028983198189115288	0.2001876413133647	0.06323198355836185	-0.301428380046296	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.047272200394047205	0.005	0.004999999999999999	-26523.06627758224	0.0	29.044927969866656
60000	-26509.02133347003	15.658611308947656	-26524.679944778978	0.06980811800122419	0.06980811800122419	0.26982412371717857	0.04054912226063894	-2.555414147713793	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.16545514674713205	0.005	0.004999999999999999	-26524.679944778978	0.0	30.057861620617164
65000	-26509.091894413737	12.407633961773533	-26521.499528375512	0.05148382774843443	0.05148382774843443	0.2772081936327132	0.11076695110964516	0.007326025281771731	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.12553466553740017	0.005	0.005	-26521.499528375512	0.0	24.178955890769846
70000	-26515.205914044916	14.41213889719662	-26529.618052942114	0.035365263732886704	0.035365263732886704	0.20547685830054066	0.07013796565949955	1.5045086072507141	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0963753876371271	0.005	0.005	-26529.618052942114	0.0	27.622324446071474
75000	-26509.293507251397	11.603633725348544	-26520.897140976747	0.04685670108413527	0.04685670108413527	0.27424927581752007	0.07085219070091606	1.129438154807975	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.21123253001907266	0.005	0.005000000000000001	-26520.897140976747	0.0	24.6684631136868
80000	-26517.05837370718	7.1028205782876395	-26524.161194285465	0.04140717374310012	0.04140717374310012	0.31908356566743257	0.08195382589352364	0.7459650119589687	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.46114942575374485	0.005	0.005	-26524.161194285465	0.0	20.284010726262586
85000	-26513.244684686702	11.430660676686937	-26524.67534536339	0.028328019071911466	0.028328019071911466	0.20540837976883053	0.12753543941101445	1.2437906780894161	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.19792592825322414	0.005	0.005000000000000001	-26524.67534536339	0.0	24.583229951607425
90000	-26514.711449306298	11.463709306002347	-26526.1751586123	0.038811713467829086	0.038811713467829086	0.25714661762412566	0.09397791424845807	-0.5708552405988485	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.047490555536833956	0.005	0.005000000000000003	-26526.1751586123	0.0	23.642472062424233
95000	-26511.038809622623	13.19512477247998	-26524.233934395103	0.036436800499976205	0.036436800499976205	0.25858041667711207	0.09285653950905787	0.2750793326316723	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2820574109079682	0.005	0.004999999999999999	-26524.233934395103	0.0	25.54724532046321
100000	-26511.847178842465	11.791249143165501	-26523.638427985632	0.0373414529269097	0.0373414529269097	0.2221549733082037	0.08605188794508403	2.2876356422214483	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.24092088812276422	0.005	0.0049999999999999975	-26523.638427985632	0.0	26.073652887121586
105000	-26516.840798549074	13.141534439811188	-26529.982332988886	0.0552484700594531	0.0552484700594531	0.28591988707939875	0.06455320317027766	1.210837101665166	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.34544821790980623	0.005	0.005	-26529.982332988886	0.0	26.556194087798225
110000	-26515.754881821722	12.491020795882745	-26528.245902617604	0.03135485253662526	0.03135485253662526	0.21187861906660496	0.052023009599098016	0.09323126280416805	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.40188508460151484	0.005	0.004999999999999999	-26528.245902617604	0.0	24.900948213090267
115000	-26522.69837971341	10.31547141578995	-26533.0138511292	0.03923010991668682	0.03923010991668682	0.2670262044638843	0.05524263043635115	0.08077220311078803	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5317408157408575	0.005	0.005000000000000003	-26533.0138511292	0.0	22.972651267778986
120000	-26513.442377213458	14.139721288531977	-26527.58209850199	0.040399259630600315	0.040399259630600315	0.242638285489017	0.06413849884008398	0.07670949600284871	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.014204043387361	0.005	0.0049999999999999975	-26527.58209850199	0.0	27.757764977664763
125000	-26518.914876147937	7.016102672008465	-26525.930978819946	0.03643500979451174	0.03643500979451174	0.28921781323177015	0.0956610036827637	-3.1907269640168634	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.398099522731835	0.005	0.004999999999999998	-26525.930978819946	0.0	22.515955103069263
130000	-26518.375498519377	8.693149902054984	-26527.06864842143	0.04365944682227209	0.04365944682227209	0.3003253435741855	0.07473453938810126	0.3589369557902644	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.49457412071951334	0.005	0.005000000000000003	-26527.06864842143	0.0	21.5541613115999
135000	-26515.119996617457	13.826591496526786	-26528.946588113984	0.044422557555458944	0.044422557555458944	0.27271945659553704	0.06990930251604525	-0.7873347935731985	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.31510427287675224	0.005	0.005	-26528.946588113984	0.0	26.757060999916742
140000	-26527.618789521097	6.028910190144041	-26533.64769971124	0.051620738194307125	0.051620738194307125	0.3428591839676158	0.11875009891918643	-0.665022650970668	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1251052624831905	0.005	0.004999999999999999	-26533.64769971124	0.0	20.457070018552308
145000	-26521.884998148525	3.890228327133361	-26525.77522647566	0.0443021614956952	0.0443021614956952	0.30934990459931955	0.10792227288887947	-1.3011145554877372	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.7470750806509199	0.005	0.005	-26525.77522647566	0.0	20.198419588115897
150000	-26511.343882593275	12.876842071294831	-26524.22072466457	0.02856607049590183	0.02856607049590183	0.1921420775369313	0.0664014903170477	0.15552134389756045	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4151724348562609	0.005	0.004999999999999999	-26524.22072466457	0.0	27.375634413890044
155000	-26512.915866000294	11.918149894161498	-26524.834015894456	0.053417732051438176	0.053417732051438176	0.2602982379317729	0.08915470565162241	0.4657104623004913	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8825800381138206	0.005	0.005000000000000001	-26524.834015894456	0.0	25.661946789206915
160000	-26514.308917543465	15.239768036761129	-26529.548685580226	0.05083685125564843	0.05083685125564843	0.2387986085351319	0.0748059572636269	0.7553842233732841	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.49621651320411075	0.005	0.005	-26529.548685580226	0.0	28.500511499572436
165000	-26519.405396388458	9.986802698508013	-26529.392199086968	0.05065128121124282	0.05065128121124282	0.3223577915546979	0.0919841131698967	-0.0822422211294731	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.22475167212937908	0.005	0.005000000000000001	-26529.392199086968	0.0	22.031474648707604
170000	-26514.748746787543	9.373647275570317	-26524.122394063113	0.05032507941557607	0.05032507941557607	0.3191153336112103	0.09177889738376516	0.18002841741595654	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5915024231491427	0.005	0.004999999999999999	-26524.122394063113	0.0	22.24960692204376
175000	-26518.94105801907	6.4967414508419825	-26525.437799469913	0.043638858771759104	0.043638858771759104	0.3224818319731201	0.0847867400909026	2.044244156292645	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2602305135769974	0.005	0.005	-26525.437799469913	0.0	20.574372947126253
180000	-26510.342836991993	14.376344045730583	-26524.719181037723	0.043731214494936874	0.043731214494936874	0.2269192548193161	0.04789388282691671	2.373206463031798	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5133575565764344	0.005	0.005000000000000001	-26524.719181037723	0.0	29.289191565824307
185000	-26508.455594571453	10.611311548707524	-26519.06690612016	0.04131485641435645	0.04131485641435645	0.2504056041325823	0.1010057036469956	-0.35154745544032506	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9798598303560965	0.005	0.005	-26519.06690612016	0.0	24.435505139887308
190000	-26515.742809487216	11.922819858299254	-26527.665629345516	0.05444880745764756	0.05444880745764756	0.28352523698182824	0.06448429421821522	0.3935571526221209	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.012647480945582	0.005	0.004999999999999999	-26527.665629345516	0.0	25.85459808262571
195000	-26514.87567099603	13.156425649843284	-26528.03209664587	0.042501351121279916	0.042501351121279916	0.23201993801746582	0.0555820763069365	0.2358898168684893	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.48906063621097	0.005	0.005	-26528.03209664587	0.0	27.883362759924704
200000	-26511.931009757824	8.933320409165407	-26520.86433016699	0.048695881848556374	0.048695881848556374	0.27691278014434195	0.037395031996676896	-2.5789645198275197	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2929116310534216	0.005	0.004999999999999999	-26520.86433016699	0.0	23.61103403002032
205000	-26514.132498800893	12.289579331149158	-26526.422078132044	0.05730394546573434	0.05730394546573434	0.26455971943743806	0.10855549535995662	0.11426860247672788	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.618377654061958	0.005	0.004999999999999999	-26526.422078132044	0.0	25.153529792274984
210000	-26523.53893247963	9.42296049859921	-26532.96189297823	0.03944783421773053	0.03944783421773053	0.25119820266472837	0.06897849333257346	3.13779041915841	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7349621954591312	0.005	0.004999999999999998	-26532.96189297823	0.0	25.543601463431045
215000	-26520.077870597943	7.72257295218421	-26527.800443550128	0.03932553576128223	0.03932553576128223	0.29634444560338735	0.10071666859121246	0.7438259122317865	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0258896434690268	0.005	0.005	-26527.800443550128	0.0	22.031104623490965
220000	-26510.6526384543	13.621129322730942	-26524.27376777703	0.02699416248410952	0.02699416248410952	0.1948443758497541	0.06264684801692848	-0.889790035435043	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3465423615160528	0.005	0.004999999999999999	-26524.27376777703	0.0	26.7169301726368
225000	-26510.11348258059	12.371211659150454	-26522.484694239738	0.03143839849811133	0.03143839849811133	0.2391486772340682	0.11090554386917606	0.15099223783285476	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08839671321000066	0.005	0.004999999999999999	-26522.484694239738	0.0	24.211923897428978
230000	-26519.7724904472	8.316528109449001	-26528.08901855665	0.06412491803359431	0.06412491803359431	0.38433757318115735	0.09465810146156697	-0.10215151628043295	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.17307904088054854	0.005	0.005000000000000001	-26528.08901855665	0.0	20.277764119041773
235000	-26515.244854872344	10.570316277671868	-26525.815171150018	0.05005655248743661	0.05005655248743661	0.28752522190814633	0.08119932162060663	1.6349593738460912	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13720554013358932	0.005	0.005000000000000001	-26525.815171150018	0.0	23.99261300874858
240000	-26506.14801292351	14.745646487449633	-26520.89365941096	0.045619721855808794	0.045619721855808794	0.22301490812072183	0.09410978834031891	0.3233541428366946	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.19402474585266213	0.005	0.005	-26520.89365941096	0.0	26.969976528059764
245000	-26504.178063694708	15.855001000090681	-26520.0330646948	0.031165873613630258	0.031165873613630258	0.2074389241934933	0.06751607214027085	-0.4507646162777421	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3433420161367822	0.005	0.005000000000000003	-26520.0330646948	0.0	28.505375788772938
250000	-26510.46686543773	12.75014931735487	-26523.217014755086	0.04561386780736873	0.04561386780736873	0.2737899093188484	0.0629016836746176	-0.08866035265218031	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4589991505307237	0.005	0.005000000000000002	-26523.217014755086	0.0	25.269734065055562
255000	-26516.69465034523	11.198680130759028	-26527.89333047599	0.07168410667006211	0.07168410667006211	0.34977397284956896	0.07200496601204114	0.8011925730661316	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.52179811876272	0.005	0.005000000000000001	-26527.89333047599	0.0	24.55639512637049
260000	-26513.877837594668	9.373686227972502	-26523.25152382264	0.04605137714137688	0.04605137714137688	0.2954352683288334	0.08262990640653417	-1.8639079217021284	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1419098634783234	0.005	0.005000000000000003	-26523.25152382264	0.0	23.03434016790057
265000	-26519.30402760014	7.471938204746561	-26526.77596580489	0.04994602468822683	0.04994602468822683	0.3253285020636093	0.12005375372341293	1.628984697823318	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3103098893623965	0.005	0.004999999999999999	-26526.77596580489	0.0	21.234469346802438
270000	-26515.42667088627	13.653883546975251	-26529.080554433247	0.0521884229887653	0.0521884229887653	0.2674114312596798	0.06817195590038824	1.8927300458402443	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.15892161925235337	0.005	0.004999999999999999	-26529.080554433247	0.0	27.37738297800999
