# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:34:47 AEDT 2019 [seed=1575866084304]
# -overwrite ebola_2018Public_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-63702.67136131185	-922.768557876226	-62779.90280343562	2.2834553199882994	2016.4225135745019	12.474849028517212	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.22022411472421635	1.306332725953587	0.1412723641167938	-62779.90280343562	-836.3780941631686	-72.24006778709297
5000	-35252.971425592754	-946.4812947323605	-34306.490130860395	3.885927104746686	2014.8200417897433	18.90503669546472	0.9377325430049016	-0.36402557937453617	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05114206384288355	0.08261808423797562	0.9628245334795257	0.003429408622893343	6.138530374459422	-0.01033243391129668	-34306.490130860395	-836.3780941631686	-96.91630938257333
10000	-35002.285272205474	-927.334797718335	-34074.95047448714	2.954057161510676	2015.7519117329794	15.289124730516056	0.7454694761316435	-0.14909526245944527	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016601573059592836	0.0984019227738366	1.1114069309794485	0.00410981918715337	6.762270389279281	-0.012416565297258231	-34074.95047448714	-836.3780941631686	-77.47193786295792
15000	-34624.97939646862	-929.0464389410851	-33695.93295752753	3.821923209006987	2014.884045685483	17.279195653567182	0.9706245639943567	-0.26017656500935793	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033587364959096505	0.07402596075849352	1.156494520479476	0.004002508329307439	7.5259104845832	0.006876887661806341	-33695.93295752753	-836.3780941631686	-79.33213435705302
20000	-32945.241804845115	-906.4462453691895	-32038.795559475926	4.542956630669086	2014.163012263821	17.116849488779437	0.6023139756963163	-0.30135130043893343	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03386535174376684	0.05005717880757045	0.7828508900387204	0.0026565298517391245	7.762497691354831	-0.02806789718291069	-32038.795559475926	-836.3780941631686	-58.4243375338296
25000	-32886.199478364775	-890.8140829649226	-31995.38539539985	5.251261608914078	2013.454707285576	17.441623630123857	0.6196516751796971	-0.5305342431947067	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04694759706064042	0.0445219624927844	0.7354049090626423	0.0024045432188459707	7.462574539241069	-0.03499641044257613	-31995.38539539985	-836.3780941631686	-42.82744110074453
30000	-32872.213726327434	-898.3261923000896	-31973.887534027344	4.979498759557018	2013.7264701349332	17.35092985056329	0.7388952913867143	-0.29625597899706224	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.054930207241939956	0.044818779531713974	0.7167098971821824	0.002423886763488193	8.029112992691077	-0.028035409078501196	-31973.887534027344	-836.3780941631686	-50.606906114116114
35000	-32860.431699278175	-899.2158237538769	-31961.2158755243	4.216047035516336	2014.4899218589737	15.573747615643395	0.7143254553752723	-0.5438463786774053	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06519849227548105	0.03982949576953872	0.5485800526759638	0.002672732422579609	8.112986928794701	-0.023504547111261636	-31961.2158755243	-836.3780941631686	-51.89513338868998
40000	-32823.581454800755	-885.5669919766073	-31938.014462824147	4.6394993764756745	2014.0664695180144	15.828940135137131	0.5187813409583115	-0.30223679784158275	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03451659824734055	0.03463764439836581	0.4894306646241297	0.0026549487644714374	8.272391818100322	-0.015769047287038512	-31938.014462824147	-836.3780941631686	-38.87670237793638
45000	-32758.18146735474	-873.8806203528408	-31884.3008470019	4.2903131682828475	2014.4156557262072	14.38248432173444	0.3998793644706014	-0.3112766434996248	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04023882341947669	0.03425874647613955	0.5033962135610879	0.0029935395546797873	7.798405056692327	-0.020759603111152644	-31884.3008470019	-836.3780941631686	-27.141087494050833
50000	-32738.272627846556	-858.7167960701443	-31879.55583177641	4.568260767682414	2014.1377081268076	14.770834011762354	0.4085894353221567	-0.3855851280785223	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06243017947202617	0.02827442978674423	0.3485478238972406	0.0026614054919389066	6.929265479995071	-0.018434278399693	-31879.55583177641	-836.3780941631686	-12.50751982670935
55000	-32700.359762844844	-854.3897513874566	-31845.970011457386	4.94385189450099	2013.762116999989	15.296647707076401	0.3284494041172688	-0.89729294290787	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.058443374574755125	0.027461099173260964	0.36920200641573375	0.0026237348071810602	7.430420919257216	-0.03269353694859795	-31845.970011457386	-836.3780941631686	-7.6444366253523
60000	-32715.04298011151	-845.1522253055138	-31869.890754805994	5.195912890188783	2013.5100560043013	15.12306743394495	0.3258641247985888	-0.6867801155616946	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05582548651486116	0.03064578666189664	0.5056327301004403	0.002678660744191537	7.218806081594338	-0.03014829901947626	-31869.890754805994	-836.3780941631686	1.890597155154111
65000	-32679.372275121543	-840.1709303488602	-31839.201344772682	4.902091759655324	2013.8038771348347	14.489002200256202	0.19708794698893004	-0.8548023878303566	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03975850178656002	0.03234624396165457	0.5112389586584423	0.002883197461670141	6.71382101995955	-0.024287379060049064	-31839.201344772682	-836.3780941631686	7.078221339834372
