# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:35:46 AEDT 2019 [seed=1575866144061]
# -overwrite ebola_2018Public_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-57166.56355565988	-927.2348498946079	-56239.32870576527	3.312449002903388	2015.3935198915867	15.084308210093322	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	5.776655535896271E-4	3.6713398148147953	0.006545147284425846	-56239.32870576527	-836.3780941631686	-78.44243255513715
5000	-34915.605479957565	-1018.1183294979019	-33897.48715045967	5.931997831959524	2012.7739710625306	38.58920845503799	2.6369779199876846	0.05813485400702323	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04092502568513947	0.005	0.021768689142296016	0.0019281141691822484	2.321958111297477	-0.03845358920222996	-33897.48715045967	-836.3780941631686	-171.1206048158477
10000	-32996.844553808405	-1011.615075241837	-31985.229478566565	14.362950336548401	2004.3430185579416	55.24265971944654	2.5969246018098935	-0.11387300252900823	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0240880129098023	0.005	0.03143207962746909	7.542187948396499E-4	3.0642521936094806	-0.04656395741834035	-31985.229478566565	-836.3780941631686	-164.5662966658892
15000	-32892.60422879206	-991.3496349093011	-31901.254593882757	13.602623975745566	2005.1033449187446	48.71660468584179	1.6931933219556363	-0.20676614918925695	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05826834180673594	0.005	0.0280058765536281	8.295186976173903E-4	2.6348584308123275	-0.06216097300736177	-31901.254593882757	-836.3780941631686	-144.14989017543363
20000	-32841.78249888619	-983.460147117632	-31858.32235176856	11.685862457667689	2007.0201064368223	41.992488184734725	1.690489104433433	-0.14728843158098148	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0201240745799434	0.005	0.02645257377561999	9.487923176339043E-4	2.4319673695366717	-0.04596603567432702	-31858.32235176856	-836.3780941631686	-136.40082857120257
25000	-32799.24134765589	-981.5722392753524	-31817.66910838053	13.178335347746366	2005.5276335467438	44.41658701276459	1.7781275004338177	-0.32011588504795196	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.027769807956730282	0.005	0.030298135338224372	9.18680966312425E-4	2.031245851451966	-0.06064609180294944	-31817.66910838053	-836.3780941631686	-134.31326424763063
30000	-32649.102931549387	-989.6262783866224	-31659.476653162765	15.622450218063072	2003.083518676427	62.27789897744734	1.437939475842545	-0.3507822425815672	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0369476724077774	0.005	0.03660319990251768	6.244006819654746E-4	2.0002265028440744	-0.057373119005880685	-31659.476653162765	-836.3780941631686	-142.29936948065227
35000	-32606.865029447577	-973.907670911653	-31632.957358535925	15.538176403985277	2003.1677924905048	60.16997866416203	1.603496475390559	-0.1931470029736404	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.050890036545595506	0.005	0.03616985303384799	6.223062514794784E-4	1.8481016369758811	0.0054812003885273694	-31632.957358535925	-836.3780941631686	-126.71181090205113
40000	-32558.757094849156	-970.2434388863566	-31588.5136559628	15.583340586233723	2003.1226283082563	58.13388557052313	1.0265014168373234	-0.37704329789855984	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08278897049301964	0.005	0.029806256734658566	6.58986542336077E-4	1.730011429989346	0.08231590795615698	-31588.5136559628	-836.3780941631686	-122.8189812727831
45000	-32520.862518939775	-944.8461863078849	-31576.01633263189	15.177770634189033	2003.528198260301	54.523187393067644	0.9175281126113048	-0.3482682395932133	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0773195992967734	0.005	0.028743235604625134	7.16677121182599E-4	1.6177417573702797	-0.012669461437330392	-31576.01633263189	-836.3780941631686	-97.46463264813242
