# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:12:43 AEDT 2019 [seed=1575863778941]
# -overwrite ebola_early2014_sc_het.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
100000	-20224.314901313766	-20647.217466261103	-422.90256494733586	1.0	-20647.217466261103
101000	-20227.048891114646	-20649.203922380017	-422.1550312653726	1.0	-20649.203922380017
102000	-20233.851696564932	-20658.210274265253	-424.35857770032123	1.0	-20658.210274265253
103000	-20235.49256158159	-20661.245755354557	-425.7531937729705	1.0	-20661.245755354557
104000	-20231.100436960343	-20654.609257593762	-423.5088206334174	1.0	-20654.609257593762
105000	-20230.254136874115	-20654.377509685102	-424.12337281098826	1.0	-20654.377509685102
106000	-20240.24726306792	-20666.352534716218	-426.10527164829864	1.0	-20666.352534716218
107000	-20229.208943283444	-20654.649556127555	-425.44061284410986	1.0	-20654.649556127555
108000	-20230.686536067118	-20655.31257563527	-424.62603956815417	1.0	-20655.31257563527
109000	-20238.93752350288	-20665.517530689045	-426.58000718616836	1.0	-20665.517530689045
110000	-20225.91364544337	-20650.358228943773	-424.4445835004053	1.0	-20650.358228943773
111000	-20218.217553947554	-20643.221070553092	-425.0035166055395	1.0	-20643.221070553092
112000	-20214.90904094839	-20639.59018531653	-424.68114436814	1.0	-20639.59018531653
113000	-20223.673934737668	-20653.416039135504	-429.7421043978342	1.0	-20653.416039135504
114000	-20221.519655125077	-20647.350345316474	-425.83069019139674	1.0	-20647.350345316474
115000	-20216.11451980966	-20640.321943514868	-424.2074237052081	1.0	-20640.321943514868
116000	-20221.800478769816	-20647.10070163115	-425.3002228613322	1.0	-20647.10070163115
117000	-20216.78460660018	-20642.530080539083	-425.74547393890435	1.0	-20642.530080539083
118000	-20227.265133300167	-20653.5562982444	-426.29116494423266	1.0	-20653.5562982444
119000	-20226.632275806416	-20649.729602744712	-423.0973269382944	1.0	-20649.729602744712
120000	-20224.536153798632	-20647.407511644262	-422.87135784562963	1.0	-20647.407511644262
121000	-20228.889032323772	-20654.982195240307	-426.09316291653374	1.0	-20654.982195240307
122000	-20224.24819536431	-20650.907274497826	-426.6590791335163	1.0	-20650.907274497826
123000	-20222.050839147334	-20650.21802012482	-428.1671809774847	1.0	-20650.21802012482
124000	-20226.75889989217	-20652.268753453984	-425.50985356181116	1.0	-20652.268753453984
