# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:17:54 AEDT 2019 [seed=1575863808847]
# -overwrite ebola_early2014_ucld_het.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
100000	-20288.660480248676	-21365.517750219053	-1076.8572699703766	1.0	-21365.517750219053
101000	-20297.977998673105	-21378.744271330914	-1080.7662726578092	1.0	-21378.744271330914
102000	-20284.975716238565	-21369.942670024193	-1084.9669537856294	1.0	-21369.942670024193
103000	-20292.005577019067	-21375.958503372676	-1083.9529263536099	1.0	-21375.958503372676
104000	-20292.327058468138	-21367.998979634976	-1075.671921166839	1.0	-21367.998979634976
105000	-20292.466269912653	-21372.704960344345	-1080.2386904316904	1.0	-21372.704960344345
106000	-20289.36359410917	-21370.380622208893	-1081.0170280997222	1.0	-21370.380622208893
107000	-20282.634836430105	-21376.331388205654	-1093.6965517755498	1.0	-21376.331388205654
108000	-20280.808605600054	-21373.80576603574	-1092.9971604356888	1.0	-21373.80576603574
109000	-20281.83637913888	-21373.19484133196	-1091.3584621930775	1.0	-21373.19484133196
110000	-20287.342308588682	-21367.839292483324	-1080.4969838946422	1.0	-21367.839292483324
111000	-20282.73967780476	-21360.267604151137	-1077.5279263463785	1.0	-21360.267604151137
112000	-20289.11910403872	-21367.942164930766	-1078.8230608920442	1.0	-21367.942164930766
113000	-20281.347068276864	-21359.69311355135	-1078.3460452744882	1.0	-21359.69311355135
114000	-20284.358082711806	-21376.253259939713	-1091.895177227908	1.0	-21376.253259939713
115000	-20282.536167828217	-21362.58593917371	-1080.0497713454947	1.0	-21362.58593917371
116000	-20285.23718323645	-21356.85053575527	-1071.6133525188184	1.0	-21356.85053575527
117000	-20288.482640363323	-21367.822821161495	-1079.3401807981727	1.0	-21367.822821161495
118000	-20287.340871381115	-21368.240182695437	-1080.8993113143222	1.0	-21368.240182695437
119000	-20284.465232228198	-21366.682520968596	-1082.2172887403995	1.0	-21366.682520968596
120000	-20286.00161631512	-21366.02564509993	-1080.0240287848085	1.0	-21366.02564509993
121000	-20282.720601792545	-21364.218941701467	-1081.4983399089201	1.0	-21364.218941701467
122000	-20275.230624799333	-21356.740596946638	-1081.509972147307	1.0	-21356.740596946638
123000	-20278.99672397366	-21359.937871734463	-1080.9411477607998	1.0	-21359.937871734463
124000	-20283.193923426115	-21363.893750063904	-1080.699826637789	1.0	-21363.893750063904
125000	-20273.210137372305	-21352.845190851553	-1079.6350534792477	1.0	-21352.845190851553
126000	-20274.13054523037	-21352.203236312507	-1078.0726910821354	1.0	-21352.203236312507
127000	-20268.317591988383	-21356.958312052928	-1088.640720064544	1.0	-21356.958312052928
128000	-20266.8544994493	-21354.692723713357	-1087.8382242640575	1.0	-21354.692723713357
129000	-20277.314563077696	-21365.02100357823	-1087.7064405005315	1.0	-21365.02100357823
130000	-20279.552548633223	-21364.380774282676	-1084.8282256494515	1.0	-21364.380774282676
131000	-20278.251126728468	-21367.518679114764	-1089.2675523862958	1.0	-21367.518679114764
132000	-20278.597290091588	-21365.490282949297	-1086.8929928577086	1.0	-21365.490282949297
133000	-20282.41308163473	-21364.696109849257	-1082.2830282145278	1.0	-21364.696109849257
134000	-20281.796324670297	-21373.7756927698	-1091.979368099504	1.0	-21373.7756927698
135000	-20281.462070972433	-21377.023060748204	-1095.5609897757713	1.0	-21377.023060748204
136000	-20284.606941871432	-21378.250120639965	-1093.6431787685333	1.0	-21378.250120639965
137000	-20288.867041165082	-21382.403122834276	-1093.5360816691918	1.0	-21382.403122834276
138000	-20283.15967738942	-21383.600478788947	-1100.4408013995287	1.0	-21383.600478788947
139000	-20284.62117536044	-21384.472213388497	-1099.8510380280557	1.0	-21384.472213388497
140000	-20277.994065323644	-21375.889672462363	-1097.89560713872	1.0	-21375.889672462363
141000	-20273.601841805557	-21372.90695730669	-1099.305115501136	1.0	-21372.90695730669
142000	-20277.369462162842	-21380.187877596505	-1102.8184154336623	1.0	-21380.187877596505
143000	-20288.59774352947	-21393.586909606765	-1104.9891660772937	1.0	-21393.586909606765
144000	-20276.25586265765	-21383.35866489782	-1107.1028022401697	1.0	-21383.35866489782
145000	-20273.494950861215	-21375.55474118638	-1102.059790325166	1.0	-21375.55474118638
146000	-20280.19981959197	-21385.56052134595	-1105.3607017539812	1.0	-21385.56052134595
147000	-20277.704623908154	-21378.733042061773	-1101.0284181536197	1.0	-21378.733042061773
148000	-20284.8583209817	-21380.85477354667	-1095.9964525649689	1.0	-21380.85477354667
149000	-20278.94501594786	-21371.2565146565	-1092.3114987086424	1.0	-21371.2565146565
150000	-20281.30446792785	-21368.397001906214	-1087.0925339783644	1.0	-21368.397001906214
151000	-20284.687475478844	-21367.708715252385	-1083.0212397735424	1.0	-21367.708715252385
152000	-20281.683473611854	-21357.457493366142	-1075.7740197542885	1.0	-21357.457493366142
153000	-20291.54776810766	-21367.662304329366	-1076.1145362217057	1.0	-21367.662304329366
154000	-20291.216205054952	-21367.60246459132	-1076.3862595363682	1.0	-21367.60246459132
155000	-20287.78292983399	-21358.874982514957	-1071.0920526809693	1.0	-21358.874982514957
156000	-20294.27036892427	-21356.241623640242	-1061.9712547159713	1.0	-21356.241623640242
157000	-20287.82376708873	-21347.33091704896	-1059.5071499602304	1.0	-21347.33091704896
158000	-20292.651647197836	-21363.173358938133	-1070.5217117402963	1.0	-21363.173358938133
159000	-20294.694321392773	-21363.423274355373	-1068.7289529625982	1.0	-21363.423274355373
160000	-20289.9328779643	-21357.557678048786	-1067.6248000844864	1.0	-21357.557678048786
161000	-20285.297387967585	-21358.054554089606	-1072.7571661220206	1.0	-21358.054554089606
162000	-20286.36843358483	-21355.15442569149	-1068.7859921066588	1.0	-21355.15442569149
163000	-20284.28926895049	-21366.27823765027	-1081.988968699777	1.0	-21366.27823765027
164000	-20281.592878407377	-21356.62196717905	-1075.0290887716721	1.0	-21356.62196717905
165000	-20280.015280431384	-21361.78881445722	-1081.7735340258382	1.0	-21361.78881445722
166000	-20269.94894746275	-21360.253052210697	-1090.304104747946	1.0	-21360.253052210697
167000	-20270.08275205621	-21359.16191738153	-1089.0791653253223	1.0	-21359.16191738153
168000	-20265.474421065344	-21372.468555906504	-1106.9941348411608	1.0	-21372.468555906504
169000	-20267.06023960627	-21375.030175400225	-1107.9699357939544	1.0	-21375.030175400225
170000	-20266.723599199813	-21378.378320003983	-1111.654720804169	1.0	-21378.378320003983
171000	-20270.05772483623	-21371.148698781588	-1101.0909739453564	1.0	-21371.148698781588
172000	-20273.385981444822	-21391.875122252142	-1118.489140807318	1.0	-21391.875122252142
173000	-20268.246539386135	-21367.488594640512	-1099.2420552543754	1.0	-21367.488594640512
174000	-20271.07495363444	-21360.96604879973	-1089.8910951652906	1.0	-21360.96604879973
175000	-20279.14274450735	-21381.737468589425	-1102.5947240820756	1.0	-21381.737468589425
176000	-20274.22151360165	-21385.289495307494	-1111.0679817058433	1.0	-21385.289495307494
177000	-20280.90473433913	-21382.41550271765	-1101.5107683785207	1.0	-21382.41550271765
178000	-20280.54267003796	-21384.212777154167	-1103.6701071162045	1.0	-21384.212777154167
179000	-20286.929680970785	-21379.18844425308	-1092.2587632822956	1.0	-21379.18844425308
180000	-20281.85158992632	-21383.296995562272	-1101.4454056359523	1.0	-21383.296995562272
181000	-20281.05814873574	-21383.994517785573	-1102.9363690498326	1.0	-21383.994517785573
182000	-20283.73329352194	-21389.938489753793	-1106.2051962318556	1.0	-21389.938489753793
183000	-20288.36560892867	-21395.93499913465	-1107.569390205978	1.0	-21395.93499913465
184000	-20272.292783805446	-21387.488890761662	-1115.196106956218	1.0	-21387.488890761662
185000	-20285.12455549604	-21390.12029989127	-1104.9957443952305	1.0	-21390.12029989127
186000	-20276.161597410934	-21386.516933260056	-1110.3553358491226	1.0	-21386.516933260056
187000	-20282.624271733697	-21387.143177119993	-1104.5189053862955	1.0	-21387.143177119993
188000	-20280.70556393517	-21390.01411699931	-1109.3085530641386	1.0	-21390.01411699931
189000	-20281.212758972255	-21384.017039764418	-1102.8042807921638	1.0	-21384.017039764418
190000	-20283.610509105303	-21386.998472644224	-1103.3879635389192	1.0	-21386.998472644224
191000	-20274.79387750153	-21383.43579742178	-1108.6419199202514	1.0	-21383.43579742178
192000	-20280.336544205784	-21396.93974977361	-1116.6032055678247	1.0	-21396.93974977361
