# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 12:54:54 AEDT 2019 [seed=1576720491689]
# -overwrite 2012-2014.5_large2014_max200_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-51489.976660664826	-141.66374743721272	-51348.312913227615	1.7555664312825998	2012.7442233963773	13.545159358277813	1.0	0.0	0.5	0.25	0.25	-51348.312913227615	0.0	-127.18831899060292
5000	-31047.79692857324	-159.4121392668309	-30888.38478930641	0.621863668027141	2013.8779261596328	10.837307627080497	1.8894747097745448	1.5776134805756168	0.04590486082727652	0.002680601740897145	0.002680601740897144	-30888.38478930641	0.0	-149.78071054165423
10000	-30077.87091422305	-162.81444573573216	-29915.056468487317	0.5260839931286801	2013.9737058345313	10.879030921619982	1.3316855043252858	0.6331404486444832	0.04420392409007229	0.001739811808430608	0.0017398118084306106	-29915.056468487317	0.0	-154.35907399542472
15000	-29672.082279581562	-161.26894543891189	-29510.81333414265	0.5418422446598565	2013.957947583	10.78125575880192	1.4438281646575906	0.719355621722584	0.05211771559102079	0.0015646978621818748	0.001564697862181876	-29510.81333414265	0.0	-152.76211592266318
20000	-29328.84934061072	-172.26298843825023	-29156.586352172468	0.6384824797877497	2013.861307347872	12.007723525838571	1.3838155987831326	0.6093629640433527	0.07483317016148372	0.0011656494216207023	0.0011656494216207025	-29156.586352172468	0.0	-164.0246715787255
25000	-29216.629732173227	-181.51605708322742	-29035.11367509	0.6437353144050006	2013.856054513255	12.76777332301115	2.143008352665721	2.3580147765494184	0.02784712500370738	0.0010060497077320491	0.0010060497077320496	-29035.11367509	0.0	-171.72851524622646
30000	-29056.61108830459	-180.0896943605843	-28876.521393944007	0.6706048411426639	2013.8291849865172	12.55344891464489	1.4838333462229814	0.430171861363825	0.06973068784323024	0.0010296853006102969	0.001029685300610297	-28876.521393944007	0.0	-172.12607852477342
35000	-29023.30592981098	-174.7143224330448	-28848.591607377937	0.6253123621170741	2013.874477465543	12.414498080631423	1.7252329654135075	1.7574754024870085	0.0474471855891927	0.0010615688113911437	0.0010615688113911439	-28848.591607377937	0.0	-165.44690237715818
40000	-28978.347459096753	-172.72219337339135	-28805.62526572336	0.5936166018247733	2013.9061732258351	12.3719093139759	1.6498280526588722	0.38429213365899906	0.03340539853368682	0.0010233037946524002	0.0010233037946524009	-28805.62526572336	0.0	-164.87319701299407
45000	-28904.706645815695	-159.592643092077	-28745.114002723618	0.8248289396670877	2013.674960887993	12.552968098515839	1.1352827868218103	-0.6288923486005076	0.038568303158255816	0.0010089518345436854	0.0010089518345436854	-28745.114002723618	0.0	-151.50304724329263
50000	-28837.548110564458	-155.22109561190257	-28682.327014952556	0.6846185299816833	2013.8151712976783	11.537176882573993	1.4530400903742353	1.1614748431690272	0.057802593696278146	0.001022814467997368	0.0010228144679973682	-28682.327014952556	0.0	-146.5122961330004
55000	-28812.210915790507	-136.18499131212158	-28676.025924478385	0.6497899628136174	2013.8499998648463	10.664542177075887	1.2747222978845394	0.8173356786099446	0.09130590025172783	0.001157893273186882	0.001157893273186882	-28676.025924478385	0.0	-127.65143102237873
60000	-28779.925333809464	-120.90251158845668	-28659.022822221006	0.6158891230097958	2013.8839007046502	9.70824513448289	1.029489696727884	0.4049158443220173	0.0529495130397418	0.001195751349690265	0.0011957513496902647	-28659.022822221006	0.0	-112.79576541054206
65000	-28771.950470248317	-116.17688706444673	-28655.77358318387	0.5556918318148831	2013.9440979958451	9.108706993604839	1.1507529960474303	2.151651422330499	0.01651433925764176	0.00122001346190805	0.0012200134619080505	-28655.77358318387	0.0	-106.35485438028435
70000	-28778.42668029139	-109.92147684700195	-28668.50520344439	0.5967672162341688	2013.9030226114257	9.15628853550887	0.7645001665813099	-0.046538559704623284	0.07879465778995809	0.0013552792690922442	0.001355279269092243	-28668.50520344439	0.0	-102.02873591984778
