# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:30:04 AEDT 2019 [seed=1576855800735]
# -overwrite 2012-2014.5_large2014_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-40422.82811010224	-1606.9940991494423	-38815.83401095279	1.4186175289987943	1.4186175289987943	10.391081890004587	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.003031655115395781	6.840130133283431	-0.016610603028780462	-38815.83401095279	-1458.9062599854074	-135.67351598773283
10000	-32870.12700046485	-1908.816230117088	-30961.310770347758	2.883805526238657	2.883805526238657	64.49824191615302	12.73538032961873	0.44730982068486536	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.038637130667726796	0.005	0.07203734873941504	4.29071409923216E-4	3.4191465817446867	0.056395407036333584	-30961.310770347758	-1458.9062599854074	-438.75483347333676
20000	-32079.336594553897	-1908.1623478064055	-30171.17424674749	3.964928640719754	3.964928640719754	66.0454254723847	12.458940934644268	0.5904743705925657	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019219335639368125	0.005	0.09581452361903067	3.443753753941509E-4	4.120982086510846	-0.0482066012690348	-30171.17424674749	-1458.9062599854074	-437.92529344255826
30000	-31559.954996310746	-1927.5193357215342	-29632.43566058921	2.6576854207564233	2.6576854207564233	65.39538452916628	25.02095676680966	1.5363547092350784	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04408074834946673	0.005	0.2532869045521852	3.0841615735307826E-4	5.45278473767631	-0.020852910451253273	-29632.43566058921	-1458.9062599854074	-455.81413543066645
40000	-31292.615008884204	-1920.1817663461693	-29372.433242538034	3.142312210505028	3.142312210505028	64.25824903703986	20.735380741441855	0.9121408401462263	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028875096298219875	0.005	0.21150006463303145	2.711025407304945E-4	5.222580862356904	-0.03129817674960485	-29372.433242538034	-1458.9062599854074	-449.2565946040107
50000	-31232.205833874734	-1914.0291522533848	-29318.17668162135	4.724436723033267	4.724436723033267	65.04064373314097	17.209389162496247	0.6873856236308058	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0668684490481827	0.005	0.20855487372885786	2.53302795313285E-4	3.879508578638407	-0.02859418812916658	-29318.17668162135	-1458.9062599854074	-443.26161985486993
60000	-31091.379588549866	-1909.0424144909243	-29182.337174058943	3.7162322840061766	3.7162322840061766	60.40602512576561	17.234634557365588	0.9676397804436654	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.003965837889409797	0.005	0.28845456468674846	2.513221470783784E-4	3.9999705560306458	-0.019466198743988073	-29182.337174058943	-1458.9062599854074	-437.8807338325865
70000	-31008.571581563203	-1898.2874675311257	-29110.284114032078	2.492358408163334	2.492358408163334	53.48121641627339	19.364065027150758	1.6581603080063723	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.003421774625522073	0.005	0.26813390370303253	2.683924063624306E-4	4.267608514200647	-0.029800787119880243	-29110.284114032078	-1458.9062599854074	-426.49729516039946
80000	-30938.387094548274	-1890.0620574892712	-29048.325037059003	2.7230341437980843	2.7230341437980843	51.10106512579382	16.944527350466803	1.6577622500317855	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.032852455589894074	0.005	0.19577383623551833	3.044216536114358E-4	4.121955178347893	-0.026559816971392338	-29048.325037059003	-1458.9062599854074	-418.43052621237007
90000	-30953.84069594056	-1914.015045485083	-29039.825650455474	3.187229700863079	3.187229700863079	61.18865389382859	17.324190222074517	1.1019709032018845	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.044086850037160966	0.005	0.3374496595898367	2.3077064178829678E-4	4.361665651875045	-0.02759122345626284	-29039.825650455474	-1458.9062599854074	-442.4918054994256
