# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 23 14:13:02 AEDT 2019 [seed=1577070779634]
# -overwrite 2012-2014.5_large2014_max200_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-52622.721036579256	-1610.6499099264092	-51012.071126652845	2.6164874722844003	2011.8833023553755	16.144196349319976	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.20532539610802872	1.2721170289923662	-0.01499504049140606	-51012.071126652845	-1458.9062599854074	-136.80484022796992
10000	-32454.284216843855	-1707.6368139979757	-30746.64740284588	1.464800641863194	2013.0349891857968	21.464233329334906	2.0245781036016344	-0.5603940341836435	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.029890336229709755	0.013426231933370007	0.15353397737164468	0.001201965387512312	4.282691032255656	0.04620787647991387	-30746.64740284588	-1458.9062599854074	-240.06336166509476
20000	-31891.7575513506	-1701.8533314082406	-30189.90421994236	9.907159249488183	2004.5926305781718	38.33241021467883	2.1314578160806663	-0.26046964187309496	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025775413222520013	0.00910481811209629	0.09501408902634534	5.793356751803145E-4	4.055896174745187	0.008263208941051085	-30189.90421994236	-1458.9062599854074	-235.1869232812172
30000	-31487.777606548923	-1683.8153259822761	-29803.962280566648	3.1575055565623504	2011.3422842710975	21.93871739296007	1.8984207358195857	0.28333903375641034	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009181784900409348	0.004322693176176885	0.024048047255280893	8.258885208837491E-4	3.041114898378085	0.02962713553722195	-29803.962280566648	-1458.9062599854074	-217.71975262612523
40000	-31102.215643996467	-1669.1536885984463	-29433.06195539802	1.435125982967039	2013.0646638446929	17.422463746123743	2.215431255638639	1.0836009523080221	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005969178119620729	0.0032293919743242175	0.012410825896081537	0.0010208527516327077	2.4160463615788186	-0.01855393853008443	-29433.06195539802	-1458.9062599854074	-202.36830348676708
50000	-30863.2303877672	-1671.5503315140325	-29191.680056253164	1.5345128054427306	2012.9652770222172	18.82296745749679	1.8096938492042354	-0.03613780548358858	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.003578896384208477	0.001893855025063521	0.004788892136622123	8.771892117255675E-4	1.6593066723795444	0.024364343925729132	-29191.680056253164	-1458.9062599854074	-206.16617438077094
60000	-30756.567313000454	-1643.5491378823688	-29113.018175118086	1.5411177102297642	2012.95867211743	16.405876833356523	1.3779720483090898	0.036413508706450104	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.00864805814749284	0.0013484543198434733	0.002551047168963737	7.51108126102732E-4	1.3387464491960426	0.022122629590674944	-29113.018175118086	-1458.9062599854074	-178.27591860847375
70000	-30624.947924404303	-1647.9014831879244	-28977.04644121638	1.0161274489803291	2013.4836623786796	15.011608538769638	1.611893564388984	0.4767668798882372	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.056862480676922386	0.0014270559267694426	0.0017701382798935687	9.168847113622512E-4	0.9764554547064734	0.010930026148123379	-28977.04644121638	-1458.9062599854074	-182.0217870802403
80000	-30408.468425911447	-1624.2692914877678	-28784.19913442368	0.724915361452808	2013.7748744662072	12.700770420851981	1.502700142769632	0.7493754800073149	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006255082151969634	9.097296795198296E-4	9.632559843614901E-4	8.099992039547403E-4	0.9366736700892362	-0.0457296958978084	-28784.19913442368	-1458.9062599854074	-158.3720215324438
90000	-30283.82469023711	-1614.784802572629	-28669.03988766448	1.034504381545184	2013.4652854461146	13.27712327868241	1.174082683837417	0.17332733768876607	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028223139666241213	0.0010634917487113312	0.0010476398497474427	9.57494561459017E-4	1.001636370434141	-0.027929847586440574	-28669.03988766448	-1458.9062599854074	-149.36093617054064
100000	-30223.124092140533	-1600.5477783317754	-28622.576313808757	0.9232635292498126	2013.57652629841	12.598745659233405	0.8180345870508715	-1.4736237091199405	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01013341782481633	0.001289107810714405	0.0016213381961942934	9.367727658648507E-4	1.055833729770024	0.06617933198296629	-28622.576313808757	-1458.9062599854074	-133.7335374348316
110000	-30191.466188358205	-1577.3885897988175	-28614.077598559386	0.7244789180454949	2013.7753109096145	10.596487564107116	0.734256082815289	-0.7179641636222613	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012223671984183256	0.0016154205082127408	0.0018555754057875838	0.0011622486258605345	1.2183670598021672	-0.05554884816999609	-28614.077598559386	-1458.9062599854074	-111.1248896164624
120000	-30127.904747006658	-1552.0718473132063	-28575.83289969345	0.8684997778092259	2013.6312900498508	10.054505448748834	0.6556821298124301	-0.8018665824983449	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05278479589985577	0.00165496446822528	0.0023673163339764363	0.0011965606877928881	1.417612720805828	-0.007596079517816441	-28575.83289969345	-1458.9062599854074	-85.60372296776784
130000	-30108.433567521286	-1536.5493086186907	-28571.884258902595	0.8448835873744366	2013.6549062402855	9.37818788849538	0.6091031789908616	-0.3020390161551254	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028236995547492916	0.0016429837183741859	0.0030343931758477177	0.0011194988244465265	1.5152369982038183	0.04668656369484394	-28571.884258902595	-1458.9062599854074	-70.59815397883132
140000	-30099.09682158134	-1533.832773823989	-28565.26404775735	0.7473628107393537	2013.7524270169206	8.522015007259112	0.5237839638571079	-0.549745626887741	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.048143086260969734	0.0020375249068492296	0.0030646982300398746	0.001538950098564004	1.2414750862996164	-0.009010708367735288	-28565.26404775735	-1458.9062599854074	-67.43657692198317
150000	-30072.436164170074	-1513.9779904907834	-28558.45817367929	0.6306686573257456	2013.8691211703342	7.727478361859436	0.5838616106758726	-0.2754718256300941	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03665057771599672	0.0016374739038657053	0.0025892922460659384	0.0013847469866674934	1.276214684945871	0.037297167533537304	-28558.45817367929	-1458.9062599854074	-47.94554370659588
160000	-30057.73380418626	-1500.5512079621894	-28557.18259622407	0.6795332077411491	2013.8202566199188	7.270650498962231	0.5590006494702373	0.46122413706951093	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02009644813664815	0.0019787058073364493	0.003949657484814677	0.0014704918941898357	1.5986819212797014	0.033647008051804796	-28557.18259622407	-1458.9062599854074	-34.2351908060714
170000	-30105.59849757091	-1512.0425704660956	-28593.555927104815	0.5032716808391645	2013.9965181468208	7.1561851605049425	0.5212068275765684	0.11975367833080552	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.029542717383411285	0.00167787174590555	0.002051283429726175	0.0015626318890344453	1.189790083024003	-0.010459850355752075	-28593.555927104815	-1458.9062599854074	-46.131730098500505
180000	-30059.149155785075	-1479.4806697998008	-28579.668485985276	0.5195969925187742	2013.9801928351412	6.320624373372527	0.4549950206148641	0.5020462952690565	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01334072962481593	0.00191412026373531	0.0024654870930633176	0.001622866001705839	1.272818433839177	-0.11031463503421556	-28579.668485985276	-1458.9062599854074	-13.090662069607834
190000	-30061.393165762893	-1485.2616331068405	-28576.13153265605	0.5520222529506847	2013.9477675747091	6.615677008093689	0.4172787450936766	-0.367071839185136	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0196285592969958	0.0022457162075062978	0.003819232022214308	0.0017438893293296252	1.3720880363692358	-0.05625013002458621	-28576.13153265605	-1458.9062599854074	-18.9301337034982
200000	-30052.810397496654	-1478.715888856314	-28574.09450864034	0.5095212869839416	2013.990268540676	6.041728825596025	0.4477125067302614	0.1790916944420491	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09838309103471253	0.002242443681840776	0.0034231237015162914	0.0019638960727883315	1.414876020138763	0.0660978287376001	-28574.09450864034	-1458.9062599854074	-12.37271042969073
210000	-30032.506760452674	-1473.8500369847932	-28558.65672346788	0.41274637772371564	2014.0870434499361	5.669179899951141	0.4238417732732566	0.47716691484414664	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030235150460859395	0.0021054805144419455	0.0034699598747729298	0.0018665035806069755	1.5650500509295124	-0.019703775757042626	-28558.65672346788	-1458.9062599854074	-7.3462392154626714
