# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 13:37:36 AEDT 2019 [seed=1576550254053]
# -overwrite 2014-2014.5_subset_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-34266.97015992988	-164.2039914335327	-34102.766168496346	2.229367285974032	2012.270422541686	16.231766359837327	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005	-34102.766168496346	0.0	-151.69105596856247
5000	-30758.82797737984	-153.3965646476475	-30605.431412732192	0.46234988991255216	2014.0374399377474	9.981421490191709	1.3805862565406697	1.6577814598268528	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03347293779289249	0.005	0.005000000000000001	-30605.431412732192	0.0	-140.15889804140207
10000	-30089.568496878586	-103.10718187227354	-29986.461315006312	0.3797475180535748	2014.1200423096063	7.694049626417565	0.9468031151166715	1.4470490201233384	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030285351190663327	0.005	0.0049999999999999975	-29986.461315006312	0.0	-90.0866272167675
15000	-29513.386670377862	-58.50190924920016	-29454.884761128662	0.33565152417296246	2014.1641383034869	6.289530576716927	0.5416957575141368	0.8048381986614259	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.017965762766627456	0.005	0.004999999999999996	-29454.884761128662	0.0	-46.14820864307767
20000	-29291.694655424897	-16.781923686713327	-29274.912731738183	0.3449134926676159	2014.1548763349922	5.3548295051143855	0.4633175962406225	0.8619667345941202	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013119946536478896	0.005	0.005	-29274.912731738183	0.0	-4.380786960900058
25000	-29199.57406316366	6.03628982763898	-29205.6103529913	0.3346050613266152	2014.1651847663334	4.86106400755414	0.35647078090262696	0.9792519161324129	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026377012185295038	0.005	0.0049999999999999975	-29205.6103529913	0.0	18.58122479782002
30000	-29152.2689252044	17.94512732669936	-29170.2140525311	0.3019529069461986	2014.1978369207138	4.575950470644769	0.29432776837286306	0.08608703502524695	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03509790635892223	0.005	0.005000000000000003	-29170.2140525311	0.0	29.614338582690365
35000	-29082.77688509826	24.259325424795918	-29107.036210523056	0.2951812115817227	2014.2046086160783	4.402865971091152	0.29024756966809945	1.2246679058629206	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.020623980780205435	0.005	0.004999999999999994	-29107.036210523056	0.0	37.03816965966517
40000	-29027.052620704177	33.09014782009474	-29060.14276852427	0.29621475577906714	2014.2035750718808	4.151778815655212	0.42378055467796066	3.6843391676053603	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02979788590597016	0.005	0.005000000000000004	-29060.14276852427	0.0	48.34701246228782
45000	-29000.919133899846	36.15271093159714	-29037.071844831444	0.28237145115766815	2014.2174183765023	4.050914240115571	0.359540779431221	0.1816481469649447	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0474232528214474	0.005	0.005000000000000001	-29037.071844831444	0.0	47.94213464458301
