# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 15 12:43:52 AEDT 2020 [seed=1579052629599]
# -overwrite 2014.5-2015_large2014_max200_pruned_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-59505.62985825977	-89.3681574876075	-59416.26170077216	1.7955809445984434	2016.9103879498916	11.613694024349751	1.0	0.0	0.5	0.25	0.25	-59416.26170077216	0.0	-75.29867321478976
5000	-32110.722109786486	-30.266144903731842	-32080.455964882753	2.6627677385340993	2016.043201155956	10.201523143549567	0.4405547041467978	-0.3575461994107465	0.04997793652307962	0.004249916975675949	0.004249916975675948	-32080.455964882753	0.0	-21.57168882561453
10000	-31777.438734151434	-22.065414658529754	-31755.373319492905	2.9222525992336976	2015.7837162952565	10.597974556773435	0.40572353779840975	-0.46316617608610455	0.04768651285502875	0.0036422025017931216	0.003642202501793119	-31755.373319492905	0.0	-13.370895822530679
15000	-31689.74789483579	-5.539161852842221	-31684.20873298295	3.539287357914785	2015.1666815365752	11.696861142758392	0.22978959983936267	-1.2631616458256498	0.03348428243519212	0.003267204939613327	0.003267204939613328	-31684.20873298295	0.0	3.822906633372905
20000	-31615.26069339113	2.9715036246575632	-31618.232197015786	3.5208434883095365	2015.1851254061805	11.760922289062652	0.2846825697045406	-0.4740436632915379	0.03103443197401175	0.00309663341743844	0.00309663341743844	-31618.232197015786	0.0	11.508217612926709
25000	-31626.399120673814	-14.619681328357078	-31611.779439345457	3.655673705292995	2015.0502951891972	12.392855182899243	0.4112066635344278	-0.4316646304846996	0.012832799441799226	0.0031726055180411896	0.003172605518041188	-31611.779439345457	0.0	-6.172900043465642
30000	-31611.105668927405	-15.181489188934558	-31595.92417973847	4.090224204664841	2014.6157446898253	13.676382988289593	0.41273245262092845	-0.3902787410130333	0.033282477245706724	0.0026280699356381193	0.0026280699356381184	-31595.92417973847	0.0	-6.881996488648031
35000	-31606.097503011173	-17.947540724385256	-31588.14996228679	4.407091826295686	2014.2988770681943	14.852650378392863	0.3884735596021923	-0.8141548023781029	0.08756213951083167	0.0024491438554014163	0.0024491438554014176	-31588.14996228679	0.0	-9.191688617082221
40000	-31569.66163040761	-14.429115270054567	-31555.232515137555	4.7036013266904755	2014.0023675677996	15.609215868870717	0.31738598475721785	-0.47466091707496116	0.09198922485023328	0.0024045188421920527	0.0024045188421920514	-31555.232515137555	0.0	-6.03678314872004
45000	-31559.68666671393	-18.94644906096154	-31540.74021765297	4.971868646444319	2013.7341002480457	16.51209834710584	0.36278107180540703	-0.6982921352839642	0.04998354389851353	0.002208010753711404	0.0022080107537114043	-31540.74021765297	0.0	-10.486315224278538
50000	-31560.05498897703	-16.592879204346033	-31543.462109772685	4.59436295369386	2014.1116059407962	15.70316164787521	0.3396100427163855	-0.9232336748740746	0.10755233083767288	0.0022741651664937934	0.002274165166493793	-31543.462109772685	0.0	-7.753537642905723
55000	-31519.23552226604	4.468314388658094	-31523.7038366547	4.152359164299581	2014.5536097301906	13.605933955359896	0.3060390867442215	-0.6502848227532159	0.039178413696372164	0.0026711231515462773	0.002671123151546277	-31523.7038366547	0.0	13.050711503845573
60000	-31497.399042665853	15.324244924756746	-31512.72328759061	4.18188344184872	2014.5240854526414	13.488382910347074	0.24282536685857178	-0.8283719614204654	0.03519994771243153	0.002535518520462552	0.00253551852046255	-31512.72328759061	0.0	24.052916708362766
65000	-31513.231420864082	4.842531872889014	-31518.07395273697	4.648366726735489	2014.0576021677546	15.151708471899694	0.2663921936310521	-0.8315963435877962	0.08464539447529032	0.0024665238970511855	0.002466523897051185	-31518.07395273697	0.0	13.604554755906193
70000	-31511.23867258809	-3.6557014383938427	-31507.582971149695	4.815309696438405	2013.8906591980517	15.460237115263265	0.23864153360453	-0.9126824064099577	0.027791789333921853	0.002416791402632294	0.0024167914026322927	-31507.582971149695	0.0	5.05342857631919
75000	-31503.420354692065	14.313803002185727	-31517.734157694253	3.907373265321244	2014.7985956291689	12.80148153310395	0.21644577402995369	-0.7293981303146628	0.0444989887538018	0.002714670081348005	0.002714670081348005	-31517.734157694253	0.0	23.022920601774562
80000	-31496.37071783298	17.812004667458787	-31514.182722500438	4.231190366051131	2014.474778528439	13.653395178989985	0.2332659260203684	-1.1642093426565718	0.0678295665421771	0.002604457861619306	0.002604457861619306	-31514.182722500438	0.0	26.950466095284217
85000	-31508.412866310082	8.815653956736472	-31517.228520266817	4.081276486392693	2014.6246924080974	13.199226271443557	0.2555846620534977	-0.7524572866740862	0.07261977523439547	0.0027315701565693517	0.002731570156569351	-31517.228520266817	0.0	17.59317992104893
90000	-31510.88063055584	7.872644026524576	-31518.753274582363	4.351102232350607	2014.3548666621396	14.210644242466547	0.20219835031301694	-1.024535258995679	0.04150653362884988	0.002803325123165343	0.0028033251231653414	-31518.753274582363	0.0	16.83985168830317
95000	-31488.91039524785	20.473305447320897	-31509.383700695173	3.9050353218381453	2014.800933572652	12.46474887522546	0.21167890911495046	-0.8907571564608958	0.07199269518166053	0.0028685557520647304	0.002868555752064731	-31509.383700695173	0.0	29.440670761638795
100000	-31505.11316022649	16.324654439114116	-31521.437814665605	3.9272428688073955	2014.7787260256828	12.79058303265292	0.23827239112740803	-0.7236960805047332	0.08738789248864198	0.0029284535534999214	0.002928453553499922	-31521.437814665605	0.0	25.154880727378167
