# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 15 12:43:19 AEDT 2020 [seed=1579052597543]
# -overwrite 2014.5-2015_large2014_max200_pruned_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-91784.29982286609	-114.40382564640329	-91669.89599721969	1.2985163202048844	1.2985163202048844	10.006225328140815	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.0049999999999999975	-91669.89599721969	0.0	-101.89089018143306
5000	-33999.63842599881	-150.78959929501374	-33848.8488267038	2.8985681187874235	2.8985681187874235	19.397239793497516	2.0794693663044996	-0.18287286820523851	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07365708692480222	0.005	0.005	-33848.8488267038	0.0	-138.94646599329502
10000	-31858.76896551486	-95.19294194042493	-31763.576023574435	2.453038666548481	2.453038666548481	10.887508018599455	1.069053422391864	0.016784896562274998	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013826374322104013	0.005	0.005000000000000002	-31763.576023574435	0.0	-83.635568139714
15000	-31760.572665426018	-74.67777089571811	-31685.8948945303	2.090043338217774	2.090043338217774	9.039968104184682	0.8535390395008232	-0.37754859294964627	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03187458193736139	0.005	0.004999999999999998	-31685.8948945303	0.0	-62.72353913853312
20000	-31703.528310311893	-62.79759056151033	-31640.730719750383	2.1073629820397732	2.1073629820397732	8.431159861800174	0.6688798407660601	-0.185018341543967	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01622002677438176	0.005	0.004999999999999999	-31640.730719750383	0.0	-51.06720001264897
25000	-31676.995116342594	-53.23315621323871	-31623.761960129355	2.0356401439124783	2.0356401439124783	7.827817427239907	0.6609954731067313	0.31647496152925636	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015579939711660527	0.005	0.005	-31623.761960129355	0.0	-41.37258929736117
30000	-31624.651245579986	-45.51020039277917	-31579.141045187207	1.974314554142629	1.974314554142629	7.509805306204516	0.5216139601392171	-0.9774026067297077	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07219954681852264	0.005	0.004999999999999999	-31579.141045187207	0.0	-32.87546801130259
35000	-31630.55196528925	-37.26290366904066	-31593.28906162021	1.925879927110873	1.925879927110873	7.334666666976335	0.4510598740487859	-0.3659828494965114	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012979485339583778	0.005	0.004999999999999999	-31593.28906162021	0.0	-25.35803187329601
40000	-31616.644801362367	-46.82256044152838	-31569.82224092084	1.9974006668324427	1.9974006668324427	7.595105996918912	0.5760348142623926	-0.8607550121595628	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019293440324727438	0.005	0.005000000000000002	-31569.82224092084	0.0	-34.41028732340099
45000	-31601.231333799537	-36.85032936126211	-31564.381004438274	1.8638270458724162	1.8638270458724162	7.003516350670293	0.4251329598854831	-0.8446604644989559	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07302723400334626	0.005	0.005000000000000002	-31564.381004438274	0.0	-24.346684712456636
50000	-31587.134261420368	-23.87941765897167	-31563.254843761395	1.7914020752778663	1.7914020752778663	6.726299275863557	0.4312355508266311	-0.6404464189218155	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05753710690762543	0.005	0.005000000000000001	-31563.254843761395	0.0	-11.610967248908864
55000	-31570.227388996846	-28.986375554421297	-31541.241013442424	1.9191096473178146	1.9191096473178146	7.100003603980241	0.4275905253204161	-0.19588835920107095	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07649273978572042	0.005	0.005	-31541.241013442424	0.0	-17.124571974773303
