# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:31:51 AEDT 2019 [seed=1576855908462]
# -overwrite 2014.5-2015_large2014_max200_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-50528.605001271244	-207.7019288795287	-50320.90307239172	3.676299907537783	3.676299907537783	17.398389715279023	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.004999999999999992	-50320.90307239172	0.0	-195.18899341455847
10000	-40386.46299771592	-482.2178654176201	-39904.2451322983	4.0741047013999925	4.0741047013999925	24.068709097324255	3.6350094615484285	0.4315347934121927	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030864693120032996	0.005	0.0049999999999999975	-39904.2451322983	0.0	-470.211639422903
20000	-39174.45934391829	-486.1150260632435	-38688.34431785505	3.87174616683489	3.87174616683489	21.7726122482842	4.377343613940072	0.7427316905793606	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023378846256182063	0.005	0.004999999999999997	-38688.34431785505	0.0	-473.8125674417454
30000	-38549.056416439504	-486.73558774859913	-38062.32082869091	3.886655766154884	3.886655766154884	21.216114275694174	4.359912066767492	0.6695269051101216	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05712527748322765	0.005	0.004999999999999997	-38062.32082869091	0.0	-474.43884122443166
40000	-37946.866159408826	-468.8667543692412	-37477.99940503958	3.8863333314356274	3.8863333314356274	20.271286551106293	4.202947922951614	0.6826861628186442	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.037698353645902224	0.005	0.005000000000000002	-37477.99940503958	0.0	-456.5957040046813
50000	-37575.535684997994	-433.5722259587704	-37141.96345903922	4.037986190024282	4.037986190024282	18.700976801977408	3.307485008336814	0.1788248401550645	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01784076181906571	0.005	0.005000000000000002	-37141.96345903922	0.0	-421.8447610551569
60000	-37326.16445731096	-437.05818283170163	-36889.10627447926	3.5427515540326113	3.5427515540326113	17.832733984612105	3.404741298728156	0.5247476103157274	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.017553277195170976	0.005	0.00499999999999999	-36889.10627447926	0.0	-424.98536915461233
70000	-37125.505030228676	-414.01443950856964	-36711.49059072011	3.498650244005287	3.498650244005287	16.593637917499475	3.14095865489484	0.36415523742842826	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008401765903683477	0.005	0.005000000000000005	-36711.49059072011	0.0	-402.12052386477706
80000	-36976.90640786981	-407.31289775980434	-36569.593510110004	3.5547149895619268	3.5547149895619268	16.436850149653804	2.6893989335310793	0.3698981661055456	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015321868452746383	0.005	0.005	-36569.593510110004	0.0	-395.39940349783376
90000	-36799.47678145715	-387.55038692001506	-36411.926394537135	3.704674010135479	3.704674010135479	16.017915410377526	2.359116615954715	0.11694939307187369	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007723251482815674	0.005	0.005000000000000005	-36411.926394537135	0.0	-375.90504196784116
100000	-36610.29191459036	-370.94947003098855	-36239.34244455937	3.848816506427748	3.848816506427748	15.749268538117162	2.1786071960776203	0.41180519479027833	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03841335945051787	0.005	0.004999999999999994	-36239.34244455937	0.0	-358.947890866255
110000	-36580.45292285936	-387.23813529593434	-36193.214787563425	3.853216026921883	3.853216026921883	16.585155530827734	2.385765709963531	0.4707993926091316	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01655639077315673	0.005	0.005	-36193.214787563425	0.0	-375.22127379915156
120000	-36437.948281900324	-382.09937169677164	-36055.84891020355	3.8504878025694738	3.8504878025694738	16.26365143474122	2.515376961513017	0.19335881989590176	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03560862672487052	0.005	0.004999999999999993	-36055.84891020355	0.0	-370.32184500468617
130000	-36367.75904185906	-371.42920740882096	-35996.32983445024	3.8910788149644975	3.8910788149644975	15.890658721132546	2.4297595024010863	0.543026535089943	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04706196837817048	0.005	0.0049999999999999975	-35996.32983445024	0.0	-359.27910717440943
140000	-36313.40464886109	-359.58275263017805	-35953.82189623091	3.6820382008639534	3.6820382008639534	15.444550405072002	2.0788105377232773	0.32819725204054406	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010366065017428453	0.005	0.0049999999999999975	-35953.82189623091	0.0	-347.720876995027
150000	-36249.826442748774	-364.2942776388685	-35885.53216510991	3.706941777830316	3.706941777830316	15.307444489747754	2.081131537246216	0.3024070077668968	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08249127160621765	0.005	0.0049999999999999975	-35885.53216510991	0.0	-352.31394181160357
160000	-36210.8677460038	-362.56274619069166	-35848.30499981311	3.263586042547059	3.263586042547059	14.54462759809494	2.1398894496441763	0.1519463220638917	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02649562228431438	0.005	0.004999999999999996	-35848.30499981311	0.0	-350.8448617601944
170000	-36212.88867682096	-355.18677775369883	-35857.701899067266	3.8599193411155026	3.8599193411155026	15.339665458361818	2.3622961327070473	0.04581623356073261	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07821801345238309	0.005	0.005000000000000001	-35857.701899067266	0.0	-343.4715764053018
180000	-36239.599911017176	-367.1428952741839	-35872.45701574299	3.616984035475644	3.616984035475644	15.173316601781636	2.257626215594971	0.580319698557807	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09523803290550965	0.005	0.005000000000000001	-35872.45701574299	0.0	-354.8591514685827
190000	-36221.93673926237	-363.73453630408125	-35858.20220295829	3.785196188405215	3.785196188405215	15.340866026080695	2.0049175490894435	0.2606823065725987	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09740148678267282	0.005	0.005000000000000007	-35858.20220295829	0.0	-351.76610550979757
200000	-36123.306171808385	-363.9452936342243	-35759.36087817416	3.2906518160598606	3.2906518160598606	14.601236406820103	2.5741214402416492	0.37779753159572493	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0896486295171929	0.005	0.004999999999999998	-35759.36087817416	0.0	-351.8752476374096
210000	-36063.046770586916	-364.0329726891106	-35699.0137978978	3.7179922704313366	3.7179922704313366	15.372155485977213	2.063605283801271	-0.13623260371857193	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006109727250950677	0.005	0.005000000000000003	-35699.0137978978	0.0	-352.371574529867
220000	-36043.64678557315	-347.2459051633769	-35696.400880409776	3.9103461808944067	3.9103461808944067	15.407064387027809	1.9077495171065242	0.38203589075203803	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006504549025769771	0.005	0.004999999999999999	-35696.400880409776	0.0	-335.3379156321079
230000	-36028.850713550484	-355.43413757157145	-35673.41657597891	3.638361040440618	3.638361040440618	14.815004412389367	2.2891465766233847	0.7001094649596131	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09121647765271794	0.005	0.004999999999999999	-35673.41657597891	0.0	-343.03864679487043
240000	-36036.253176986	-360.75897049954375	-35675.49420648646	3.5604615407882316	3.5604615407882316	14.58463552825936	2.09214380481057	-0.30545139810891864	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1744543089744608	0.005	0.004999999999999999	-35675.49420648646	0.0	-348.5916640970776
250000	-36045.188952551915	-364.99981730907473	-35680.18913524284	3.8954257037930944	3.8954257037930944	15.38941644505494	2.1211261329976336	0.21228899123846845	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10138726826604966	0.005	0.005000000000000007	-35680.18913524284	0.0	-353.0718071050726
260000	-36035.75927548745	-352.39106166402394	-35683.36821382343	3.464311651653364	3.464311651653364	14.281403811240047	1.8682465030895248	-0.014250457005251294	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1330553857655157	0.005	0.0049999999999999975	-35683.36821382343	0.0	-340.5977562880524
270000	-36023.61315117097	-351.03406797506756	-35672.5790831959	3.36432672757068	3.36432672757068	14.240928881829209	2.1248014196792284	-0.04380378653857386	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07856553338265747	0.005	0.005000000000000002	-35672.5790831959	0.0	-339.32018640877925
280000	-36025.491051105724	-355.2342266102099	-35670.25682449551	3.3235870264210936	3.3235870264210936	14.190780123475156	2.127561277658772	0.5079849854351968	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022081599789860764	0.005	0.005000000000000005	-35670.25682449551	0.0	-343.16913168461195
