# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 13:42:56 AEDT 2019 [seed=1576550564448]
# -overwrite 2014.5-2015_subset_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-176297.6388759136	-997.0264969444601	-175300.61237896915	3.7851186715727048	2011.2144609837474	40.77811295567228	1.0	0.0	0.5	0.25	0.25	-175300.61237896915	0.0	-976.2938882233708
5000	-139313.03421952948	-3888.581068621019	-135424.45315090846	1.9288807946565987	2013.0706988606635	148.23227865530654	21.07679256527878	0.7405542304577388	0.0917320592749905	0.025454235528978505	0.02545423552897847	-135424.45315090846	0.0	-3876.133236571397
10000	-130677.77522276921	-3813.5386158548886	-126864.23660691432	3.120795543390539	2011.8787841119295	149.14121418256644	25.4521815438873	1.4336135748793055	0.09712157490387234	0.023113431958975507	0.02311343195897548	-126864.23660691432	0.0	-3800.7641663760473
15000	-125705.81526047224	-3763.3470736021673	-121942.46818687007	4.227789144647138	2010.7717905106729	149.23483035801888	25.72140509520401	1.4368632577042932	0.09308548684480052	0.02219762778862993	0.022197627788629846	-121942.46818687007	0.0	-3750.732478011525
20000	-121461.99860133	-3700.5027763323005	-117761.49582499769	3.9432382015893914	2011.0563414537307	143.872637223938	19.76698206155444	1.04067062748141	0.09559212308139207	0.0211269415906908	0.02112694159069071	-117761.49582499769	0.0	-3688.558911900237
25000	-116143.7745372075	-3628.218590749754	-112515.55594645775	2.5123381953705293	2012.4872414599495	136.89079235731242	22.560485214153527	1.6113474112538928	0.09559212308139207	0.018786025349063092	0.01878602534906302	-112515.55594645775	0.0	-3616.205821929283
30000	-108983.02260369575	-3621.732169619467	-105361.29043407628	2.5446547998584137	2012.4549248554617	138.73243618751275	21.77371862173187	1.6000741491519939	0.09827844381224496	0.015568730523244288	0.01556873052324424	-105361.29043407628	0.0	-3610.237661518058
35000	-102900.53598985974	-3633.73990889749	-99266.79608096225	8.119801911682941	2006.879777743637	148.17592416762335	13.975962273228419	0.4857822020947129	0.10300360264202227	0.011343244828427907	0.011343244828427874	-99266.79608096225	0.0	-3624.02066010019
40000	-99935.2464063935	-3617.6706653545198	-96317.57574103898	4.036616275463793	2010.9629633798563	140.29949386622835	19.299624837522508	1.132420024258374	0.10119765377665664	0.009044889301198098	0.009044889301198065	-96317.57574103898	0.0	-3607.806040616779
45000	-98161.02524596243	-3616.3789359134707	-94544.64631004896	3.8445914551555984	2011.1549882001646	140.54597661516937	18.37443913541779	1.061995755975888	0.0999169826339752	0.008677358661476502	0.008677358661476484	-94544.64631004896	0.0	-3606.6583505770495
50000	-93501.85610824251	-3599.2066887503756	-89902.64941949214	3.2357020350589796	2011.7638776202612	137.11589400563017	20.12741079284171	1.2717991558742332	0.10691734809405305	0.024671446532192762	0.024671446532192724	-89902.64941949214	0.0	-3586.564183381025
55000	-90425.84584757517	-3634.8905827324884	-86790.95526484268	3.399063451689463	2011.6005162036306	137.0254747157196	19.87791829597896	1.1902844649599615	0.10203901622104347	0.025010412666226264	0.025010412666226244	-86790.95526484268	0.0	-3622.2879823243693
60000	-89447.19697826797	-3679.331207591063	-85767.8657706769	11.31452928986676	2003.6850503654532	151.43977044989373	15.138296045650788	0.2419884589914214	0.10264200889170026	0.02436621503284554	0.024366215032845476	-85767.8657706769	0.0	-3667.4758521756803
65000	-88977.3052851542	-3711.3602420663797	-85265.94504308782	18.818515030812268	1996.1810646245078	164.74930828631938	13.476468471338903	0.17901004215611782	0.09619002470145632	0.02669847152846293	0.026698471528462955	-85265.94504308782	0.0	-3698.8686590537095
70000	-88574.70844733763	-3717.62675856839	-84857.08168876923	18.44338451209211	1996.556195143228	164.3349642578811	13.603124734446977	0.10297139484186602	0.09788666666665918	0.024852172159827778	0.024852172159827796	-84857.08168876923	0.0	-3705.5568650420755
75000	-88256.92531576304	-3725.605652981802	-84531.31966278124	16.766003896040008	1998.23357575928	161.05363374950474	14.788953914707022	0.21311267224762664	0.09769380865760746	0.02444053780880196	0.02444053780880194	-84531.31966278124	0.0	-3713.572101758936
80000	-87772.0575944013	-3745.3805739067134	-84026.67702049458	20.48434351835091	1994.5152361369692	169.79736268026988	13.76358938850189	0.10344388012149541	0.09892453700435982	0.02309411139381042	0.023094111393810426	-84026.67702049458	0.0	-3733.523925377595
