# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 13:45:27 AEDT 2019 [seed=1576550719331]
# -overwrite 2014.5-2015_subset_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-255609.6066831146	-16857.877018239746	-238751.72966487485	1.0305146997338734	2013.9690649555862	35.55071912253839	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.00536731560049805	10.427972031247199	-0.0033417074490153576	-238751.72966487485	-15822.350618202063	-1023.1120768613812
5000	-178894.19379527093	-18079.714686984164	-160814.47910828676	4.994838251828423	2010.0047414034916	86.92367454114233	1.7938788273451687	-1.6146457696415906	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.036405870150769626	0.005	0.0019736940015854104	0.004566137725208128	0.3945273929446319	-0.011858750572596386	-160814.47910828676	-15822.350618202063	-2245.256359075062
10000	-164303.74603354814	-18425.35418063337	-145878.39185291476	5.521375765667754	2009.4782038896524	105.23149529476241	2.9969975334901977	-1.1550686723162185	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02741031823674373	0.005	0.002544071347416846	0.0045250328449969604	0.5063084306381624	0.01798415135963954	-145878.39185291476	-15822.350618202063	-2591.3716977621993
15000	-149653.9697730835	-18701.519916542966	-130952.44985654052	3.4825847079737438	2011.5169949473463	117.91406727885523	3.710980572022811	-1.1735504587034198	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.027454451139147296	0.005	0.003762505766945132	0.004145826091901161	0.7463058428594526	-0.0027084650116419545	-130952.44985654052	-15822.350618202063	-2867.515201176511
20000	-139614.5965177233	-18862.992697674505	-120751.60382004877	3.442201416756353	2011.5573782385636	127.80729541778584	5.568112356093615	-0.5051062262808481	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.011199980520360586	0.005	0.005068831931925165	0.003820971620181242	0.9735705603264404	-0.008929954374412364	-120751.60382004877	-15822.350618202063	-3029.6849979319004
25000	-137033.5294509197	-18971.342698822773	-118062.18675209695	3.4563465991570683	2011.543233056163	131.24354586686852	6.856394614499194	-0.5188615955265186	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.041905803668531985	0.005	0.005091354210316452	0.003716911542177569	0.9650602059999248	0.033605573888831675	-118062.18675209695	-15822.350618202063	-3137.9597516149684
30000	-133230.53698182755	-19001.036175544494	-114229.50080628305	3.4371153610780842	2011.562464294242	130.21319611234446	7.4216981067478205	-0.17470433365457416	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033949693732046905	0.005	0.005215649950613777	0.004087944059577617	0.9912432918750725	0.023819577544616714	-114229.50080628305	-15822.350618202063	-3168.0129192781783
35000	-129956.51502512136	-19067.354323213527	-110889.16070190784	4.550970943061275	2010.4486087122589	140.3229059641629	8.707523011440466	0.03403512912269502	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016994300671036425	0.005	0.005144111119681051	0.0043458066990204065	0.9541747039462273	0.02128747198750219	-110889.16070190784	-15822.350618202063	-3234.5058486961084
40000	-124268.9989123826	-19107.3872177936	-105161.611694589	3.7821087607748205	2011.2174708945452	146.0978963240719	8.284473478901552	0.047569566755536696	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008095907058006316	0.005	0.00514031644821955	0.004311758023764437	0.947256741860397	0.014966067598695872	-105161.611694589	-15822.350618202063	-3274.543021240283
45000	-122490.49373601406	-19186.495812783447	-103303.9979232306	3.994237742299262	2011.0053419130209	149.07017641044433	9.769840479986584	0.0819844697356773	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.003931209109273659	0.005	0.005893622884946966	0.0042935145090653385	1.0609004717891353	0.00797250324100932	-103303.9979232306	-15822.350618202063	-3353.6232559500677
