# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:40:38 AEDT 2019 [seed=1576856434790]
# -overwrite 2015-2015.5_large2014_max200_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-52734.39784425539	-208.18694274149675	-52526.2109015139	0.736674900680157	0.736674900680157	8.803354769680027	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005	-52526.2109015139	0.0	-195.6740072765265
10000	-42045.910769336886	-532.7613955036876	-41513.1493738332	0.7860377580302361	0.7860377580302361	25.79112872166032	11.264735431707924	6.81287108069359	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0068371201542719254	0.005	0.005000000000000003	-41513.1493738332	0.0	-514.4218120703609
20000	-38878.870005503406	-508.58785346776517	-38370.28215203564	0.5465374420249723	0.5465374420249723	23.020090706379086	13.28687237004237	9.835591451223527	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02772676482825096	0.005	0.005000000000000006	-38370.28215203564	0.0	-487.1837501531912
30000	-37268.99799574919	-485.09191220932985	-36783.906083539856	0.4233135404543185	0.4233135404543185	19.79936602549102	15.188046340611418	13.01516192356479	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005608140480146946	0.005	0.004999999999999998	-36783.906083539856	0.0	-460.5524566593711
40000	-36209.310966041696	-441.3187411090928	-35767.992224932605	0.380508518322937	0.380508518322937	16.044664763208864	8.587054503436116	14.052837355787547	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007541097632894388	0.005	0.005000000000000005	-35767.992224932605	0.0	-415.7378102225242
50000	-35546.27485808159	-416.09827507981265	-35130.176583001776	0.31609990028720847	0.31609990028720847	13.969931572552971	7.367683991873587	15.565961518766471	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012185749703160907	0.005	0.005000000000000005	-35130.176583001776	0.0	-388.9949429198297
60000	-34823.78773994489	-384.3894348874881	-34439.3983050574	0.28837210582988027	0.28837210582988027	11.810645523133273	5.9081888503905	15.818882092483452	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0199043367324185	0.005	0.004999999999999996	-34439.3983050574	0.0	-357.01775957468107
70000	-34396.74970697563	-358.66772499389566	-34038.08198198173	0.21429785283619038	0.21429785283619038	10.249165472954754	4.56293336269912	16.423802897298884	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0452774853938869	0.005	0.0049999999999999975	-34038.08198198173	0.0	-330.64039603150513
80000	-34099.96728761396	-351.2286410774138	-33748.73864653655	0.22640087397486436	0.22640087397486436	9.89281588285025	4.0567319190818605	16.615534144413953	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05842795326956585	0.005	0.005000000000000005	-33748.73864653655	0.0	-322.9832849941713
90000	-33998.66640507868	-339.2812517962203	-33659.385153282456	0.23377854405559856	0.23377854405559856	9.456947395986411	3.4802212256950615	16.060596539317526	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.055908980709079466	0.005	0.0049999999999999975	-33659.385153282456	0.0	-311.59587702830214
