# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 13:04:37 AEDT 2019 [seed=1576721075062]
# -overwrite 2015-2015.5_large2014_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-58454.56974169694	-2596.2391065786915	-55858.33063511825	1.6474658302644065	2013.8523239973956	17.64850380937106	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0018438530050892453	3.742739032559435	-0.03911663872849387	-55858.33063511825	-2382.607898103206	-201.21688529918322
5000	-45838.822731423046	-3051.270130720217	-42787.55260070283	3.821539454443903	2011.678250373216	75.87416603797364	13.990697801610615	0.5090328631079515	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06601251184015801	0.005	0.014203189661033771	0.00189260299493448	1.6846900182025895	-0.03523335642685367	-42787.55260070283	-2382.607898103206	-657.5641120779596
10000	-44531.641590552594	-3040.483606867824	-41491.15798368477	3.1812814765288264	2012.3185083511312	69.80616094424408	15.539464789255424	0.8829121942838738	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025782119079399285	0.005	0.015176434146614124	0.0018876341458273814	1.7889178159340366	0.06265548382536773	-41491.15798368477	-2382.607898103206	-646.4812344587858
15000	-43735.52490468794	-3042.519901412363	-40693.005003275575	3.4126401848664067	2012.0871496427935	72.05504866215769	17.007138379165806	1.0420832132471285	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.032555879220971314	0.005	0.018132841821090886	0.0015652376585793494	1.946538993250561	0.12039359610767154	-40693.005003275575	-2382.607898103206	-648.3359265643189
20000	-42936.71662674814	-3031.947043404286	-39904.76958334385	3.0545877776751014	2012.4452020499848	69.42792687164454	16.612904620025617	1.1044883676281283	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04475095438702971	0.005	0.01851005730052243	0.0014841436113841387	2.0527543871143332	0.12796100508717081	-39904.76958334385	-2382.607898103206	-637.675145547428
25000	-42216.01830337156	-3041.6205029469047	-39174.39780042465	3.641925715454187	2011.8578641122058	72.11497041713619	15.547702760682169	0.7809560992167395	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.021063406515218788	0.005	0.020424667019208854	0.0012773936200917925	2.2439508809011013	0.12975142919335333	-39174.39780042465	-2382.607898103206	-647.7137792770644
30000	-41615.8212299758	-3035.5665873787552	-38580.25464259704	4.314305367368486	2011.1854844602915	71.09611544643283	13.386109879947641	0.5846317862069454	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02216386877459168	0.005	0.02224661978403357	0.001214894178854588	2.3249287042489106	0.13477356208746163	-38580.25464259704	-2382.607898103206	-641.84854285504
35000	-41370.201151007364	-3027.6639760603975	-38342.53717494696	2.9189068684583708	2012.5808829592015	68.1776076174756	18.2358533511844	1.1556303045684715	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007212665291996385	0.005	0.02354416335152903	0.0011586647172868254	2.3917649002755206	0.13409330366997987	-38342.53717494696	-2382.607898103206	-633.400894297149
40000	-40991.193395099894	-3021.829837859852	-37969.363557240045	2.8145416099086686	2012.6852482177512	66.40652283665126	12.834351822691197	0.8634627323028514	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0314712946703975	0.005	0.023187903021530742	0.0011979145158133716	2.3434163103649404	0.1478283834370997	-37969.363557240045	-2382.607898103206	-627.8115292061175
45000	-40810.4888602008	-3018.155088718743	-37792.33377148206	2.8652861603989357	2012.634503667261	66.5800518583613	11.441100726785603	0.37214837191798567	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.029402676147221977	0.005	0.023840069464052736	0.0011256914229290874	2.329708513811948	0.139097735817497	-37792.33377148206	-2382.607898103206	-624.630289095623
50000	-40665.76396945869	-3016.707397068041	-37649.05657239065	2.589457432202402	2012.9103323954575	67.05329200679364	14.560874207923852	0.8641155668306908	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014694801320634575	0.005	0.025629366759956848	0.0011251406168689226	2.377325183059918	0.16809569761131538	-37649.05657239065	-2382.607898103206	-622.7146469100388
55000	-40499.56894795865	-3014.2987001658016	-37485.27024779285	2.5885194711189756	2012.9112703565409	66.86716227938918	13.037957539815375	0.7563843205171856	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.017742215948452374	0.005	0.024358691679423474	0.0011576457602305772	2.380545652278762	0.15926895885555545	-37485.27024779285	-2382.607898103206	-620.4114136792656
60000	-40297.00802218801	-2994.2361781837035	-37302.77184400431	2.9052098193998437	2012.59458000826	61.479722433921935	12.206505320390516	0.9617620019597097	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022364272968797984	0.005	0.023599401437632974	0.0011780453105974707	2.4110831492890337	0.15273460170082437	-37302.77184400431	-2382.607898103206	-600.1365560869318
65000	-40092.40233795939	-2987.931698598054	-37104.47063936134	2.98476820652572	2012.515021621134	60.90212869847348	10.75300133044771	0.7534427106832271	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008700807962268355	0.005	0.02955032607557355	0.001084173159043476	2.630519778865299	0.15195052480996474	-37104.47063936134	-2382.607898103206	-594.0498844836978
70000	-40019.262589913465	-2984.441570756865	-37034.8210191566	4.525863034729113	2010.9739267929308	62.65498317531042	8.544454352808184	0.5728383026804311	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02302508073508848	0.005	0.028478363474208897	0.001071196042357908	2.6580035934544664	0.16495630806420497	-37034.8210191566	-2382.607898103206	-590.7149504782401
75000	-39962.80919351729	-2982.4774924410913	-36980.331701076204	4.509296317484768	2010.9904935101752	62.25334477922244	8.921064998750502	0.454871200551507	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030705451859956028	0.005	0.026834076615696895	0.001129117504420034	2.569192448607275	0.1535427136186903	-36980.331701076204	-2382.607898103206	-588.8584076168148
80000	-39842.97240152619	-2978.9896773341843	-36863.98272419201	3.7071032002968876	2011.792686627363	61.07272308997429	8.733929246474771	0.5139939607821076	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03414730904916289	0.005	0.028560353494206877	0.0011506211558498817	2.600071204678801	0.1493479823848796	-36863.98272419201	-2382.607898103206	-585.2994090760208
85000	-39663.10108282198	-2981.4703129361933	-36681.630769885785	2.9306292303564345	2012.5691605973034	60.514687032137466	10.280415495945515	0.6488406662367563	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02102615291844982	0.005	0.029713150037667467	0.0011674468687182349	2.621098001418904	-0.009791456236363029	-36681.630769885785	-2382.607898103206	-587.6679664303434
90000	-39465.09376801	-2986.139067538945	-36478.95470047106	2.33989883748059	2013.1598909901793	57.79219205330378	9.74376095954348	0.616669858787338	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04383457054905824	0.005	0.03260617711974589	0.0011902899797595653	2.814213136842732	-0.013203883362454687	-36478.95470047106	-2382.607898103206	-592.3146012905825
95000	-39218.36626302591	-2993.2750064716224	-36225.09125655429	2.2905308400573814	2013.2092589876027	60.20107762747574	11.510511779855488	0.9288600993668261	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.035076734712827	0.005	0.03153472147436215	0.0011248121128704439	2.7954400343409382	-0.01833654242888314	-36225.09125655429	-2382.607898103206	-599.1590623537809
100000	-38858.59290083572	-3000.0725629172484	-35858.52033791847	2.4172483927313246	2013.0825414349285	63.310245177062896	13.725720757149245	0.9607850226537225	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019632759004397572	0.005	0.038296999179838344	9.447374066457115E-4	3.184549970772104	-0.022996371002486297	-35858.52033791847	-2382.607898103206	-605.9352728423307
105000	-38729.763572950535	-2986.3617350999148	-35743.40183785062	2.446620911681907	2013.053168915978	60.773091006621115	10.2915878856361	0.7194024281854445	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023711950702100585	0.005	0.02852306655129733	0.0010428738846483955	2.759596397420545	-0.03859094271095882	-35743.40183785062	-2382.607898103206	-592.4870253752845
110000	-38664.44141641655	-2990.7859237913945	-35673.655492625156	2.3921065871384672	2013.1076832405215	61.89907102837282	9.608538870192897	0.1745051372523143	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0063618814537749644	0.005	0.035680876836074286	9.437827401638824E-4	3.108246924883972	-0.02732899601273623	-35673.655492625156	-2382.607898103206	-597.4693448958293
115000	-38356.71818477262	-2980.5937437076595	-35376.12444106496	2.768822158282485	2012.7309676693774	60.08808262515098	9.77676366754266	0.6284675141508518	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012931881849664583	0.005	0.031373710650931946	9.542398826141252E-4	3.0601955570140777	0.0038895074267050068	-35376.12444106496	-2382.607898103206	-586.8229822507118
120000	-38186.47541585343	-2968.8345481416263	-35217.6408677118	2.825702341965866	2012.6740874856941	60.111362300275886	7.8162192249054785	0.33662138105899797	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02529627597535572	0.005	0.03487952046826642	9.676406270460208E-4	3.0725714224493865	0.0035375033286044904	-35217.6408677118	-2382.607898103206	-575.3204062055113
125000	-37984.29467848471	-2967.2477244123033	-35017.04695407241	3.4288928826427325	2012.0708969450172	61.598391266082984	9.227219374334481	0.5667744539533428	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02421646956697192	0.005	0.03525988398681906	8.522668101674237E-4	3.1483894800242256	-0.003945289231756183	-35017.04695407241	-2382.607898103206	-573.5044338155539
130000	-37946.97067493516	-2960.4677702410245	-34986.502904694134	3.8788012482304257	2011.6209885794294	59.19181036402026	6.679548071370047	-0.0024435663558346477	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02424485697907342	0.005	0.03314026860775902	8.956966215406586E-4	3.0760246713477817	-0.016905019129663773	-34986.502904694134	-2382.607898103206	-567.2951380798983
135000	-37843.087579410814	-2962.370448012331	-34880.71713139848	3.2331470525804513	2012.2666427750794	59.07478681454578	8.609592708741813	0.6016546904891755	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04041497414055824	0.005	0.03824641474321792	8.825294114882565E-4	3.286192782644957	-0.023914633996690193	-34880.71713139848	-2382.607898103206	-568.550926753896
140000	-37796.47902251672	-2945.156602065938	-34851.322420450786	3.7161811954553	2011.7836086322047	55.56007011834058	7.720245618528884	0.4582205879170371	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02404567320316657	0.005	0.033176142114066984	9.134601211385783E-4	3.1183562513954004	-0.02305105140655237	-34851.322420450786	-2382.607898103206	-551.528473223308
145000	-37652.427624025135	-2946.6243418575673	-34705.803282167566	3.801768090682494	2011.6980217369774	57.41354144891791	8.842393539768945	0.5266354845304413	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014545871809755152	0.005	0.03973001062401823	8.675020614338599E-4	3.3465162564270003	-0.017949782896066316	-34705.803282167566	-2382.607898103206	-552.9271248941018
150000	-37607.061818142145	-2939.341251009693	-34667.720567132455	2.608283891059639	2012.8915059366002	54.1128527086318	6.752252812230555	0.4145667710277303	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.011766707217478268	0.005	0.04110885923144609	8.565623196280583E-4	3.4131220157818003	-0.019720297621099437	-34667.720567132455	-2382.607898103206	-545.7575454445001
155000	-37552.71910006316	-2935.1754661850973	-34617.54363387806	3.07550654241743	2012.4242832852424	52.44727980333502	6.582747650204005	0.3266716229648359	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.048247412280270276	0.005	0.036225535682003894	9.06745904701584E-4	3.1819873867733652	-0.02722091980022628	-34617.54363387806	-2382.607898103206	-541.621346023541
160000	-37556.11826499417	-2918.5254410978246	-34637.592823896346	2.8148120480154466	2012.6849777796444	49.065941346432616	6.905302924640262	0.5828786031069335	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022062926861522062	0.005	0.034606628742589456	9.074686285387937E-4	3.186909709740157	-0.037702816744221414	-34637.592823896346	-2382.607898103206	-524.7723364222295
165000	-37439.00776763218	-2904.6600925859498	-34534.34767504623	2.918490905864958	2012.581298921795	47.1612895778968	5.097555597457845	0.2808299150034621	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03583840984014921	0.005	0.03327652121484456	9.628731629974772E-4	3.011921664869442	-0.03577601828007965	-34534.34767504623	-2382.607898103206	-511.18549403255724
170000	-37280.36810401558	-2894.3328059144005	-34386.03529810118	2.07460155480704	2013.425188272853	44.32712990450764	6.688333481441278	0.8606664544213123	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028091495075730683	0.005	0.0279475637774487	0.0010458886510285167	2.875751750589654	-0.026023616753106278	-34386.03529810118	-2382.607898103206	-500.3098356156527
175000	-37253.79624403527	-2890.550741515325	-34363.245502519945	2.4876126810058476	2013.012177146654	44.44749104229492	6.864511206608295	0.8861112919474838	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05682083685397717	0.005	0.029121813574859635	0.0010144912546772868	2.9522364292295937	-0.031167725623203232	-34363.245502519945	-2382.607898103206	-496.4413431843251
180000	-37248.72734804536	-2878.9082899676037	-34369.81905807775	2.246584738322093	2013.2532050893378	42.00096235489495	6.161423548095349	0.7544234279866155	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03883487995539992	0.005	0.027785479344335274	0.0011283997173737728	2.7762468438596533	-0.06186287363840067	-34369.81905807775	-2382.607898103206	-484.9705674479295
185000	-37214.79555890531	-2866.627281285327	-34348.16827761998	2.096513363723634	2013.4032764639362	38.18714052079519	5.917058231560007	0.682896408324356	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06264028827743408	0.005	0.02819891918668138	0.0012021476001771623	2.7669889100384513	-0.03865458271120265	-34348.16827761998	-2382.607898103206	-472.7122370927974
190000	-37142.00100929149	-2857.523242179161	-34284.47776711233	2.008560319410618	2013.4912295082493	36.73879155272495	4.625345463683724	0.37532518833696793	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05925278815873013	0.005	0.02698976614663123	0.0012886900463060314	2.7546278687331207	-0.013738714224700684	-34284.47776711233	-2382.607898103206	-463.9261845831042
195000	-37104.01029474047	-2860.76845872696	-34243.241836013505	1.5818560696105144	2013.9179337580495	35.97983636533104	6.654413504149068	1.191449329831497	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.034503348103069854	0.005	0.03008716022809639	0.0012978389175793315	2.823404666155739	-0.009081226231120593	-34243.241836013505	-2382.607898103206	-466.39546339659506
200000	-37040.44845793878	-2840.041613904896	-34200.40684403388	2.164148826203854	2013.335641001456	34.97571940332653	4.771650706964428	0.7372885331443646	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04460222749929383	0.005	0.02537784277103442	0.0013209017400032774	2.6320637915313703	-0.036641408043603434	-34200.40684403388	-2382.607898103206	-446.11672839242493
205000	-36865.4497187594	-2828.6821192389084	-34036.76759952049	2.45294431609295	2013.046845511567	35.782107525428515	4.953826607340034	0.8860134233234493	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028715106358218518	0.005	0.028845374894066505	0.001149118813891235	2.8304535257369188	-0.036839185115435095	-34036.76759952049	-2382.607898103206	-434.62987866041226
210000	-36793.47378171119	-2834.377643865093	-33959.09613784609	3.7683390390706277	2011.7314507885892	39.13875524210442	3.57614050221337	0.45493999457487777	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016359008508192874	0.005	0.028926213321442507	0.0010284353492725094	2.816528425451181	-0.030231875794898135	-33959.09613784609	-2382.607898103206	-440.7809601726245
215000	-36691.82716973341	-2824.8966292381538	-33866.93054049526	1.9607523463294825	2013.5390374813305	34.58732639574739	4.036820271080905	0.4491469749489869	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.055353274379727445	0.005	0.028620161662602017	0.0012330189483385377	2.7343671288099447	-0.030774149126389875	-33866.93054049526	-2382.607898103206	-431.22866358174673
