# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 13:56:46 AEDT 2019 [seed=1576551401117]
# -overwrite 2015-2015.5_subset_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-118028.41773482705	-9785.227314565285	-108243.19042026176	3.359180775518821	2012.1406090521411	31.36174304855814	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.26072981851446964	1.2424429870370064	-0.01148586099407199	-108243.19042026176	-9141.5999894501	-625.2161428023105
5000	-89114.34013968044	-11033.0367061135	-78081.30343356694	1.264899600056024	2014.234890227604	71.85337115755094	6.710294193165312	-0.04643066955535535	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07415638556232872	0.09133156705905277	0.03822532717089945	0.08368435460796299	0.41786147127151874	0.03609964824865621	-78081.30343356694	-9141.5999894501	-1876.9120141982678
10000	-86514.66772647073	-11154.395297860405	-75360.27242861032	1.1605120359332832	2014.3392777917265	80.23412814735951	9.99107665963152	0.6377711847354317	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07415638556232872	0.07827163260481061	0.0424422816717553	0.06829004015678079	0.5557444543684436	-0.038232323219294644	-75360.27242861032	-9141.5999894501	-1998.0813228762838
15000	-84586.02680062698	-11210.283846538157	-73375.74295408883	1.1351628277182564	2014.3646269999417	82.95962926220506	14.312115473566244	1.4571095687912825	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07750255055171171	0.06441930670589086	0.040014847735733355	0.05517170314743418	0.6469847468346841	-0.013143655789906297	-73375.74295408883	-9141.5999894501	-2054.2010228290696
20000	-83354.88239166624	-11225.193325875405	-72129.68906579084	1.2110018829641587	2014.2887879446957	85.52919932897984	24.485877027071457	2.4201889140968493	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07750255055171171	0.06187077642849701	0.04139512769769261	0.05201668452383845	0.6687300089034319	0.036356674757355	-72129.68906579084	-9141.5999894501	-2068.2310586544468
25000	-82160.9253385588	-11252.333064358161	-70908.59227420064	1.2610366746617376	2014.2387531529982	88.07712823762837	23.232841503606174	2.1651862820509478	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07798194886260217	0.057216067226411205	0.04252095993639206	0.0476690695717424	0.7364769360017086	0.002032135823058139	-70908.59227420064	-9141.5999894501	-2095.927591216658
30000	-81266.82388547252	-11273.345691913913	-69993.4781935586	1.1979520722481034	2014.3018377554117	89.21480566715606	28.039374723719956	2.5575899393050134	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07947472899833495	0.05174885024258743	0.04004258892363259	0.04315089349795408	0.7534563097093933	0.00928118551825569	-69993.4781935586	-9141.5999894501	-2117.0315132055084
35000	-80615.68910968158	-11285.690480603567	-69329.998629078	1.335898321815886	2014.163891505844	91.1030707964928	31.999731714304623	2.87872750444881	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08028181642595526	0.04812808624761506	0.03518590685167611	0.03994519879722646	0.7159596617044075	0.0034355731436107938	-69329.998629078	-9141.5999894501	-2129.3469681655033
40000	-80082.54768227423	-11308.53011925131	-68774.01756302292	1.3782504876476633	2014.1215393400123	93.05403144129001	28.73491853090028	2.286809515005899	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08041904892356161	0.04595189952115408	0.03462665797888783	0.038588957192905504	0.7391738023944452	-0.012332328859601963	-68774.01756302292	-9141.5999894501	-2152.9222974431163
45000	-79215.71657867682	-11323.938199237453	-67891.77837943936	1.4820186836435927	2014.0177711440163	95.17197505000037	32.735548179067024	2.6208648788144355	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08041904892356161	0.04218129805171744	0.03302848040767592	0.03558424445557755	0.7618198579082787	-0.019247967375542904	-67891.77837943936	-9141.5999894501	-2168.3166703735324
50000	-78620.58343177995	-11317.639380005237	-67302.94405177471	1.562119404352756	2013.9376704233073	95.2935100757474	26.72991733458626	2.359499047418569	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08243496937998117	0.03922412841167683	0.034446615561693074	0.0321638783452613	0.839336881699408	-0.04568201571583386	-67302.94405177471	-9141.5999894501	-2162.5846438824924
55000	-78163.0877589842	-11310.779675863389	-66852.3080831208	1.2246243487045634	2014.2751654789554	92.4669159363451	26.63023840986401	2.3165753582256103	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08305021746074392	0.03810397627282219	0.033777426810135305	0.03250135249586539	0.8354445202580324	-0.03173690996305629	-66852.3080831208	-9141.5999894501	-2155.9825205238335
60000	-77727.52518097362	-11320.993804980348	-66406.53137599328	1.2291061506300422	2014.2706836770299	93.18271356150423	34.293588268085806	2.8570961024943324	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08234224650358397	0.03539910073734678	0.031795714257080006	0.030427983875687376	0.839708581386244	-0.032757954759660445	-66406.53137599328	-9141.5999894501	-2165.9288580174066
65000	-77185.26103185167	-11317.922677435161	-65867.33835441651	1.3406718237514264	2014.1591180039086	93.599195083409	33.75392410453395	2.8160316362380544	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08234224650358397	0.03378717216695956	0.03318095003243532	0.028351247182152046	0.9149876096381464	-0.009733045803753792	-65867.33835441651	-9141.5999894501	-2163.0563091553527
70000	-76654.95575691294	-11302.976640590749	-65351.979116322196	1.3300269236324644	2014.1697629040275	93.04830844509952	35.54751162586065	3.051166311551296	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08197521918302916	0.03017982118961993	0.03166673820407006	0.024719442984810033	0.941580156772134	-0.01598896143486402	-65351.979116322196	-9141.5999894501	-2148.2881695481124
75000	-76255.7364478775	-11310.94408539341	-64944.792362484084	1.4640189260620773	2014.0357709015977	93.72147958809276	31.74587015255262	2.7763351388941913	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08270567449008476	0.025073909401868266	0.025352793370420706	0.020594481586963097	0.9081385327993632	-0.03473438536118327	-64944.792362484084	-9141.5999894501	-2157.102459029389
80000	-75673.74332455374	-11304.381567246997	-64369.361757306746	1.2938609351440862	2014.2059288925159	92.30576367608572	30.72010456236073	2.730548002047261	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08365101392009337	0.024221128680812075	0.02639281323416346	0.019276354668490397	0.9737315034149231	-0.02082124618370665	-64369.361757306746	-9141.5999894501	-2150.704632489738
85000	-75494.75764232445	-11296.91480277345	-64197.842839551	1.3528201823717592	2014.1469696452882	92.1560701527632	35.190690315111574	3.024543995052307	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08303953553174297	0.02534550762828188	0.028531400501567338	0.020252421985224336	0.9979194124804619	-0.011647699074861559	-64197.842839551	-9141.5999894501	-2142.815142317056
90000	-75233.87753677783	-11297.051969764581	-63936.82556701324	1.2827312390411234	2014.2170585886188	93.13367662673208	28.48365290490876	2.570561383025683	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08386061734446142	0.023122879111127082	0.02474664470261288	0.01840243980655537	0.9728763749908211	0.033236423884693556	-63936.82556701324	-9141.5999894501	-2143.649460340145
95000	-74795.20456453045	-11303.342847597016	-63491.861716933425	1.2987178385086944	2014.2010719891512	94.27661013846891	28.539899240608424	2.37434862069369	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08403757526706768	0.02116689848015735	0.023174292107383917	0.01669651593708011	0.991062950809077	0.009606141848158525	-63491.861716933425	-9141.5999894501	-2150.349179461383
