# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 13:55:52 AEDT 2019 [seed=1576551348978]
# -overwrite 2015-2015.5_subset_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-137574.56270621656	-9791.865732410857	-127782.6969738057	2.0827067107163795	2013.4170831169436	31.725616745753353	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.004010420408593267	10.402362680706833	0.003931352706086836	-127782.6969738057	-9141.5999894501	-637.8514197844546
5000	-97448.90821789819	-11302.812840366745	-86146.09537753144	3.2389410286886604	2012.2608487989712	140.63707657679223	6.2462928214973426	-1.07486431564326	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07190338444866126	0.005	0.003360030101577082	0.0041046048940064465	0.6523769408165617	0.033362734678857926	-86146.09537753144	-9141.5999894501	-2149.569724102569
10000	-90988.21104603489	-11801.514052230985	-79186.69699380391	3.2407590213894015	2012.2590308062706	195.6499232838209	20.9492750892955	-0.1001044565608673	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01945038787722601	0.005	0.003567186121066293	0.004326523465768126	0.6641844743974482	0.015003487634453503	-79186.69699380391	-9141.5999894501	-2649.3498333211533
15000	-87190.3077052382	-11950.082125177296	-75240.2255800609	3.5474748493565396	2011.9523149783033	223.06997971973547	40.97873836713721	0.6566671773075257	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0578796086057155	0.005	0.004363012082795396	0.004311486256474409	0.7963794547213446	0.06815728180648434	-75240.2255800609	-9141.5999894501	-2797.281897332743
20000	-85054.84753183342	-12047.75346721791	-73007.0940646155	3.814237773420332	2011.6855520542397	240.04652345508293	82.8554641755686	1.39910413802657	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07694228940811326	0.005	0.00372903339115975	0.00471375584438745	0.6957739744815759	0.02493871609280782	-73007.0940646155	-9141.5999894501	-2894.1741602198504
25000	-83185.53036061046	-12084.422495940533	-71101.10786466992	3.805394473048794	2011.694395354611	249.25852555012162	89.04126266310452	1.325842038728665	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07627231772227902	0.005	0.004098165168647888	0.004626942108212717	0.7595471585483571	0.03890144150273983	-71101.10786466992	-9141.5999894501	-2930.9166217318257
30000	-81721.34382024557	-12136.52334960134	-69584.82047064423	3.5716739101364987	2011.9281159175234	270.4704441340753	73.04016656091693	0.9648922836402127	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0793469451360112	0.005	0.004515539674997056	0.004726030530242219	0.8318968122312893	0.02761686338819346	-69584.82047064423	-9141.5999894501	-2983.371183780336
35000	-80309.34219987552	-12177.739864546194	-68131.60233532933	3.2814273073677116	2012.2183625202922	279.51923612538855	108.08428615767544	1.3244611919796163	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07976350537524712	0.005	0.004388347512412755	0.004901326705859406	0.8005817950003064	-0.009627195746702418	-68131.60233532933	-9141.5999894501	-3024.2273278316625
40000	-78948.03920521315	-12202.125090327425	-66745.91411488573	3.3066551573268934	2012.193134670333	286.20659269970514	107.37739415274348	1.2387363711858799	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08251977394900967	0.005	0.004886125460841603	0.004972121929027301	0.8802385827935868	0.005702923184169101	-66745.91411488573	-9141.5999894501	-3048.691279631615
45000	-78281.31515404936	-12203.383581678776	-66077.93157237058	3.155226729221138	2012.3445630984388	283.5106810910442	116.73069021729609	1.4559467523881149	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08233570553885565	0.005	0.004696046723344462	0.004979568737841294	0.8649470495768113	-0.005850385900485959	-66077.93157237058	-9141.5999894501	-3049.7334054418366
