# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:49:28 AEDT 2019 [seed=1576856965616]
# -overwrite 2015.5-2016_large2014_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-76102.53984901017	-2508.4897865696516	-73594.05006244051	4.737778553191527	4.737778553191527	17.464942295790784	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	4.6394494377207567E-4	7.805875940268962	-0.006541652185820043	-73594.05006244051	-2312.87007177383	-183.2053916195192
10000	-46337.01891076869	-3061.0862089000498	-43275.93270186864	2.8030376457105604	2.8030376457105604	91.59451981010518	30.247370238892913	1.232758821699792	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02864972447598404	0.005	0.009229567228230082	0.002176129530897308	1.9531562563781244	-0.015308756270646307	-43275.93270186864	-2312.87007177383	-736.4837745038786
20000	-43012.84526014416	-3079.61210501927	-39933.23315512489	3.0968135131376395	3.0968135131376395	102.75806225248405	27.09470755975059	1.0316332559572317	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03680873329264336	0.005	0.017695929381610877	0.0011419193337470755	3.6989402763631207	0.05203814517793811	-39933.23315512489	-2312.87007177383	-755.1691106113749
30000	-40794.371949234664	-3090.883041322591	-37703.48890791208	4.19366333148662	4.19366333148662	117.62657190254694	28.89172480469608	0.6869400751700618	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04004049387780711	0.005	0.02906716717581231	7.578963126722816E-4	5.170667692486656	0.06890154091612198	-37703.48890791208	-2312.87007177383	-766.7441448907574
40000	-39611.36238411631	-3089.61775885117	-36521.74462526514	5.237532955057291	5.237532955057291	120.56753967215091	24.579927488986918	0.46326128238653497	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01553066727316951	0.005	0.043978372109748316	6.040893899140525E-4	6.997673166083119	0.05445426781388972	-36521.74462526514	-2312.87007177383	-765.706870368501
50000	-38844.37187036616	-3065.5693162643147	-35778.80255410184	6.6644663607212715	6.6644663607212715	113.04279522768879	18.92660029466399	0.37733725327618006	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.018351933157280318	0.005	0.04341586300478601	5.793964441955844E-4	6.894256265382957	0.05356141264298295	-35778.80255410184	-2312.87007177383	-741.7404533395741
60000	-38394.508695747	-3045.091918805685	-35349.41677694131	12.700808930887689	12.700808930887689	122.54275680777033	15.478011810075193	0.1398569820349047	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04325036512257989	0.005	0.04904162070304856	4.952900684236793E-4	7.28884387047358	0.048178807159625386	-35349.41677694131	-2312.87007177383	-721.4338965010452
70000	-37735.80709852582	-3024.5054569728322	-34711.301641552986	13.404257958428655	13.404257958428655	116.53281105264419	14.167210542151558	0.18439006192007357	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01817960344267393	0.005	0.04809845896708715	4.726531578607736E-4	7.279399554966444	0.05165213549225708	-34711.301641552986	-2312.87007177383	-700.8558857048878
80000	-37325.39033824247	-3037.9690565518877	-34287.42128169058	12.892330545388141	12.892330545388141	123.21777426250648	14.913294540504108	0.0342094112507032	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010738481558914527	0.005	0.05625959849636851	4.29972537574909E-4	7.722159275319438	0.04792891491361352	-34287.42128169058	-2312.87007177383	-714.4600572989522
90000	-37199.312974884946	-3008.902660863665	-34190.41031402128	11.964463397364256	11.964463397364256	106.52977837476327	14.928768119263358	0.1337065075151258	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028461847489001248	0.005	0.056921747644468286	5.026123026704923E-4	7.064067644449717	0.01800831464794554	-34190.41031402128	-2312.87007177383	-685.2567311804247
