# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 23 17:49:06 AEDT 2019 [seed=1577083744684]
# -overwrite 2015.5-2016_large2014_max200_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-68038.13135774688	-208.44066963910743	-67829.69068810777	3.390665966406378	2012.5155971693634	17.662342848717422	1.0	0.0	0.5	0.25	0.25	-67829.69068810777	0.0	-193.06864812486236
10000	-39468.598084006684	-626.8216211025865	-38841.7764629041	1.8283346817063246	2014.0779284540636	53.98047909680498	52.775004964580475	3.0214817929092352	0.022662549488733922	0.0016680568849578724	0.001668056884957871	-38841.7764629041	0.0	-616.7713127204233
20000	-36368.81165130353	-640.3131134212281	-35728.4985378823	2.1250679029386768	2013.7811952328311	58.225189352782294	57.67749069432643	2.514314304281057	0.035465773951691155	0.001023928108586433	0.0010239281085864316	-35728.4985378823	0.0	-631.0565954928167
30000	-33998.3888274513	-653.2308997460138	-33345.15792770529	2.5159497077697837	2013.3903134280001	68.67737293289761	27.269081941277687	1.415353471530184	0.02613825297451819	5.789116347346227E-4	5.789116347346224E-4	-33345.15792770529	0.0	-645.4798387863689
40000	-33479.9039776992	-646.5667265804408	-32833.337251118755	2.2324815230848976	2013.673781612685	65.9506274710587	20.581744363666516	1.0406247793156618	0.019647932479847408	5.684896712671281E-4	5.684896712671282E-4	-32833.337251118755	0.0	-639.1945343637054
50000	-32742.720663527194	-639.6973613112912	-32103.023302215905	2.5913859350433013	2013.3148772007266	67.69843724318149	18.14371695368798	0.8536940297830391	0.04636852114437768	4.781943952835526E-4	4.7819439528355267E-4	-32103.023302215905	0.0	-632.5633635406804
60000	-32305.95544338443	-617.7615284025965	-31688.193914981835	2.7927490514754285	2013.1135140842944	63.7199900488213	12.694185525496545	0.6601364232269715	0.016019927014306698	4.0174658852277167E-4	4.0174658852277134E-4	-31688.193914981835	0.0	-610.945429173877
70000	-32243.937353057867	-627.8084180328124	-31616.128935025055	2.9204083518152677	2012.9858547839547	67.08702317696559	14.526722087805128	0.8164134588581116	0.026321885393952204	3.9347124194840803E-4	3.9347124194840803E-4	-31616.128935025055	0.0	-620.8507749164827
80000	-32178.95865288372	-598.6156181222742	-31580.343034761445	3.3056179633529985	2012.600645172417	64.20424209013355	8.035776759834661	-0.12511960075992756	0.033977261607414926	4.2356454822057714E-4	4.235645482205773E-4	-31580.343034761445	0.0	-592.2744155538851
90000	-32196.57446840055	-606.0055982391224	-31590.568870161427	2.7765398550133167	2013.1297232807565	61.757594746145344	11.244932024415004	0.41418810485272495	0.033918610024509716	4.111413877119292E-4	4.1114138771192936E-4	-31590.568870161427	0.0	-599.3726741305004
100000	-32183.284345386015	-591.705713160337	-31591.57863222568	2.527182054148357	2013.3790810816215	56.76596477630642	10.229450339218273	0.46260790550881414	0.015182033842835082	5.1455010578359E-4	5.145501057835901E-4	-31591.57863222568	0.0	-584.9037168288448
110000	-32174.229052247654	-588.1717239291805	-31586.057328318475	2.6648068870151658	2013.2414562487547	58.90690412822181	8.859225973327488	0.24691834032529014	0.01784663261473856	4.379688663364781E-4	4.3796886633647826E-4	-31586.057328318475	0.0	-581.6825944500227
120000	-32168.95708324817	-570.2579529079869	-31598.69913034018	2.7167268774776248	2013.1895362582923	56.22014668622549	8.484155174635278	0.38590672515319735	0.019748623527981943	5.265649544211555E-4	5.265649544211554E-4	-31598.69913034018	0.0	-563.5067756465648
130000	-32112.175134120887	-538.2958347239838	-31573.879299396904	2.6590476841584	2013.2472154516115	50.58262939011052	6.217856540242032	0.1927717557613129	0.0988763056223955	5.418292970711287E-4	5.418292970711285E-4	-31573.879299396904	0.0	-531.514634510429
140000	-32147.274462710586	-551.1887789994306	-31596.085683711157	2.270459475387349	2013.6358036603826	50.209085277645485	6.112598189481887	0.12856873250364065	0.06234576106797172	5.092743652392486E-4	5.09274365239249E-4	-31596.085683711157	0.0	-544.5739568361965
150000	-32108.1710897758	-541.4572325528233	-31566.713857222974	1.8348189096951972	2014.0714442260746	46.78114331060991	6.0871487803157285	0.21814284032794684	0.02565347093999523	5.59172191447696E-4	5.59172191447696E-4	-31566.713857222974	0.0	-534.7435394260539
160000	-32095.32270050158	-522.3043965139819	-31573.0183039876	2.0018457972904193	2013.9044173384796	45.58119727475822	5.833906076160944	0.29982853931988207	0.08005250518460856	6.448038495601571E-4	6.448038495601572E-4	-31573.0183039876	0.0	-515.312753129701
170000	-32136.69468964105	-539.8286379347679	-31596.866051706285	1.9553375789425587	2013.9509255568273	47.138161803601335	5.777929808716669	0.0815466557314708	0.042976780852510284	6.029428841538825E-4	6.029428841538819E-4	-31596.866051706285	0.0	-533.1807534046887
180000	-32130.073202331732	-558.7197221423847	-31571.353480189347	2.5181397241151444	2013.3881234116548	51.13921978195242	6.368378835399243	0.006975966239201714	0.019415033711550088	5.407513765611948E-4	5.407513765611942E-4	-31571.353480189347	0.0	-552.289459743915
190000	-32118.378714153932	-544.5925331221689	-31573.786181031763	2.3070366339032007	2013.5992265018667	48.8572091467384	6.802447553043624	0.1841319262401404	0.02083805103550422	5.4169398671054E-4	5.4169398671054E-4	-31573.786181031763	0.0	-537.9597566355695
