# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 13:07:40 AEDT 2019 [seed=1576721257820]
# -overwrite 2015.5-2016_large2014_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-68336.66637167598	-2523.3802379042095	-65813.28613377178	4.192127852251065	2011.7141352835188	20.931252504604632	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0023065624674873273	5.875425953850333	-0.020532185663915382	-65813.28613377178	-2312.87007177383	-198.09584295407697
5000	-48063.2290623972	-3010.004351574962	-45053.22471082224	2.8325160557782127	2013.0737470799918	82.01915999737733	22.960585470647107	0.8035440371631681	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06627370500328764	0.005	0.008198314345284818	0.002669533579547754	1.3332622833312524	0.046634014028448606	-45053.22471082224	-2312.87007177383	-685.7590506287695
10000	-45320.504576352985	-3024.9208644658097	-42295.58371188718	3.6533227601924905	2012.2529403755775	87.51727139994063	32.637409846087806	1.0063901218133553	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03424212516348162	0.005	0.014561256006218782	0.001880451600231937	1.844700785954538	0.008875490266940372	-42295.58371188718	-2312.87007177383	-700.51759500142
15000	-43958.35968415493	-3045.3119562491374	-40913.04772790579	3.7972707286620735	2012.1089924071077	97.346927548838	31.753295282821	0.7509722763372915	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009801592020169368	0.005	0.020150209576788907	0.001394396132774098	2.4192634772632577	-0.01491699248765392	-40913.04772790579	-2312.87007177383	-721.1962276769445
20000	-42293.674602377025	-3059.1103341207963	-39234.564268256225	4.957364302024036	2010.948898833746	106.13218045944079	28.62574007671271	0.674028330289882	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010763369081696917	0.005	0.030196350186775793	0.00103786028743153	3.127287592027541	-0.02815386457659173	-39234.564268256225	-2312.87007177383	-735.0395187942494
25000	-41275.47259166597	-3070.509806092266	-38204.962785573705	4.2060337276949955	2011.7002294080748	108.94362771204611	29.560940491997147	0.5674634287120455	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04301726890518723	0.005	0.03927857589264061	8.829385933356738E-4	3.742961670402175	-0.016217903079226482	-38204.962785573705	-2312.87007177383	-746.4537918385283
30000	-40578.198658833055	-3065.3764422045947	-37512.82221662846	4.2300815400484595	2011.6761815957213	108.39542081928535	29.44339284108522	0.7210910530988	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012367338919656743	0.005	0.04011639472655757	7.670239656789906E-4	3.843304491294068	-0.03234652312538271	-37512.82221662846	-2312.87007177383	-741.2255879054163
35000	-40323.99017194035	-3051.0274489514313	-37272.962722988916	3.517953147723864	2012.388309988046	102.21819520295297	33.216664457892094	0.8871201108064952	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006348397149656148	0.005	0.04254769035419845	7.812612970470088E-4	4.028475215589431	-0.025545420078515235	-37272.962722988916	-2312.87007177383	-726.7152718584863
40000	-39785.96419784908	-3064.964418451189	-36720.9997793979	4.164843256790586	2011.7414198789793	108.85409007733315	32.108724815098974	0.6591182123774222	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005130414408924868	0.005	0.04809866404307671	7.090859019462732E-4	4.3235187593891835	-0.021128169873541387	-36720.9997793979	-2312.87007177383	-740.8660373804838
45000	-39155.746621975	-3065.1602305504593	-36090.58639142454	5.122561309763493	2010.7837018260063	112.96154270093218	27.347428918767687	0.5732002972641699	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008439508513554477	0.005	0.05257712575252903	6.196815598878978E-4	4.765574481308827	-0.018276994251485712	-36090.58639142454	-2312.87007177383	-741.127761434489
