# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 13:58:47 AEDT 2019 [seed=1576551524861]
# -overwrite 2015.5-2016_subset_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-56740.89149849234	-203.21695688055524	-56537.674541611785	2.8408444954660714	2013.0654186403037	16.388808498909945	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005	-56537.674541611785	0.0	-190.704021415585
5000	-43490.27533982072	-605.1263431383156	-42885.14899668241	1.859494764548093	2014.0467683712218	49.064868226746206	11.271762000621218	0.8015275021721451	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02308077984468532	0.005	0.005	-42885.14899668241	0.0	-592.7656158938639
10000	-39826.46447188157	-567.0829819746049	-39259.38148990696	2.1568297785509705	2013.749433357219	42.62748969765968	23.34164087881314	2.3029996604471448	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024391427447237567	0.005	0.005	-39259.38148990696	0.0	-553.2180405778843
15000	-37558.440714227276	-528.8254207908209	-37029.61529343646	1.7537882809803311	2014.1524748547895	36.869187319133694	19.879538099721092	2.518342314589148	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02317427476329082	0.005	0.004999999999999999	-37029.61529343646	0.0	-514.7476056663539
20000	-36106.56039321441	-462.08067804130263	-35644.4797151731	1.3385446763224702	2014.5677184594474	27.849639818599023	16.205628480211207	3.1429371040743694	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.017581132148679804	0.005	0.004999999999999999	-35644.4797151731	0.0	-447.3894911516759
25000	-34944.50291271779	-416.17757120997027	-34528.32534150782	1.0597941303310652	2014.8464690054388	23.344999090749038	14.601630489471859	3.4791270224192106	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004535061127889062	0.005	0.004999999999999999	-34528.32534150782	0.0	-401.17630258402016
30000	-34134.91564639981	-384.4709126033154	-33750.444733796496	0.9174909215026479	2014.9887722142673	20.23731535914173	9.453149647629283	3.310561747342046	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02512773014263849	0.005	0.005	-33750.444733796496	0.0	-369.5970753992214
35000	-33554.27226153563	-334.81284529041204	-33219.45941624522	0.9243403124755296	2014.9819228232943	17.78631276005441	6.208222109665619	2.493404580950304	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.038281950462941174	0.005	0.004999999999999997	-33219.45941624522	0.0	-320.7298892613445
40000	-33265.49124057267	-292.1229533472351	-32973.368287225436	0.8216833033704805	2015.0845798323994	15.661153832886606	4.839554330411002	2.6253328539883176	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02984870241887838	0.005	0.005000000000000001	-32973.368287225436	0.0	-277.9249492278955
45000	-32989.81562976554	-255.65383087365342	-32734.161798891884	0.7884846935691328	2015.1177784422007	14.15011942177711	2.2242620352208644	1.4315132556329127	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006760931264239531	0.005	0.005000000000000001	-32734.161798891884	0.0	-242.69584804790145
50000	-32672.686219298826	-240.8182283665665	-32431.86799093226	0.7633266324830987	2015.1429365032868	13.086120522498984	3.2550340631009385	2.504215839539907	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014181122756485807	0.005	0.005000000000000001	-32431.86799093226	0.0	-226.77269226620277
55000	-32415.137591799128	-210.72348480543786	-32204.41410699369	0.7348918226622242	2015.1713713131078	12.008439209909712	2.4157412984449733	2.217957807062829	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013387518792845568	0.005	0.005000000000000007	-32204.41410699369	0.0	-196.96580233840612
60000	-32391.780131820404	-192.40800400377194	-32199.37212781663	0.6905146381615584	2015.2157484976083	11.112457109336255	1.6598153372355513	1.4734289411122794	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023761182021442527	0.005	0.005000000000000005	-32199.37212781663	0.0	-179.37411063549317
65000	-32325.27493930415	-170.961689463494	-32154.313249840656	0.7084891987600482	2015.19777393701	10.692224716427944	1.0298091787247847	0.581872834249024	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01925954405859743	0.005	0.004999999999999998	-32154.313249840656	0.0	-158.82836177806576
70000	-32279.83641427165	-165.30680165874045	-32114.529612612907	0.7015239683180452	2015.2047391674519	10.459259507712833	1.0196494925943704	0.32189451894569454	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004555906634780972	0.005	0.0049999999999999975	-32114.529612612907	0.0	-153.46285966506005
75000	-32218.342634560657	-160.48921274772113	-32057.853421812935	0.628919109344696	2015.2773440264252	10.147525809374148	0.6106193372612269	-0.8123783633164756	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005123245526348305	0.005	0.0049999999999999975	-32057.853421812935	0.0	-148.15365632218834
80000	-32212.80394990417	-146.8429044537174	-32065.96104545045	0.659620443655384	2015.2466426921146	9.965159493409134	0.8972077085249002	0.48650042291612183	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.037383063284150746	0.005	0.004999999999999998	-32065.96104545045	0.0	-134.76870346718567
85000	-32179.04740098582	-143.72206566644266	-32035.325335319376	0.6297249418702684	2015.2765381938996	9.70073469630397	0.5187870315383597	-0.826179010469883	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009525191726024266	0.005	0.005	-32035.325335319376	0.0	-131.3639056196802
90000	-32105.868532431632	-138.56189555425183	-31967.30663687738	0.7143957350857637	2015.191867400684	9.840314773436189	0.9887951901614869	0.823716978564508	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01706466529776109	0.005	0.005	-31967.30663687738	0.0	-126.19111389216968
95000	-32062.13406363273	-132.33626809758928	-31929.79779553514	0.686048008903259	2015.2202151268666	9.431342463702494	0.7016101418250836	-0.1093427230443973	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015114783986546627	0.005	0.005	-31929.79779553514	0.0	-120.68376332550015
100000	-32045.345370086518	-133.3301174870188	-31912.0152525995	0.6267145526255462	2015.2795485831443	9.209698790632386	0.7971574809678148	0.5790091446261405	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.017132761402068642	0.005	0.005	-31912.0152525995	0.0	-121.20390938304351
105000	-32033.143212557865	-125.95378195620745	-31907.18943060166	0.6011806410043292	2015.3050824947657	9.136734140637207	0.6067087118018429	-0.17873815396478632	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.047824482865123065	0.005	0.005000000000000006	-31907.18943060166	0.0	-114.16646330445506
110000	-32046.788789482795	-132.3492442989872	-31914.439545183806	0.6599109697964263	2015.2463521659736	9.345505081653165	0.7401108461397643	0.33924903170788956	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.050567199338446715	0.005	0.00500000000000001	-31914.439545183806	0.0	-120.39592800252372
115000	-32025.780313465664	-125.65070690101112	-31900.129606564653	0.6250708000456753	2015.2811923357242	9.141964051793776	0.6750637472221916	0.14446897881828824	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01705117891770018	0.005	0.004999999999999993	-31900.129606564653	0.0	-113.95920334874972
120000	-32022.101177118246	-123.70670202510676	-31898.39447509314	0.708886454615758	2015.197376681154	9.422560944343036	0.8128644223213819	0.406121667450295	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.060698537307434096	0.005	0.004999999999999999	-31898.39447509314	0.0	-111.66624968942715
125000	-31998.678075004515	-122.59856349283613	-31876.079511511678	0.6648553331905575	2015.2414078025793	9.182454954447747	0.6565478152775137	-0.02036699325769864	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.020632947195644447	0.005	0.005000000000000006	-31876.079511511678	0.0	-111.02399857473877
130000	-32008.672773836857	-126.46911974860213	-31882.203654088255	0.6549948554529618	2015.251268280317	9.373259230921558	1.2019685888873717	1.5888233697526077	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014358117937193562	0.005	0.004999999999999996	-31882.203654088255	0.0	-113.33864265831902
135000	-31999.98795510265	-119.89791893525464	-31880.090036167396	0.6389366934767653	2015.267326442293	9.23264540682936	0.8194559763935223	0.5091488305342493	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014932817905811843	0.005	0.004999999999999991	-31880.090036167396	0.0	-107.84597080937877
140000	-32012.47225515745	-119.3640155856507	-31893.108239571797	0.6541945960777685	2015.2520685396921	9.244154141157647	0.8053299013158894	0.5110595021219113	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05192506426686005	0.005	0.005000000000000003	-31893.108239571797	0.0	-107.23617243672584
145000	-31984.75585135312	-116.15760513249829	-31868.59824622062	0.5997741667955017	2015.3064889689745	8.93905132887246	0.6680640222400003	0.24862311064931708	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03768888680713181	0.005	0.005000000000000002	-31868.59824622062	0.0	-104.32067210262426
150000	-31974.43168910036	-113.71390213841562	-31860.71778696194	0.6341365979248145	2015.272126537845	8.953553212473944	0.6286283750527233	0.13656290216271683	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02202260064624694	0.005	0.005000000000000006	-31860.71778696194	0.0	-102.02036228370643
155000	-31980.740956138467	-112.83652888709753	-31867.904427251367	0.6850455219414631	2015.2212176138285	8.893957033518681	0.7969401128590308	0.4907933640392894	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.042780018803321225	0.005	0.004999999999999997	-31867.904427251367	0.0	-100.74724205108024
160000	-31972.05080578739	-103.04485131063454	-31869.005954476754	0.6838262859633004	2015.2224368498066	8.777678189032018	0.49464359938079805	-0.23752541841130803	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06940145124457152	0.005	0.005000000000000006	-31869.005954476754	0.0	-91.15559257832787
165000	-31917.589175246067	-116.87678959117717	-31800.71238565489	0.6401694916530883	2015.2660936441168	9.052769603819707	0.57567829182318	0.052468099990576444	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06715970378105075	0.005	0.005	-31800.71238565489	0.0	-105.17707086187134
170000	-31911.259515252932	-115.50373268377518	-31795.75578256916	0.6481831220064433	2015.2580800137634	8.997123549164995	0.44854403044797564	-0.8074052109019845	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03366172914085178	0.005	0.005000000000000003	-31795.75578256916	0.0	-103.11607406418096
175000	-31907.697049632745	-111.83572865073691	-31795.861320982007	0.6638889906806226	2015.2423741450893	8.708561794137186	0.49485744933670195	-0.2896400173955702	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0341039685260447	0.005	0.005000000000000002	-31795.861320982007	0.0	-99.96495028274452
180000	-31918.501150632335	-110.98057421118682	-31807.52057642115	0.6672730806868854	2015.238990055083	8.896258725287774	0.7431600799158398	0.0984896147958263	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025875536850964897	0.005	0.005	-31807.52057642115	0.0	-99.31740062611803
185000	-31905.08166897651	-101.40028368703797	-31803.68138528947	0.6853158840214376	2015.2209472517484	8.60714216643071	0.37761672595656837	-1.5945943349415586	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03487292199296201	0.005	0.004999999999999997	-31803.68138528947	0.0	-88.223014266973
190000	-31907.49737749002	-96.46231573529546	-31811.035061754726	0.6351657692540024	2015.271097366516	8.535512865157813	0.35762845045904584	-1.2561563306445451	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05634152543094113	0.005	0.005	-31811.035061754726	0.0	-83.5805473125343
195000	-31916.938842177424	-113.9861456742697	-31802.952696503155	0.6471809121511677	2015.2590822236186	8.89380773941078	0.6104548466776686	-0.1537498822378871	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0403189852827821	0.005	0.0049999999999999975	-31802.952696503155	0.0	-102.23882625194754
200000	-31891.2947840628	-109.03873750762604	-31782.256046555176	0.611362277319636	2015.2949008584503	8.73047854018114	0.6553128899999459	0.059715786938809856	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028638780950229956	0.005	0.005	-31782.256046555176	0.0	-97.40881214068764
205000	-31888.91895915461	-113.21267167880403	-31775.706287475805	0.5900157661474443	2015.3162473696225	8.852280130417817	0.5357211750328061	-0.5479003325449046	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05036499153742965	0.005	0.004999999999999995	-31775.706287475805	0.0	-101.05111054100229
210000	-31889.978636073607	-112.62619284036876	-31777.352443233238	0.578708937623292	2015.3275541981466	8.647200181894155	0.5640716655744591	-0.027008882167603776	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04967262331865555	0.005	0.004999999999999997	-31777.352443233238	0.0	-100.98690760587697
215000	-31901.34054308391	-115.89573471167927	-31785.44480837223	0.6267715173296671	2015.2794916184403	8.83341494630045	0.67323215190081	-0.05061833543723293	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.069511987726381	0.005	0.0050000000000000044	-31785.44480837223	0.0	-104.19316020349753
220000	-31887.461379955395	-103.0063281036708	-31784.455051851724	0.5895079953459256	2015.316755140424	8.515992501171826	0.6315580550111208	-0.0017841458204923555	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04613801027228759	0.005	0.0050000000000000044	-31784.455051851724	0.0	-91.39933615675494
225000	-31876.174366456387	-103.42492464225022	-31772.749441814136	0.6407059106692298	2015.2655572251006	8.724445478793115	0.5182156539135501	-0.3900269757456065	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010282499413835482	0.005	0.0050000000000000044	-31772.749441814136	0.0	-91.50140202055017
230000	-31870.929523905525	-95.64789785648264	-31775.281626049044	0.5986706244886246	2015.3075925112812	8.314758270729248	0.51094895270106	-0.2895280060166143	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0035000149051842315	0.005	0.004999999999999999	-31775.281626049044	0.0	-83.8384392461959
235000	-31872.34781616896	-89.45269644566554	-31782.895119723293	0.6374327912792198	2015.2688303444907	8.137247464195225	0.48331651661035396	-0.547429107939061	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005125842401670701	0.005	0.005000000000000001	-31782.895119723293	0.0	-77.38208535478775
240000	-31888.58998566643	-99.73826744879887	-31788.85171821763	0.6316076335763248	2015.2746555021936	8.466709358670911	0.5595994085829458	-0.003038441413995674	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004488227500825787	0.005	0.004999999999999995	-31788.85171821763	0.0	-88.21332149141891
245000	-31896.46556236974	-99.4867470124871	-31796.97881535725	0.6000657038720582	2015.3061974318978	8.350122138175102	0.4754461304780322	-0.5079770738288363	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028049401968462513	0.005	0.005000000000000002	-31796.97881535725	0.0	-87.4097409152898
250000	-31895.469433680908	-96.04598549134121	-31799.423448189566	0.6575206916985835	2015.2487424440712	8.462249283643983	0.6012551913946252	0.028560379067742225	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0777543899887856	0.005	0.0050000000000000044	-31799.423448189566	0.0	-84.34898485477376
255000	-31878.607911748524	-83.1582007235938	-31795.449711024932	0.6085584474442484	2015.2977046883257	8.15161179034703	0.4499268264528895	-0.6093326628657154	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04823788629030265	0.005	0.0050000000000000044	-31795.449711024932	0.0	-70.93946232390898
260000	-31887.336961999703	-87.25392684770999	-31800.083035151994	0.6475739066970563	2015.2586892290728	8.073346563097529	0.2680628461988175	-1.9946089079696439	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05507253309042059	0.005	0.004999999999999998	-31800.083035151994	0.0	-73.63624472796081
265000	-31875.187204308546	-81.30973431475658	-31793.87746999379	0.6120542559892428	2015.2942088797806	7.993679561228484	0.3139487858386469	-0.9489527851132307	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.021811376013590632	0.005	0.005000000000000002	-31793.87746999379	0.0	-68.80423017315807
270000	-31893.466122612463	-91.4183364025433	-31802.047786209918	0.5902180766188079	2015.316045059151	8.2022316921296	0.3678854024728378	-1.1747282930168166	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07106882583509255	0.005	0.004999999999999996	-31802.047786209918	0.0	-78.58854131403206
275000	-31874.989324363	-90.4142995982161	-31784.575024764785	0.6164405070226774	2015.2898226287473	8.184826260561952	0.5884671554472086	0.0775374463453391	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06072696762977228	0.005	0.005000000000000004	-31784.575024764785	0.0	-78.70237686696943
280000	-31875.404832415144	-82.08570843508139	-31793.31912398006	0.6243104873361146	2015.2819526484338	8.010416378049758	0.32542964041900585	-1.512527318900036	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04750479827683817	0.005	0.005000000000000002	-31793.31912398006	0.0	-68.96524280036104
285000	-31864.670450488553	-92.62199973516105	-31772.04845075339	0.5859761548016346	2015.3202869809684	8.17687602964927	0.32153356632971886	-1.2694929429006439	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02544001502024358	0.005	0.005000000000000005	-31772.04845075339	0.0	-79.78869808191403
290000	-31878.400881728583	-94.18493843445417	-31784.21594329413	0.5892917690518193	2015.316971366718	8.218678504320623	0.24385612571766271	-1.936049793843345	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.038493437480219966	0.005	0.0049999999999999975	-31784.21594329413	0.0	-80.6589738621189
295000	-31895.71896089988	-107.19097484678105	-31788.5279860531	0.6366236779077004	2015.2696394578622	8.57173966349688	0.3079912887056234	-1.8456585739414804	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03431809722445238	0.005	0.005000000000000004	-31788.5279860531	0.0	-93.76375153350754
300000	-31876.53869472713	-98.4327257201575	-31778.10596900697	0.6407483182350139	2015.265514817535	8.473963707815326	0.5606703413062895	0.13882903488503695	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04861018827444791	0.005	0.004999999999999999	-31778.10596900697	0.0	-86.68374523704993
305000	-31862.638482791186	-90.98084751866892	-31771.657635272517	0.6186061107288612	2015.287657025041	8.28702593714333	0.6584299787932305	0.5179025424130934	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07445938967624238	0.005	0.004999999999999994	-31771.657635272517	0.0	-78.80109414763334
