# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 13:59:19 AEDT 2019 [seed=1576551556341]
# -overwrite 2015.5-2016_subset_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-69805.1798379649	-2523.54268765656	-67281.63715030834	1.4279082390356965	2014.4783548967341	14.801050353678459	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.2309398101921307	1.1501892657141872	-0.035312725796265945	-67281.63715030834	-2312.87007177383	-196.02616142970143
5000	-48604.3709679384	-2781.707606987127	-45822.66336095127	2.1519547300444635	2013.7543084057254	33.32982863719397	5.11941696931275	0.32967694743875775	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10640824334305417	0.013540337702563517	0.022121289058043454	0.005638399538871621	1.337892395652518	0.012522269636869778	-45822.66336095127	-2312.87007177383	-460.69491887410186
10000	-45360.07324118939	-2820.538903276045	-42539.53433791335	2.288664522416286	2013.6175986133537	39.03898337948272	8.584083624383718	1.2261427734288972	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.050270285103716665	0.010633630671699729	0.02794077639829415	0.003829317359289065	1.8974181739961202	-0.06531532955972741	-42539.53433791335	-2312.87007177383	-498.9605828963333
15000	-43995.67744958698	-2843.0555560301405	-41152.62189355684	2.059103392922356	2013.8471597428475	42.604754659795184	10.67313982083246	1.1994414059294083	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019686532192731036	0.008504781617156969	0.025266675244075165	0.0030037767810844394	1.763967755669916	0.03537818352487143	-41152.62189355684	-2312.87007177383	-521.7812870700342
20000	-42790.84093810131	-2867.0211437610988	-39923.81979434021	2.130895425063002	2013.7753677107069	47.0020347850246	10.038811241069567	1.0521956274919475	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.017507659553464165	0.007664329650136407	0.02528201868133531	0.0023841524680991238	1.8768331743420246	0.04384609635780486	-39923.81979434021	-2312.87007177383	-546.0016819487299
25000	-41769.25414155938	-2857.3213058371957	-38911.93283572218	2.092473807709172	2013.8137893280607	45.27815459102287	11.22683244373176	1.0829567975686516	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02382614315125327	0.006844825300830389	0.02322699586356518	0.002131237077480591	1.6815816971677984	0.04074042232553515	-38911.93283572218	-2312.87007177383	-536.3527760563888
30000	-41025.124389314195	-2865.5264414666854	-38159.59794784751	2.798590971619515	2013.1076721641505	48.698502771726574	10.86954407034911	1.0064520226118252	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014935894862540329	0.007106547093306307	0.03252599691778005	0.0018043243373008348	2.2656504957083414	0.1125672166879832	-38159.59794784751	-2312.87007177383	-544.6057964116485
35000	-40289.801995409216	-2859.825026791431	-37429.97696861778	2.439610530213856	2013.466652605556	47.739514661999685	11.63475090912938	1.0093326142891565	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01838166049776236	0.007230993584716412	0.04376105904228571	0.001596331565392879	2.5884239425764335	0.14544554817733538	-37429.97696861778	-2312.87007177383	-538.8431464549878
40000	-39638.72776442402	-2847.3175396885445	-36791.410224735475	2.1219838080430824	2013.7842793277268	43.45483587825719	10.066031601670762	1.0727280751444777	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03431248161820327	0.006199534559821291	0.0299803549584217	0.0017164658493817994	2.5736019384761417	0.01936876978392918	-36791.410224735475	-2312.87007177383	-526.387496877011
45000	-39100.51151794638	-2841.3020837830554	-36259.20943416333	2.148942112341748	2013.7573210234282	42.862105412192804	11.205362294896188	1.345308665079167	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.044591055585742494	0.006146764025383343	0.027278889757482827	0.0016425370472396236	2.4437159661426726	0.05095236529031868	-36259.20943416333	-2312.87007177383	-520.090339954376
