# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 23 14:06:45 AEDT 2019 [seed=1577070402907]
# -overwrite 2012-2014.5_sierra_leone_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-28609.58355721297	-635.5590908824004	-27974.024466330568	2.4142958194431605	2.4142958194431605	9.283297959668763	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.001302516934230447	5.099854507818947	-0.03229435709959439	-27974.024466330568	-562.9407856869485	-60.20398201914975
16000	-27470.737210530922	-672.6490019218096	-26798.08820860911	0.8290007699923438	0.8290007699923438	10.257410724782428	3.054999298963064	2.327912964859337	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07930271991560552	0.005	0.35085682040127203	2.3543059124877863E-4	5.2055087060829655	-0.026037971986549942	-26798.08820860911	-562.9407856869485	-95.75478364267161
32000	-27420.16546564573	-649.8106393655917	-26770.354826280138	1.2478525021675118	1.2478525021675118	8.10892776531303	1.584724820872076	1.7415348166338795	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.062407327060603014	0.005	0.4913349836180377	2.269705253135512E-4	2.5622941473679495	-0.10104343084267585	-26770.354826280138	-562.9407856869485	-73.11517023348365
48000	-27397.965889226896	-654.6088014643184	-26743.35708776258	0.8495844151998152	0.8495844151998152	8.893766575439479	2.0910300050146002	1.5972600402511652	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014498193292810326	0.005	0.1879688460507027	2.751057997333935E-4	2.277694584485906	0.02414953282335027	-26743.35708776258	-562.9407856869485	-79.06351872577876
64000	-27408.54110652422	-663.6254632508895	-26744.91564327333	1.1210910847250497	1.1210910847250497	10.554039755371651	2.313156077612719	1.1391375071999967	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03652178409411776	0.005	0.4715091513949015	2.1466302226686348E-4	3.2898933862836808	-0.044892151526076056	-26744.91564327333	-562.9407856869485	-87.64363272650517
80000	-27391.17405846218	-679.66113805779	-26711.51292040439	1.1178348918128376	1.1178348918128376	11.97555023863645	2.9848650098602003	2.2846133246032263	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1712694193553209	0.005	0.5801224810726605	1.846803629404873E-4	3.3996517774751194	-0.060632881576149926	-26711.51292040439	-562.9407856869485	-101.93848973935744
96000	-27367.464348284757	-657.6453159863472	-26709.81903229841	0.5100847012768147	0.5100847012768147	7.526627823179223	2.2169757439556905	3.2006229545818776	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5638221881195572	0.005	0.5587875491143174	3.264791425394041E-4	2.8674942748400496	-0.008125207121016127	-26709.81903229841	-562.9407856869485	-78.28556497517525
112000	-27359.29346798576	-652.2226379465235	-26707.070830039236	0.7422062120159594	0.7422062120159594	7.223880084603737	1.9364014777205685	3.793780953264929	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.17404029983956223	0.005	1.0702636171750033	1.889156456430974E-4	2.086342844881398	-0.09369169599091452	-26707.070830039236	-562.9407856869485	-71.51486731478899
128000	-27385.014635366268	-665.1787395782266	-26719.83589578804	2.840446426985147	2.840446426985147	14.219660750488183	1.8331992972828055	0.6120710665236548	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3729950643907191	0.005	0.8132093287945857	1.8833784652402038E-4	3.018303721477063	-0.09271419299549517	-26719.83589578804	-562.9407856869485	-88.02593320129407
144000	-27336.235815164087	-629.3167190876678	-26706.91909607642	0.8088555888194453	0.8088555888194453	6.0963713552420975	1.0973039921746028	1.210271332619757	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9538784990354495	0.005	0.34444479571975856	3.522509069985628E-4	3.6054930833614183	0.014690044082249663	-26706.91909607642	-562.9407856869485	-51.81024653352733
