# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 09 09:24:10 AEDT 2020 [seed=1578522247851]
# -overwrite 2014.5-2015_sierra_leone_max200_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-40408.404930158686	-190.5940870706701	-40217.81084308802	1.6248836228018009	2013.3746960325184	17.88626331639398	1.0	0.0	0.5	0.001	9.999999999999998E-4	-40217.81084308802	0.0	-187.00201506367375
20000	-35979.09741842995	-616.4711388529738	-35362.62627957697	1.4575134071525704	2013.5420662481674	58.780092986009116	62.79102271547274	3.628459898238525	0.006673327066026226	8.843522035411733E-4	8.843522035411741E-4	-35362.62627957697	0.0	-610.8588813982279
40000	-34714.14617308433	-614.5636260016975	-34099.58254708263	1.3891022097198833	2013.6104774456003	58.140824382359156	83.54029651901358	4.3688139990781245	0.04027047521038127	7.315491776568336E-4	7.315491776568332E-4	-34099.58254708263	0.0	-608.242439983698
60000	-34298.8524581336	-579.4316318661582	-33719.420826267444	1.2998402122754114	2013.6997394430446	50.84257783275664	113.40747268192717	5.597139815826659	0.006895528969897527	7.634026465162447E-4	7.634026465162447E-4	-33719.420826267444	0.0	-571.8639132235293
80000	-34052.97281460568	-542.7737030505654	-33510.19911155511	1.0805268127367815	2013.9190528425834	44.675922151829276	68.76886426758585	4.987652584514481	0.01283337264322586	8.358431802452311E-4	8.358431802452317E-4	-33510.19911155511	0.0	-535.6955362052704
100000	-33720.78398424228	-541.3091507863408	-33179.47483345594	1.2068024146983027	2013.7927772406217	44.165118373140565	46.68312778319823	4.365561212636141	0.019254693566253367	7.649999645688844E-4	7.649999645688845E-4	-33179.47483345594	0.0	-534.8825421907081
120000	-33628.87327945573	-513.4500973464234	-33115.423182109305	1.1015260397960998	2013.898053615524	40.765247810845686	67.9619353458144	5.825735815886739	0.029586990868271084	8.271752042771589E-4	8.271752042771582E-4	-33115.423182109305	0.0	-505.4633800308452
140000	-33553.2807320818	-533.567553160716	-33019.71317892108	1.1150197443823016	2013.8845599109377	43.3895151686935	35.109672174339934	4.07109842657165	0.015190225586869938	7.918575548936388E-4	7.918575548936377E-4	-33019.71317892108	0.0	-527.4169684164183
160000	-33494.92163838964	-515.9581768014392	-32978.9634615882	1.172232271705351	2013.8273473836148	41.526836468921786	33.91364060768002	4.015474445553544	0.022368922753879174	7.683880540444237E-4	7.683880540444226E-4	-32978.9634615882	0.0	-509.8444245397973
180000	-33502.70713266662	-508.7138956718127	-32993.99323699481	1.101463357304695	2013.8981162980153	39.474174540678746	27.251197837887265	3.5686214930211912	0.020120145013572437	8.459418815703401E-4	8.459418815703399E-4	-32993.99323699481	0.0	-502.9766519070636
200000	-33508.088716012164	-522.5188437662647	-32985.5698722459	1.2060962476394919	2013.7934834076807	42.235523042504994	31.159230426739082	3.8671777219106493	0.04717421558153494	7.71271105759906E-4	7.712711057599045E-4	-32985.5698722459	0.0	-516.5097272276197
220000	-33500.77169563793	-513.7088492782059	-32987.062846359724	1.2037180436190593	2013.795861611701	40.339679951857846	44.34673033140757	4.804446058471841	0.0855957900105604	7.388640298748322E-4	7.388640298748327E-4	-32987.062846359724	0.0	-506.68675887023545
240000	-33483.37474949587	-520.1935992921746	-32963.1811502037	1.145108091638946	2013.854471563681	41.358067623603155	40.36850025715377	4.535050496010149	0.06124217302890769	7.940580812846243E-4	7.94058081284624E-4	-32963.1811502037	0.0	-513.4630608999233
260000	-33467.72639597138	-533.1053757345945	-32934.62102023679	0.9960485182710439	2014.003531137049	42.33176024208483	94.13742768922752	5.977458141463585	0.07347507673161739	7.653253990809246E-4	7.65325399080925E-4	-32934.62102023679	0.0	-524.93793215493
280000	-33439.21420681919	-515.7399417786967	-32923.474265040495	1.1138352572680366	2013.885744398052	41.339591709934474	83.93532609795739	6.1089127499853415	0.07320483107775515	8.155218860079067E-4	8.155218860079074E-4	-32923.474265040495	0.0	-507.3967482737257
300000	-33461.72486366954	-517.5287261123797	-32944.196137557155	1.0939262527601268	2013.90565340256	40.789318818871266	82.971047781918	6.045761927039052	0.08014544822849269	7.710890530402102E-4	7.7108905304021E-4	-32944.196137557155	0.0	-509.25838496576966
320000	-33427.379657039855	-524.401773585208	-32902.977883454645	1.1043061904095324	2013.8952734649106	40.99493396226548	80.83646230789186	5.796763242637798	0.037603824834537475	7.839356499014465E-4	7.839356499014461E-4	-32902.977883454645	0.0	-516.4591031107191
340000	-33432.848642175275	-521.3093685151855	-32911.53927366009	1.0850198887792273	2013.9145597665408	41.293132462961935	51.14913104694796	4.94347841144835	0.014934009367944902	8.00488758254581E-4	8.0048875825458E-4	-32911.53927366009	0.0	-514.2578781548091
360000	-33428.265307180525	-511.917262867376	-32916.34804431315	1.2318069332840236	2013.767772722036	40.343563118934895	40.084491360096386	4.500918433799744	0.06646922072120984	8.285104885275622E-4	8.285104885275626E-4	-32916.34804431315	0.0	-505.17616665465727
380000	-33410.17537113849	-502.4104114364905	-32907.764959702	1.1614970835302367	2013.8380825717898	38.725193178898195	32.53110574457194	4.334294584950007	0.004448643799242559	8.586874238375183E-4	8.586874238375199E-4	-32907.764959702	0.0	-495.9218695108472
400000	-33414.19515499423	-497.7689269963922	-32916.426227997836	1.0639862678187313	2013.9355933875013	37.942545972709055	25.038024915678438	4.045466096455434	0.002914269869355722	8.539940171463515E-4	8.539940171463523E-4	-32916.426227997836	0.0	-491.56573910533865
420000	-33415.826992601644	-506.87352962737	-32908.95346297427	1.2673419110996231	2013.7322377442204	39.37986904229382	54.152918119960184	5.314834578203447	0.044751600677017576	8.039944823396208E-4	8.039944823396198E-4	-32908.95346297427	0.0	-499.36650568480763
440000	-33412.80618401387	-494.45265892027095	-32918.3535250936	1.0430053967015374	2013.9565742586185	37.264366800903645	29.625348060044168	4.097594956336146	0.00869861122141894	8.764753706787765E-4	8.764753706787769E-4	-32918.3535250936	0.0	-488.1634590572743
460000	-33406.564061497644	-506.95325897214974	-32899.610802525494	1.1324725752975822	2013.8671070800226	39.233692509978965	63.16778362773325	5.535027196906294	0.07662465329325945	7.217293347301964E-4	7.217293347301962E-4	-32899.610802525494	0.0	-499.2176629242057
480000	-33433.03100248884	-521.0096005062493	-32912.02140198259	1.0476250023936315	2013.9519546529264	40.88633637943906	46.69481846755108	4.697634700683399	0.010768185368367067	7.562002710499138E-4	7.562002710499136E-4	-32912.02140198259	0.0	-514.2379744626755
500000	-33418.28307862993	-518.2625027893956	-32900.020575840535	1.056839772470446	2013.9427398828495	40.04775262739286	30.53888769617198	4.0107353325326764	0.028396545048836035	8.404204811773758E-4	8.404204811773764E-4	-32900.020575840535	0.0	-512.076782528467
520000	-33412.75217198066	-511.0968348865328	-32901.655337094126	1.049580130437779	2013.9499995248823	39.02233446668072	48.002808204584966	4.683761247095774	0.02712402606858545	8.276129693295562E-4	8.276129693295565E-4	-32901.655337094126	0.0	-504.23652983410125
540000	-33413.62393171032	-501.8880521816182	-32911.7358795287	1.0355120213844329	2013.9640676339357	39.05690803896363	33.018218798219216	4.592903190383344	0.0059325668197722095	7.883584505527156E-4	7.883584505527158E-4	-32911.7358795287	0.0	-495.1873816699069
560000	-33396.26275943896	-511.821293795081	-32884.44146564388	1.242592676573637	2013.7569869787465	40.344262821809764	32.375152564621324	4.333738018451832	0.034890809542712564	8.162303327486053E-4	8.16230332748604E-4	-32884.44146564388	0.0	-505.3185818946976
