# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:34:10 AEDT 2019 [seed=1576856048251]
# -overwrite 2014.5-2015_sierra_leone_max200_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-41114.911151304026	-228.64848542011518	-40886.262665883914	1.1126692731443548	1.1126692731443548	9.624094781280586	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005000000000000003	-40886.262665883914	0.0	-216.13554995514494
10000	-36850.566279905	-374.7705658205608	-36475.79571408444	0.23105785318425193	0.23105785318425193	11.118989964160107	7.619183896744038	23.932904563947723	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.029270385207620202	0.005	0.004999999999999997	-36475.79571408444	0.0	-339.2661188293887
20000	-35739.37621879059	-389.22642283553495	-35350.149795955054	0.2520340279623509	0.2520340279623509	12.337856363701961	9.197596649245591	23.15966160920364	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024277135278019047	0.005	0.004999999999999998	-35350.149795955054	0.0	-354.50518951483855
30000	-35087.75417901708	-364.6723698499343	-34723.081809167146	0.19457682953119365	0.19457682953119365	11.06816255702733	10.521873307590585	32.222385309521606	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024248822945397357	0.005	0.005000000000000005	-34723.081809167146	0.0	-320.88845621081856
40000	-34706.18231560973	-365.70658187663844	-34340.475733733096	0.15676326900434043	0.15676326900434043	10.87912890816759	10.221455447384635	32.863281641105665	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03511290654255424	0.005	0.005000000000000005	-34340.475733733096	0.0	-321.26004674292295
50000	-34564.32620493363	-356.5680841289033	-34207.75812080473	0.17054874494238026	0.17054874494238026	10.334509006793974	12.058444519402064	37.05893744173028	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019433055401092456	0.005	0.004999999999999999	-34207.75812080473	0.0	-307.9572345269554
60000	-34195.97301373701	-341.9234976760389	-33854.04951606097	0.1594211914924972	0.1594211914924972	9.532073584660065	8.620612899113267	36.55081162392186	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.045367796599860705	0.005	0.005000000000000003	-33854.04951606097	0.0	-293.76893878781806
70000	-33980.22623577098	-334.60632987366273	-33645.619905897314	0.15940076165284958	0.15940076165284958	9.180537797601547	9.32385667516678	39.04176140536068	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004775416464515107	0.005	0.004999999999999995	-33645.619905897314	0.0	-284.041998931836
80000	-33692.71173142523	-332.60635513160247	-33360.10537629363	0.16210630272550514	0.16210630272550514	8.839359037872892	7.64282054095634	36.811836956357645	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01043038685592366	0.005	0.0049999999999999906	-33360.10537629363	0.0	-284.26065550835733
90000	-33525.42396812036	-322.18756092515036	-33203.23640719521	0.15690478829723442	0.15690478829723442	8.191320017981045	6.271106745849393	37.54816755544515	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016459373286745703	0.005	0.005000000000000005	-33203.23640719521	0.0	-273.09348644709405
100000	-33455.755527614245	-318.5651950293136	-33137.190332584934	0.13932117035664163	0.13932117035664163	7.9926196256432736	5.720183456930152	34.48684567577601	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03744823359901017	0.005	0.005000000000000001	-33137.190332584934	0.0	-272.49047021953476
110000	-33256.666560799655	-317.8079437208153	-32938.85861707884	0.14040685674022227	0.14040685674022227	8.033575279387026	5.8700775202860696	37.53480197923923	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04127610960699641	0.005	0.004999999999999995	-32938.85861707884	0.0	-268.67760535661665
120000	-33224.24688506781	-309.48549663525176	-32914.76138843256	0.14082553978195955	0.14082553978195955	7.577114679970177	5.078657986487998	37.481911127082675	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03586546141336744	0.005	0.0049999999999999975	-32914.76138843256	0.0	-260.41887833379224
130000	-33199.292635567166	-308.23996412089014	-32891.052671446276	0.14386893183181193	0.14386893183181193	7.5851256832622465	5.554193993922306	37.91367505856641	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0670551796506411	0.005	0.004999999999999995	-32891.052671446276	0.0	-258.6791976961123
140000	-33191.598819046405	-313.7354959955932	-32877.86332305081	0.14708409823061788	0.14708409823061788	7.74615462481566	4.915816174347506	35.167891534929744	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025979684260595343	0.005	0.0049999999999999975	-32877.86332305081	0.0	-267.0026704690103
150000	-33192.776990581224	-311.78368322471465	-32880.99330735651	0.1433843826900798	0.1433843826900798	7.696259585881528	6.1671824257548025	37.3607711223566	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.021910010356836464	0.005	0.0050000000000000044	-32880.99330735651	0.0	-262.8661049448499
160000	-33191.00649106572	-300.62588315290935	-32890.380607912804	0.1268244896510165	0.1268244896510165	7.136015873797194	5.07449965632052	35.710867399672516	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05981478243168552	0.005	0.004999999999999994	-32890.380607912804	0.0	-253.28240997840666
170000	-33148.26255397997	-298.4720409714249	-32849.79051300854	0.12049287688279348	0.12049287688279348	6.977973913410709	5.8215062837072695	43.08469512162478	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01929502097743624	0.005	0.004999999999999996	-32849.79051300854	0.0	-243.8357721278122
180000	-33164.55790190636	-301.80386701065424	-32862.754034895705	0.12492877623085068	0.12492877623085068	7.204084644912636	6.071788066090053	40.54001535350806	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.051442238184765995	0.005	0.005	-32862.754034895705	0.0	-249.64798099792577
190000	-33176.307450508524	-301.1393472863781	-32875.168103222146	0.11003228522860779	0.11003228522860779	7.178223493416407	7.043471365722369	49.770218846630975	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005970354777455502	0.005	0.004999999999999994	-32875.168103222146	0.0	-239.84419183050832
200000	-33144.614647348244	-298.5485778879873	-32846.066069460256	0.1473620615262186	0.1473620615262186	7.06594909071016	6.577042519754419	47.013382502683086	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.017730496942056688	0.005	0.004999999999999995	-32846.066069460256	0.0	-239.98674315602466
210000	-33152.8987489608	-299.08762291028586	-32853.81112605051	0.16119535069256313	0.16119535069256313	7.107226351887898	4.467272689240067	33.561775517116004	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04462919183075109	0.005	0.005000000000000001	-32853.81112605051	0.0	-253.92361887181121
220000	-33164.91809488122	-298.1184127672874	-32866.79968211393	0.1692518945960136	0.1692518945960136	6.981812451708449	3.7215766019079117	32.494177165849116	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006256358491496073	0.005	0.005000000000000007	-32866.79968211393	0.0	-254.09876020371905
230000	-33144.20740174133	-303.5872177537869	-32840.62018398754	0.1281566821281212	0.1281566821281212	7.253219544548385	5.800994830157709	40.12422400531509	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005833418980799286	0.005	0.004999999999999997	-32840.62018398754	0.0	-251.93834343559166
240000	-33112.00166438126	-292.4978943673789	-32819.503770013886	0.13192097170604844	0.13192097170604844	6.725624807835055	3.568060961893317	35.95565043630396	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.027581872067004656	0.005	0.005000000000000002	-32819.503770013886	0.0	-244.97411904136106
250000	-33102.400100879044	-290.882136475949	-32811.517964403094	0.13017966981500134	0.13017966981500134	6.764416089489764	4.038918773283987	35.5877972998281	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06773293726102625	0.005	0.004999999999999999	-32811.517964403094	0.0	-243.64590744744086
260000	-33113.526274948235	-290.7440221293267	-32822.782252818906	0.11695677451092704	0.11695677451092704	6.595930111631517	5.6529631541927285	48.87832193957116	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02729220462129476	0.005	0.004999999999999994	-32822.782252818906	0.0	-230.29813378591118
270000	-33120.87791469339	-291.0530581663238	-32829.82485652706	0.12849110639706757	0.12849110639706757	6.7841541573833855	5.75005520426298	50.33100758181936	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08920131615929963	0.005	0.005000000000000004	-32829.82485652706	0.0	-229.03066498666357
280000	-33107.64769099639	-290.19472745443454	-32817.45296354195	0.1142155621119234	0.1142155621119234	6.611949151090828	5.212961049529886	41.856970772529365	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030844203500009704	0.005	0.005000000000000011	-32817.45296354195	0.0	-236.7630906803244
290000	-33101.41495292774	-284.4753564562536	-32816.939596471486	0.14536629218865313	0.14536629218865313	6.462098125417755	3.9545745737024376	40.35216626264217	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.044024283484585404	0.005	0.005000000000000003	-32816.939596471486	0.0	-232.52217661592633
300000	-33090.25108817719	-282.37539770034465	-32807.875690476845	0.10594854603120023	0.10594854603120023	6.365484264520642	4.468271050271578	44.82331716518085	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007238890515919674	0.005	0.005000000000000007	-32807.875690476845	0.0	-226.0246326064512
310000	-33081.05731506646	-284.8996775387235	-32796.15763752774	0.11185864103155531	0.11185864103155531	6.454236866217684	4.1172710929410945	36.944522237510206	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04627199978926884	0.005	0.004999999999999999	-32796.15763752774	0.0	-236.3496446639536
320000	-33093.12396039958	-292.0725054765698	-32801.05145492301	0.10399430124135671	0.10399430124135671	6.698547557687998	5.730383023816475	45.074390004965856	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0712534340744625	0.005	0.004999999999999997	-32801.05145492301	0.0	-235.34262583465457
330000	-33109.03659199758	-299.95155755396246	-32809.08503444362	0.1325556901530512	0.1325556901530512	7.103501070606522	5.830831034514754	41.475952018394885	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07748577948819715	0.005	0.004999999999999998	-32809.08503444362	0.0	-246.8076502033106
