# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 23 14:09:58 AEDT 2019 [seed=1577070595728]
# -overwrite 2015-2015.5_sierra_leone_max200_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-62828.75455108154	-188.0743842232027	-62640.680166858336	1.1720701013333759	2014.3277197263264	15.977169490704814	1.0	0.0	0.5	0.25	0.25	-62640.680166858336	0.0	-173.0735190214062
10000	-40927.71280565304	-615.6592238757601	-40312.05358177728	1.3207909260328616	2014.178998901627	49.15003346946108	63.83350310381167	4.296580353464856	0.03248824540380186	0.0020397240323031585	0.002039724032303159	-40312.05358177728	0.0	-604.1563949271754
20000	-38841.29789477558	-723.4251755913843	-38117.87271918419	1.6761526035725964	2013.8236372240874	78.21465693048495	163.43034082864673	3.602781192135888	0.025937761701978448	0.0010225315049409633	0.001022531504940964	-38117.87271918419	0.0	-713.226082672498
30000	-36859.61404668063	-737.6842287613565	-36121.92981791928	2.631986421093785	2012.867803406566	86.97094287276606	75.39273105995947	2.422421132616558	0.03954112035649539	6.646361467077364E-4	6.646361467077364E-4	-36121.92981791928	0.0	-728.9297994643636
40000	-35401.18512453823	-741.4607975761817	-34659.724326962045	2.507410821712842	2012.992379005947	88.78259106120481	53.421564678985845	1.647328155896207	0.0030866497464380658	5.11249995319048E-4	5.112499953190472E-4	-34659.724326962045	0.0	-733.708502619964
50000	-34762.49124306636	-722.4591762617131	-34040.03206680465	2.909790514310405	2012.5899993133496	84.02823688855952	34.91081180933976	1.4596749891957754	0.008137523304748408	4.570716396550555E-4	4.570716396550549E-4	-34040.03206680465	0.0	-714.9200914431007
60000	-34257.6965770773	-704.5534271867249	-33553.14314989058	3.0343885035789673	2012.4654013240809	82.49824570609834	26.726243586704342	1.1251302981771172	0.03199876889597438	4.565666342086666E-4	4.565666342086665E-4	-33553.14314989058	0.0	-697.2933521990302
70000	-34163.58570936519	-701.1539795180464	-33462.43172984714	2.800481616691677	2012.6993082109682	79.6283825164432	31.02738106803942	1.4893414380861634	0.010996963877170507	4.923308811996736E-4	4.923308811996739E-4	-33462.43172984714	0.0	-693.5147050279402
80000	-34005.478422594664	-691.5200469181672	-33313.9583756765	2.8054076358926765	2012.6943821917673	79.88077637542928	17.75801716067672	0.6439187150371661	0.010344734470934381	3.910522066407492E-4	3.910522066407488E-4	-33313.9583756765	0.0	-684.8523355491845
90000	-33954.17796858831	-679.3673778126773	-33274.81059077563	2.24362537936553	2013.2561644482944	75.70675946250273	18.55485663889842	0.6613402960060846	0.052613839050668694	4.555239938131212E-4	4.555239938131205E-4	-33274.81059077563	0.0	-672.4913124447436
100000	-33957.60293521398	-675.0476772632691	-33282.55525795071	2.304443602821312	2013.1953462248387	74.05276192041391	18.219348575402822	0.8169767391952685	0.07275499354792966	4.639928423382675E-4	4.639928423382677E-4	-33282.55525795071	0.0	-667.9555676190805
110000	-33891.87276631669	-684.6558844624363	-33207.21688185425	2.30015488183431	2013.1996349458257	75.14117281813859	18.289417347447205	0.7601058976242969	0.003776324172377738	4.97008827056973E-4	4.970088270569733E-4	-33207.21688185425	0.0	-677.7285424981491
120000	-33807.15085575011	-666.6577378978365	-33140.49311785227	2.154792312898698	2013.3449975147612	70.28171098992144	14.620459980813896	0.5990866743257104	0.0678874097779066	5.04899137657396E-4	5.048991376573963E-4	-33140.49311785227	0.0	-659.7237863584004
130000	-33780.57165851664	-646.6219849171288	-33133.949673599505	2.732781504829249	2012.7670083228306	66.4438223725985	17.480233460905623	1.139593269003548	0.008879367367030249	5.249522064647619E-4	5.249522064647618E-4	-33133.949673599505	0.0	-639.2185679465655
140000	-33788.04656155035	-643.9837071781867	-33144.06285437216	2.7219888051704433	2012.7778010224895	65.04289622932978	17.72541629853836	1.163766684264132	0.08976930367570958	5.28325442256307E-4	5.283254422563069E-4	-33144.06285437216	0.0	-636.3809929528302
150000	-33763.143630501116	-644.6280913883173	-33118.5155391128	2.2473228020923735	2013.2524670255675	64.11848406959987	17.558150023703526	1.154723706909991	0.01634947149386991	5.433179395493643E-4	5.433179395493642E-4	-33118.5155391128	0.0	-637.1596403117479
160000	-33787.1325285913	-651.0501752349816	-33136.082353356316	2.6603155597963846	2012.8394742678636	66.1456370390517	15.597250674434994	0.9040298901147461	0.03800648642173308	5.098326474381995E-4	5.098326474381997E-4	-33136.082353356316	0.0	-643.8376062669795
170000	-33774.13127617297	-654.5593067573636	-33119.57196941561	3.207391837575738	2012.2923979900843	68.21689152824374	20.76403312015171	1.33171369859015	0.01580773305407816	5.061487378809492E-4	5.061487378809485E-4	-33119.57196941561	0.0	-646.9816377479207
180000	-33750.3898015159	-658.3859835863358	-33092.003817929566	2.782683150989882	2012.71710667667	67.19058316963348	27.28266183786956	1.7595735317539904	0.05471257168928699	5.00727720650006E-4	5.007277206500053E-4	-33092.003817929566	0.0	-650.3012680804788
190000	-33785.039073085136	-681.3577548723055	-33103.68131821283	2.621465696785363	2012.8783241308745	73.25606041346907	18.903497534035886	0.8788525548161232	0.018706911348076637	4.6150601903129963E-4	4.6150601903129865E-4	-33103.68131821283	0.0	-674.3096891602623
200000	-33798.64287961793	-689.5645816176118	-33109.07829800032	2.5264037956544705	2012.9733860320055	74.30967612187911	31.21816118119953	1.5059914933154472	0.007999505752804843	4.7180122736996237E-4	4.718012273699625E-4	-33109.07829800032	0.0	-681.9055261085043
210000	-33792.535905793186	-685.3729153353561	-33107.16299045783	2.695550050517886	2012.8042397771421	73.68560870739525	26.083823567361907	1.410308262754015	0.05655445695760254	4.5721167774907096E-4	4.572116777490711E-4	-33107.16299045783	0.0	-677.725342789813
220000	-33785.11874831705	-673.3180320031886	-33111.80071631386	2.763280197665755	2012.736509629994	69.77386650634863	26.181904212865163	1.410712163407082	0.1062945024822946	4.6999076822643764E-4	4.6999076822643775E-4	-33111.80071631386	0.0	-665.5304140546855
230000	-33760.38998401981	-647.6982984262495	-33112.691685593556	2.19548342795896	2013.3043063997009	64.31589089987851	18.26706469786779	1.2841385586462841	0.03357317554860675	5.248155771399759E-4	5.248155771399761E-4	-33112.691685593556	0.0	-640.0859216447187
240000	-33756.69765254198	-632.1855902689758	-33124.512062273	2.4224941669770925	2013.077295660683	60.76149482097636	27.384449035264254	2.02562189257445	0.02577573306148617	5.571186631569474E-4	5.571186631569482E-4	-33124.512062273	0.0	-623.7888455853525
