# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 23 14:10:30 AEDT 2019 [seed=1577070628283]
# -overwrite 2015-2015.5_sierra_leone_max200_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-68154.77163830602	-2600.1590251885636	-65554.61261311745	3.2397752750806013	2012.2600145525794	21.210041422547654	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.23099344059777896	1.2813458309114885	0.030662658626802522	-65554.61261311745	-2382.607898103206	-201.48231315183847
10000	-44474.386875914766	-2872.529835147332	-41601.857040767434	1.5731986575762933	2013.9265911700836	36.19582285602544	7.004482588132619	1.2541786219579554	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03096727810013485	0.006675232580712239	0.011200371180606612	0.0033063255294246505	1.259503390693927	-0.10380118052086336	-41601.857040767434	-2382.607898103206	-481.6430065289732
20000	-42653.81728155746	-2910.1092461904386	-39743.70803536702	1.746347278905323	2013.7534425487545	39.07725970614768	8.382827410857802	1.1660189427365173	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033749076185316196	0.003954015692183131	0.004787860575082761	0.002363505613893078	0.9990207953341863	0.056579739621074314	-39743.70803536702	-2382.607898103206	-519.711475509906
30000	-41532.181591072425	-2896.8562651629363	-38635.325325909485	1.6979377681367105	2013.8018520595233	39.08671075022164	8.262862051409602	1.4904029309368194	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028532558471733985	0.003598909852757266	0.006015853498627915	0.002117714257969364	1.2104280427603857	-0.023184991795910187	-38635.325325909485	-2382.607898103206	-506.20187456946974
40000	-40441.81015069703	-2910.0086718279454	-37531.801478869085	1.6164905296938994	2013.883299297966	40.332410833861545	7.809489696222405	0.6206330160184064	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0345400672885466	0.0031046817709391556	0.004915522514419766	0.001706048086127196	1.2577645092030467	0.0028260645016385103	-37531.801478869085	-2382.607898103206	-520.320338213223
50000	-39585.71957495525	-2900.79346183977	-36684.92611311548	1.6421159679694586	2013.8576738596905	40.94964313267534	5.243324395730485	0.11799453246395775	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028245785731148238	0.002865992976736548	0.004309195736838445	0.0015806345281843773	1.153904581643192	0.05885867139053273	-36684.92611311548	-2382.607898103206	-511.67764985118737
60000	-39089.751373970874	-2876.777057338198	-36212.97431663267	2.069012764894222	2013.4307770627656	39.216139590163316	7.749701158714883	1.217627717254897	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012008446308947256	0.0029854583921724727	0.004750149343107179	0.0015368640598838234	1.2546682175106691	0.11458459456359363	-36212.97431663267	-2382.607898103206	-486.5509755903195
70000	-38647.099390971205	-2854.759677746749	-35792.33971322446	1.5970447147015496	2013.9027451129584	35.46380896352481	4.568451187279972	0.6664514439274709	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012415104485650459	0.002670586040531445	0.0038682047134185253	0.0015107214540722152	1.193244799810895	-0.021975809183804387	-35792.33971322446	-2382.607898103206	-465.1144454448515
80000	-38170.644377324206	-2859.9160684289855	-35310.72830889522	1.5327159021910965	2013.9670739254689	35.396163839690296	6.256986700302576	0.941792772365466	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.038585566863129514	0.002471827932233622	0.0045299285122349904	0.0014101922917673934	1.345648796395332	-0.027481820436064164	-35310.72830889522	-2382.607898103206	-469.98608311692936
90000	-37822.52355371036	-2860.8840234119157	-34961.639530298446	1.4054400181917421	2014.0943498094682	34.20310600096614	8.210497173943306	1.5118098167586402	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007866734004056651	0.0018616480828469327	0.002227296465883886	0.0014668844033482213	0.894962426566325	0.15085468183237835	-34961.639530298446	-2382.607898103206	-470.600770551754
100000	-37226.50917862879	-2855.532337444963	-34370.97684118382	1.8083570365900563	2013.69143279107	35.808691420126024	7.374591849652735	1.402105271925263	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004958221391356976	0.0017037161508334992	0.002259476336647364	0.001215232470995593	1.003731540243727	0.01553492681937635	-34370.97684118382	-2382.607898103206	-465.4344465288116
110000	-37094.5962079115	-2876.74751927592	-34217.848688635575	1.4668389274130251	2014.032950900247	36.38287716514422	6.332405324939243	1.2208483505341436	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.027563747882818544	0.0016810327649037157	0.002520355014108699	0.001146549561622196	1.085854119940692	-0.015282921760553467	-34217.848688635575	-2382.607898103206	-486.79940460442845
120000	-36855.44449304057	-2870.693254079981	-33984.75123896059	1.6417530206542537	2013.8580368070056	36.3154087789985	6.838863015673709	1.3316249177506778	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02214345261547704	0.0016434949990554442	0.002149216233186591	0.0011223700898214685	1.1180029977617736	0.027228123976522352	-33984.75123896059	-2382.607898103206	-480.65815197613074
130000	-36762.65229766963	-2850.935931088305	-33911.71636658132	1.3250577434128246	2014.1747320842471	33.31764992993511	4.5247878927098615	0.5010325424368012	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01945937948126372	0.0014077412704467114	0.0014710611874915334	0.0012141900437849156	0.8436730984052447	-0.013067583708412801	-33911.71636658132	-2382.607898103206	-461.78597054190874
140000	-36655.594109141646	-2864.3844780977447	-33791.2096310439	1.675505415183388	2013.8242844124766	34.981041701578576	9.85098602305596	2.0838210640873704	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023920114636958905	0.001261871145783146	0.0012208823851489862	0.0010409310060066972	0.860181688017054	-0.01257163180103113	-33791.2096310439	-2382.607898103206	-473.7253207939355
150000	-36610.05333564635	-2855.8809002835133	-33754.17243536284	1.4046320471445013	2014.0951577805154	33.406603350045884	6.44704314458533	1.2179518945395433	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.052136616182427035	0.00127086942489384	0.001258799409490827	0.0010817904634310821	0.8733923479719459	-0.02582124493594021	-33754.17243536284	-2382.607898103206	-466.0062064406081
160000	-36522.41014153792	-2851.5020639285485	-33670.90807760937	1.2179632417557702	2014.2818265859041	32.585826753786655	6.0723100975302735	0.9486011970116681	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022841677561819256	0.001283247201345352	0.0013658693257918555	0.0011771032145257365	0.8378405837667539	-0.013723378538251157	-33670.90807760937	-2382.607898103206	-461.9383486364877
170000	-36446.735810826736	-2858.5768124880206	-33588.15899833872	1.1583323173078774	2014.341457510352	33.55772592622971	6.398287236242549	1.2667156680102676	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013755198755876868	0.0012169622114610054	0.0010258034959111351	0.0011055749774364155	0.7108293864697351	-0.020463813130017466	-33588.15899833872	-2382.607898103206	-468.75636263930784
180000	-36241.93161069342	-2855.360175685591	-33386.57143500783	1.3889855803399682	2014.11080424732	34.783755120039025	5.906953130071917	1.0090439122059622	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016472088679135712	0.0013021833522010985	0.0015972515225570008	0.0010428053826554609	0.8788706324594974	0.05031533652536472	-33386.57143500783	-2382.607898103206	-465.76989741891333
190000	-36183.65039843465	-2855.486319650661	-33328.164078783986	1.5304015400447244	2013.9693882876152	34.95962572799306	7.14027522533158	1.4568351142304952	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0033654341075744407	0.0011657967136936781	0.0012555423714158147	9.955858388707708E-4	0.8022405021210859	-0.06891232964315938	-33328.164078783986	-2382.607898103206	-465.5378557972879
200000	-36074.6561256382	-2860.5496734019844	-33214.106452236214	1.5360348407158928	2013.963754986944	36.02603564102599	5.271310141582689	0.7274071210925788	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009477776489410034	0.001129252825412057	9.456557752207022E-4	9.86915739815157E-4	0.752226276838444	0.026700203941411215	-33214.106452236214	-2382.607898103206	-471.3503828078888
210000	-36020.63426544263	-2841.336117481586	-33179.298147961046	1.204251595765795	2014.2955382318942	32.85498673672903	4.099850419317643	0.672032947853489	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.048390168750406894	0.001269866187502908	0.0014661136372672362	0.0010386160778783216	0.9554224205270905	0.04013564814504092	-33179.298147961046	-2382.607898103206	-452.00704084009175
220000	-36026.657004541936	-2841.849415120478	-33184.807589421456	1.3364777749862204	2014.1633120526737	33.43820376007391	5.700841500261185	1.0594493312730153	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026674368774106637	0.0011177007373810012	0.0011261747767446642	0.001001840623695921	0.8407323525186017	0.01747092425920988	-33184.807589421456	-2382.607898103206	-452.254321735644
230000	-35973.032744254735	-2821.7023037987665	-33151.33044045597	1.1941018177546685	2014.3056880099052	30.164640288727373	3.891560381457803	0.4201172921833871	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.042757203407060206	0.0012054851759512456	0.0012267863701433505	0.0011116342017236736	0.8462878165922474	0.0439321809631431	-33151.33044045597	-2382.607898103206	-432.62578534815856
240000	-35895.25834115732	-2819.362184335784	-33075.89615682154	1.1839562971334054	2014.3158335305266	30.099321343766118	3.3379204966656615	0.20813154819223767	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.050421396508504766	0.0012149173997373613	0.0012037502722206839	0.0010945987065666175	0.8019089036478402	0.014577248786789152	-33075.89615682154	-2382.607898103206	-430.4772118594294
250000	-35902.94597608806	-2831.6195279399426	-33071.326448148124	1.0870693117870878	2014.412720515873	30.32596696530627	3.884653191154186	0.24741922246221248	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05218857346318299	0.0012301862999103397	0.001048061704805839	0.001195544552842383	0.8087930370685574	0.01605801881900661	-33071.326448148124	-2382.607898103206	-442.6889627267856
260000	-35898.604684832426	-2837.8301256453724	-33060.774559187055	1.2634487946468258	2014.236341033013	32.045764677417324	5.442631995305768	0.9486025309198562	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08109142437019014	0.0011218779816976662	0.0011685261895466807	0.0010572276598891672	0.8945193782141981	0.09822001514152941	-33060.774559187055	-2382.607898103206	-448.21521072850044
