# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jan 04 22:23:34 AEDT 2020 [seed=1578137012420]
# -overwrite 2015.5-2016_sierra_leone_max200_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-56258.015267888084	-1376.5489450269392	-54881.466322861146	0.8155873671327067	2014.9095072104174	8.660636114241631	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.2732846080378788	1.2461872560320804	-0.005822313547884724	-54881.466322861146	-1250.758241052335	-112.41139809447628
10000	-36473.4536673077	-1484.4356847141087	-34989.01798259359	2.136876424055006	2013.5882181534948	22.65150831609723	3.726287188912224	0.7451816909297846	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015385479765382072	0.02569473106573939	0.2061362440587871	0.002846749163046806	3.1743936161068937	-0.023164773956555272	-34989.01798259359	-1250.758241052335	-224.1051903661489
20000	-34498.47453419135	-1496.0038600881667	-33002.470674103184	2.318924983203494	2013.4061695943465	24.937872965336386	4.016239341331847	0.8213008626126912	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04730252977201321	0.017126010348498383	0.14429003500206414	0.001945889192666156	2.7353296185297573	0.12815263249848258	-33002.470674103184	-1250.758241052335	-236.12481073091718
30000	-33424.98912414678	-1479.1357039265874	-31945.853420220188	2.249243284123785	2013.475851293426	23.775683747357956	2.6960499012851162	0.21390428354805469	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.038962338498462035	0.011565112737324844	0.09868191790190944	0.001431849465907237	2.7789899843678905	0.058577127359480265	-31945.853420220188	-1250.758241052335	-220.34212741849467
40000	-32509.785225755513	-1488.871021878117	-31020.914203877397	2.708121931021904	2013.016972646528	25.88599746079344	2.960620451999418	0.10367612087371891	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013397076509805969	0.007970796650474414	0.05273413803957289	0.0011153241695863723	2.7171203369722408	-0.05015247575366136	-31020.914203877397	-1250.758241052335	-230.67390489997413
50000	-32219.23337875303	-1494.8725577637988	-30724.36082098923	3.6434553928708047	2012.0816391846793	27.7555853845569	2.7761610168648536	-0.21869098943348808	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024275323169145692	0.00599264891049901	0.03549856630711232	9.356073303211098E-4	2.2610580312999833	0.0864264065805299	-30724.36082098923	-1250.758241052335	-236.80787343620165
60000	-31814.687679215935	-1458.102528010749	-30356.585151205185	3.1899558579850344	2012.5351387195649	22.048763722921986	1.6499827379495857	-0.7254986260903908	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01331893788151797	0.006100481664903087	0.037044115185219106	9.842517441743216E-4	3.204115028865831	0.053013233777610226	-30356.585151205185	-1250.758241052335	-199.4561374545329
70000	-31671.008909515996	-1467.029089809091	-30203.979819706907	2.0782158532737034	2013.6468787242763	21.0753900158059	2.294580047503585	0.11595106995383309	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0028395967994211584	0.005075715003339027	0.03977167383207544	9.973488836549844E-4	2.2294119327913715	-0.06226459798385023	-30203.979819706907	-1250.758241052335	-209.10192667659857
80000	-31465.35051363135	-1449.7319685937323	-30015.618545037618	1.7719134620543986	2013.9531811154955	19.07648418009102	1.8054600408246935	0.09381739235588271	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026137593424559825	0.003113203668042182	0.012657215824605309	0.0010282462431769142	1.8321669874934803	-0.002335003158075185	-30015.618545037618	-1250.758241052335	-192.1038578335827
90000	-31285.740196439496	-1436.0920567506448	-29849.648139688852	1.7209699766731388	2014.0041246008768	17.845538188146183	1.7483712830602975	0.1302895229710821	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03723366633639018	0.0017822063801474896	0.0023987969744503758	0.0011012503417211893	1.0357648111161069	-0.018838912013084713	-29849.648139688852	-1250.758241052335	-178.70919074599558
