# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:51:15 AEDT 2019 [seed=1576857072434]
# -overwrite 2015.5-2016_sierra_leone_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-53657.33897910209	-1381.6263759038102	-52275.71260319828	5.2453713344093895	5.2453713344093895	18.535777964416084	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.002652556195854987	5.516850449864614	-0.031148544956472977	-52275.71260319828	-1250.758241052335	-118.45381167517301
10000	-36248.98210113456	-1615.9565639257376	-34633.02553720883	3.8829062986746705	3.8829062986746705	54.95997057752753	11.488847756321274	0.5083332606008772	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04949464913042926	0.005	0.0340684985683501	0.001090293841342657	3.5862906994086727	-0.009481653321779174	-34633.02553720883	-1250.758241052335	-354.0743667540559
20000	-34231.88158257501	-1643.21782424186	-32588.66375833315	5.548347720767993	5.548347720767993	68.65637372717265	12.88786918639787	0.1992230804153603	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.042577181162304724	0.005	0.06613217614910286	7.365315174465507E-4	4.986954808705359	-0.020828036567643683	-32588.66375833315	-1250.758241052335	-381.5623671633436
30000	-32965.18222654936	-1648.782374161675	-31316.399852387683	8.298819456676817	8.298819456676817	82.55754889652249	12.393225109132036	0.20848127928058857	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.055320129233698855	0.005	0.08922967149301898	3.427802720459451E-4	6.239443675761841	-0.021412989920617662	-31316.399852387683	-1250.758241052335	-387.02288544855975
40000	-32491.692798364762	-1626.8387828305413	-30864.85401553422	17.427216775162286	17.427216775162286	101.9362943064051	8.517725879380613	0.053113479123904295	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.021014634783846766	0.005	0.11975851041216126	2.642286437669616E-4	6.925496188176771	-0.018959080264745066	-30864.85401553422	-1250.758241052335	-365.2117251447173
50000	-32296.33259255868	-1620.4274971462658	-30675.905095412414	13.462054533310276	13.462054533310276	87.86235564042893	9.722900848820219	0.031917953969860635	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03659030466953674	0.005	0.11049825298291716	2.9774608405316866E-4	6.507385864983317	-0.022439524041779603	-30675.905095412414	-1250.758241052335	-358.8182523663624
60000	-32204.36826928629	-1597.96128617659	-30606.4069831097	6.615034142743253	6.615034142743253	59.334205477392956	7.084383022068673	0.1084383544650187	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026550935703134996	0.005	0.08798683413188695	4.837871965654257E-4	6.130475847562412	-0.02368130676844233	-30606.4069831097	-1250.758241052335	-336.36316037585556
70000	-32194.404067527492	-1607.8420407191863	-30586.562026808304	11.428165591525914	11.428165591525914	85.17919735684664	7.623346684328684	-0.03702417254868684	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.053049027482309934	0.005	0.1236676861825854	2.822956246819886E-4	6.159539612022303	5.963138085645646E-4	-30586.562026808304	-1250.758241052335	-346.1552849710213
80000	-32152.521103237435	-1612.9221150851354	-30539.598988152302	12.426318207538474	12.426318207538474	80.97007895150921	8.655384607429347	0.03779309546724319	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02213463203541631	0.005	0.15615552523481396	3.1580222550724364E-4	6.95951354984517	-0.010109303584924175	-30539.598988152302	-1250.758241052335	-351.1989453674095
90000	-32081.903673920813	-1626.5278468204365	-30455.375827100375	12.526483651556456	12.526483651556456	86.5062220082139	8.266918650829156	-0.009850616496832831	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009296602560995354	0.005	0.14130105281128202	2.673276886336178E-4	7.210176033142923	-0.016882140381587602	-30455.375827100375	-1250.758241052335	-364.90286294256015
100000	-31807.172021117585	-1631.6201087585493	-30175.551912359035	14.286779259415692	14.286779259415692	84.2949927612919	9.366252647061632	-0.031325389652095526	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01283854941114998	0.005	0.21706005904129314	2.5680494496874775E-4	8.617469867367452	-0.02579600327524407	-30175.551912359035	-1250.758241052335	-369.73927820178744
110000	-31788.854431193755	-1628.0403922218986	-30160.814038971857	6.9537625744348475	6.9537625744348475	69.97317760095439	10.27845502762069	0.07344526920784622	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03706715773171102	0.005	0.23492722477501396	3.20686123647569E-4	8.72542891294421	-0.03901775709091507	-30160.814038971857	-1250.758241052335	-366.0153739497149
120000	-31826.468477167924	-1650.257481081392	-30176.21099608653	6.104697427646663	6.104697427646663	73.42772747475144	12.87445304455866	0.3936653659956113	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05989835854764009	0.005	0.1867313260055504	2.902056821638211E-4	8.182733414638658	-0.011292211263282873	-30176.21099608653	-1250.758241052335	-388.0111420471168
130000	-31753.77193431578	-1641.5670760999294	-30112.20485821585	6.101329285347538	6.101329285347538	67.002459873639	11.336950641087995	0.3178660122643102	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06890642777469752	0.005	0.16723603786293312	3.562360885221045E-4	8.680081546602178	-0.04791389279763959	-30112.20485821585	-1250.758241052335	-379.43702152038327
140000	-31730.17093395628	-1612.0728678585958	-30118.098066097686	3.351383319857981	3.351383319857981	46.99531222050045	8.936907030685457	0.821115514352476	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.052411576335609965	0.005	0.08362395957012504	4.807055022712837E-4	7.48819529257823	-0.043799280680483936	-30118.098066097686	-1250.758241052335	-349.72341371515427
150000	-31728.793752085126	-1617.6557528873348	-30111.137999197792	4.2134150768234235	4.2134150768234235	48.65463139920867	9.468857976681086	0.6742382240290044	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04271190200309453	0.005	0.10810381222969008	4.2160269010191575E-4	8.459752347422787	-0.04278902602904946	-30111.137999197792	-1250.758241052335	-355.3991305053936
160000	-31719.402614813764	-1612.267825427376	-30107.13478938639	2.039562831319796	2.039562831319796	42.40195512640613	13.11649308514526	1.1947422823253282	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04930134023363583	0.005	0.09356808419384824	5.249733857728039E-4	8.106490728613647	-0.03320823090725227	-30107.13478938639	-1250.758241052335	-349.5210908184338
170000	-31670.656822172714	-1595.1170219582186	-30075.539800214494	2.8811089771594656	2.8811089771594656	39.32984815556244	8.787215326615172	1.0516659649544853	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.053916984038187225	0.005	0.11003427834278186	5.112266220995271E-4	8.580914693909694	-0.03708659243012989	-30075.539800214494	-1250.758241052335	-332.4547770893689
180000	-31672.257506743048	-1604.7932848792989	-30067.46422186375	2.761921873308631	2.761921873308631	42.63508731980583	11.46193248359201	1.19657458805256	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.056003739633627383	0.005	0.11041804406199615	4.8485261948415063E-4	8.494104130479851	-0.029670491832911285	-30067.46422186375	-1250.758241052335	-341.9807798318311
190000	-31671.962570002386	-1604.494964407246	-30067.46760559514	2.639332327549836	2.639332327549836	42.625906480177164	9.66463368909804	1.1145122248295898	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.042800674447601834	0.005	0.11500699495656284	5.218895838214904E-4	8.554404154954675	-0.037418025713362425	-30067.46760559514	-1250.758241052335	-341.7771789736775
200000	-31657.253503870055	-1597.7289526013294	-30059.524551268725	2.0181725725320367	2.0181725725320367	38.33332759269417	12.266719874953655	1.4068334946552468	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04404067694691459	0.005	0.11030173955693051	5.705280986879205E-4	8.445685758287418	-0.044110830733795556	-30059.524551268725	-1250.758241052335	-334.7304556382736
210000	-31668.019818975146	-1597.591146242317	-30070.42867273283	2.262540332811793	2.262540332811793	39.4888518716359	9.043517247017062	1.028390166994054	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.018778306617020256	0.005	0.11382268465905988	4.966286121113258E-4	8.576618899733257	-0.03730949418318967	-30070.42867273283	-1250.758241052335	-335.01108674430225
220000	-31644.79656348539	-1591.1769683543946	-30053.619595130996	1.9128299321966256	1.9128299321966256	37.497806487121416	9.844603236737052	0.9515425230515409	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028785234845658546	0.005	0.09434842126572485	5.534513922513247E-4	7.804871182493006	-0.03640481297300775	-30053.619595130996	-1250.758241052335	-328.7121574231851
230000	-31668.753666049437	-1603.2432031316253	-30065.510462917813	1.81157870173065	1.81157870173065	39.65505903075018	12.418660897343749	1.3617639160749324	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0505364576708142	0.005	0.09287829669715204	5.265101084347233E-4	8.346765161747749	-0.039136839985803425	-30065.510462917813	-1250.758241052335	-340.3290529948712
240000	-31659.180694212275	-1599.4434050126406	-30059.737289199635	3.1781063900117035	3.1781063900117035	41.85246809562956	9.007315631870892	0.7014625104681567	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.020175727236429762	0.005	0.11848750555204232	4.952364786047944E-4	8.197079377428212	-0.02204222420769629	-30059.737289199635	-1250.758241052335	-337.1734842292501
250000	-31643.787833146936	-1595.5138315909296	-30048.27400155601	3.8285900928928873	3.8285900928928873	42.156076277392735	9.009785027378438	0.5878729023038072	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.058119281285522836	0.005	0.10523660239466616	4.93062154478334E-4	7.9443614312705515	-0.03695589947093827	-30048.27400155601	-1250.758241052335	-333.32136599238333
260000	-31642.139835936807	-1590.8618406423197	-30051.277995294487	2.698318827596068	2.698318827596068	40.00680772155736	9.1404428917362	0.8999379986663139	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03827334972667849	0.005	0.10069852914642438	5.376888645765772E-4	8.15059637261185	-0.010346888256885131	-30051.277995294487	-1250.758241052335	-328.4106147236946
270000	-31653.611173188277	-1590.7331741783676	-30062.87799900991	3.7859847476640542	3.7859847476640542	41.59818842000095	6.981013592145671	0.7196139179547147	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008878308669384582	0.005	0.10836457705008096	4.945943879467137E-4	8.27241735588735	-0.023366418876719003	-30062.87799900991	-1250.758241052335	-328.4980858731508
280000	-31633.074251756538	-1584.658434491751	-30048.415817264788	3.606884460642837	3.606884460642837	39.427516752839146	7.0009802258661615	0.5038972937691395	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05123253723829929	0.005	0.10872163636414663	5.357881038471547E-4	8.207238486252898	-0.036364527688749954	-30048.415817264788	-1250.758241052335	-322.55328297597345
290000	-31631.752090232352	-1581.780378695219	-30049.971711537135	3.9297526405100744	3.9297526405100744	40.038715493025485	7.123086905062071	0.7569696564262802	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04026539087316445	0.005	0.09013609104585407	5.293470792682795E-4	7.620366259446605	-0.02685307230962717	-30049.971711537135	-1250.758241052335	-319.49984452440276
300000	-31441.607916698085	-1565.775066210981	-29875.832850487102	2.5663787435773084	2.5663787435773084	34.51113285467443	6.659755894499532	0.8121902512342456	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03563720941462638	0.005	0.05453036481760858	7.119974419694197E-4	6.738314997519191	0.14263071978313205	-29875.832850487102	-1250.758241052335	-303.55538962026867
310000	-31389.52940007229	-1583.3648269210753	-29806.164573151214	2.505879644704756	2.505879644704756	37.66985884387497	8.271149789606838	1.0988103125400441	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.020793908362017284	0.005	0.08398169496752111	5.024189791525455E-4	7.518339968418104	-0.03326894722734732	-29806.164573151214	-1250.758241052335	-320.7998467667736
320000	-31388.176120787768	-1586.4167531677754	-29801.759367619994	2.64978175360681	2.64978175360681	37.73361828290919	9.22009383871585	0.6840797490906625	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030502156317261286	0.005	0.08983435904184194	4.875266392546682E-4	3.1593956234421157	0.026648120521341623	-29801.759367619994	-1250.758241052335	-324.2295195993491
330000	-31378.230473892294	-1586.2585359953653	-29791.971937896928	2.9699788302139836	2.9699788302139836	39.30231468851494	6.778457742648463	0.6604060760736468	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012416695463035352	0.005	0.10319059138160988	4.991293556141056E-4	3.2597783739101613	-0.02595588009974571	-29791.971937896928	-1250.758241052335	-324.0911027410061
340000	-31375.158218104683	-1578.7605122764744	-29796.39770582821	2.717687815951738	2.717687815951738	36.66032049747549	8.58144985149116	1.1043985619587058	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05021281169199961	0.005	0.0966967202472997	5.03053960610849E-4	3.5337335741367957	-0.06948069733783833	-29796.39770582821	-1250.758241052335	-316.09295788725416
350000	-31383.672316747034	-1590.7291074222983	-29792.943209324734	2.501936586386362	2.501936586386362	38.518613431499	9.871397014076528	1.1918372002103612	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.034269919007992575	0.005	0.09030011702041059	4.367885658029321E-4	3.8971817417236614	-0.06735834123770969	-29792.943209324734	-1250.758241052335	-328.0251770904034
360000	-31379.906881454914	-1577.9922848372362	-29801.914596617677	1.9266658035083064	1.9266658035083064	33.32097359995077	9.021677739311494	1.644300725966207	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04454347932277504	0.005	0.0863534064078865	5.531638759428836E-4	3.442014535702992	-0.05568132669935142	-29801.914596617677	-1250.758241052335	-314.82719248798634
370000	-31341.32957835094	-1552.3841239094031	-29788.945454441535	2.7071063137752898	2.7071063137752898	32.2553040176508	5.053850180131527	0.7432022422231248	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05543478678860564	0.005	0.07024271768805856	5.829128254107461E-4	2.890240218609337	-0.020805335861705215	-29788.945454441535	-1250.758241052335	-290.1467191733996
380000	-31326.383164120845	-1524.0777794895614	-29802.305384631283	2.0971433825379857	2.0971433825379857	25.504496684717786	3.845175906430396	0.16549334300329122	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09434626729985318	0.005	0.0589963208206613	7.505794502595521E-4	2.7798291613743804	-0.012962192373392875	-29802.305384631283	-1250.758241052335	-262.3740119691002
390000	-31316.53503075007	-1521.7183988806235	-29794.816631869446	1.946626117960313	1.946626117960313	26.175357428001938	4.287154404386711	0.3410930193583068	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05479098648601217	0.005	0.07507018102935832	7.05209304753491E-4	2.66059190196778	-0.0035076803092639786	-29794.816631869446	-1250.758241052335	-259.8699162450238
400000	-31340.65466957694	-1534.7545773013478	-29805.90009227559	2.99631771126477	2.99631771126477	30.255989564892754	3.6597395519625286	0.02811729869195223	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.090296094234754	0.005	0.06764532673860425	6.326584074408122E-4	2.6942319177079037	-0.07234500630317785	-29805.90009227559	-1250.758241052335	-273.17034100793785
