# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 12:41:23 AEDT 2019 [seed=1576546881852]
# -overwrite Democratic_Republic_of_the_Congo_subset_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-29823.416479711675	-26.228060573786486	-29797.18841913789	4.648602320074909	2012.7769966710953	9.578454757672677	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005000000000000001	-29797.18841913789	0.0	-13.715125108816256
5000	-29073.940816409253	-3.005605183384569	-29070.935211225868	3.0559631537268497	2014.3696358374432	4.314414747321389	0.3219875929254481	0.17767798528700696	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2075469675905839	0.005	0.0049999999999999975	-29070.935211225868	0.0	9.100095421929764
10000	-29059.500971285954	2.2647420412450803	-29061.7657133272	2.946162262462241	2014.479436728708	3.923425833855822	0.23430405229028775	0.09960357621911409	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.25837346440084247	0.005	0.005	-29061.7657133272	0.0	14.39402035427663
15000	-29060.294504623558	-0.6181595518314289	-29059.676345071726	2.9291100577712497	2014.496488933399	3.885514879687555	0.9141941670830656	0.5562089373794725	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5307482455550028	0.005	0.005000000000000001	-29059.676345071726	0.0	12.512480483569949
20000	-29064.475896808435	4.797831327737054	-29069.273728136173	2.947749552866178	2014.477849438304	3.7649006033152466	1.3444222755952724	0.8029456838735196	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.19259272679819808	0.005	0.005	-29069.273728136173	0.0	17.498901374399953
25000	-29067.343525582208	2.0081926551514186	-29069.351718237358	2.9403607652593626	2014.4852382259107	3.896428096139203	1.2264845459499776	0.8291881810385897	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10169143159983382	0.005	0.005	-29069.351718237358	0.0	14.553701429205365
30000	-29064.798161623763	-1.914941416363746	-29062.8832202074	2.9249800267660757	2014.500618964404	3.8654218060743197	1.398817561490625	0.7796571371286865	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.21331557666087436	0.005	0.004999999999999998	-29062.8832202074	0.0	10.804286327232532
35000	-29076.079802643904	-0.9031800410111348	-29075.176622602892	3.188070218913486	2014.2375287722566	4.4512368945584075	0.4553476482851132	0.16361848204791496	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1599277683595184	0.005	0.005000000000000001	-29075.176622602892	0.0	11.093223996202529
40000	-29063.145639095346	2.7519829933986646	-29065.897622088745	2.9371072181664317	2014.4884917730037	3.864893585292001	0.4080901241095005	0.20534154454746	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026432271848029137	0.005	0.004999999999999999	-29065.897622088745	0.0	14.523118627513654
45000	-29058.282625398304	5.766126564159148	-29064.048751962462	2.9536296041019634	2014.4719693870682	3.8262174146133927	0.2650723978273442	0.09469393431621098	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010192647676244284	0.005	0.005	-29064.048751962462	0.0	17.394133909522054
50000	-29064.916893948175	-3.7240187257156627	-29061.19287522246	2.9924110358725238	2014.4331879552976	4.1378583532765045	0.7582399536609851	0.3740445513217434	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012277370826985505	0.005	0.005000000000000001	-29061.19287522246	0.0	8.187513614629816
55000	-29070.06145548263	-3.544784706639737	-29066.516670775993	2.9252618102399017	2014.5003371809303	4.044599007060018	0.08775886443007251	-0.43594556890693137	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006151518679714604	0.005	0.005000000000000001	-29066.516670775993	0.0	8.416390242185495
60000	-29058.305871299595	3.9599425559726775	-29062.265813855567	2.931775842201118	2014.4938231489689	3.875367408509103	0.07172759624622517	-0.3388562377537818	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.003591759207512882	0.005	0.004999999999999998	-29062.265813855567	0.0	15.818908494387678
65000	-29065.43095681911	0.14159123756013514	-29065.57254805667	2.9338332524761372	2014.4917657386939	3.9040537618143425	0.2467889923350945	0.033230470407068724	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014807656517348245	0.005	0.005000000000000002	-29065.57254805667	0.0	11.717364953862052
70000	-29060.58032180399	1.1005153196553845	-29061.680837123648	2.967269397823802	2014.4583295933462	4.010090906011369	0.35929626995164576	0.14134703544289162	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0032292112616164694	0.005	0.004999999999999999	-29061.680837123648	0.0	12.761249835554436
75000	-29057.836422030807	4.45939517641931	-29062.295817207225	2.937217292632673	2014.4883816985375	3.8465827279109206	0.1285147450594952	-0.125945254777597	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0034703964081317248	0.005	0.005	-29062.295817207225	0.0	16.10520797413085
80000	-29059.43732454504	2.1435710852717875	-29061.58089563031	2.927101923968985	2014.498497067201	3.88436768606604	0.19961734930324213	0.015844207209442907	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05069447300066125	0.005	0.004999999999999999	-29061.58089563031	0.0	13.773731699626275
85000	-29057.46700003005	5.088920076456802	-29062.555920106508	2.923092284256234	2014.502506706914	3.7013171333644803	0.5730307997291941	0.4648845294880688	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.23449418944080042	0.005	0.004999999999999999	-29062.555920106508	0.0	17.535724180104697
90000	-29059.899239007304	4.357713365099599	-29064.2569523724	2.9260291122120745	2014.499569878958	3.7802889494487117	0.17588543243727828	-0.01171550371648955	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09451444243662402	0.005	0.005000000000000001	-29064.2569523724	0.0	16.07138497751389
95000	-29057.479013407006	2.6712457774319436	-29060.150259184436	2.9321560835759892	2014.493442907594	3.8950894724989427	0.1250477039894286	-0.15292757669862378	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.12414423075210743	0.005	0.005000000000000001	-29060.150259184436	0.0	14.58538853108205
100000	-29058.330498179275	2.172534754424781	-29060.5030329337	2.9471134974509456	2014.478485493719	3.98995091677291	0.3234491295227935	0.1766535469546704	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.23801099920737256	0.005	0.004999999999999999	-29060.5030329337	0.0	14.33813899925572
105000	-29073.732418637504	-6.203039196298195	-29067.529379441206	2.9472447663868095	2014.4783542247833	4.094453061742289	0.6042075575437561	0.26131268622547466	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4943944494692643	0.005	0.005000000000000003	-29067.529379441206	0.0	6.559993895911613
110000	-29061.77577320518	6.596106686026152	-29068.371879891205	2.9375784057679866	2014.4880205854022	3.7026045712413476	0.20262974415298002	-0.023358114494377302	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0244720297455645	0.005	0.005000000000000001	-29068.371879891205	0.0	20.181336351279327
115000	-29065.77126170677	-1.5705988732307254	-29064.20066283354	2.9345082898332584	2014.4910907013368	3.929073341764779	0.5588465573397282	0.45115134963962733	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4040729091079341	0.005	0.005	-29064.20066283354	0.0	11.201629348060571
120000	-29053.32311625099	13.053519767096478	-29066.37663601809	2.9252514785664805	2014.5003475126036	3.619109176774884	0.10380609351505679	-0.006692235403921387	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09125776631644932	0.005	0.005000000000000002	-29066.37663601809	0.0	24.75565403816446
125000	-29053.879317710802	10.54261509354848	-29064.42193280435	2.92973182024632	2014.4958671709237	3.673362614972982	0.0365495022774643	-0.5058063989701582	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019898346166512395	0.005	0.005	-29064.42193280435	0.0	22.601144015316915
130000	-29054.580412213574	8.084484888715512	-29062.66489710229	2.9310511678573383	2014.4945478233128	3.794938997151102	0.06384095346122141	-0.2788172623468581	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022113549593880847	0.005	0.005	-29062.66489710229	0.0	19.920455353629894
