# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 10 10:44:55 AEDT 2020 [seed=1578613493054]
# -overwrite Democratic_Republic_of_the_Congo_subset_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-30856.81678278977	-180.90129877728435	-30675.915484012487	7.102291564310594	2010.3233074268594	17.11762395794718	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.3333333333333333	3.5614176722721257E-5	3.6507368279094834	0.034231734371674885	-30675.915484012487	-156.9821239679015	-20.404521514330867
80000	-29234.233823189006	-196.38852089567865	-29037.845302293328	6.210534318650164	2011.21506467252	18.958909958847993	4.858828096224842	0.1881872337470254	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07301050869959519	0.0015568266187329517	0.010185045839232408	0.001100959222144335	1.8030052600843094	-0.12296031994361788	-29037.845302293328	-156.9821239679015	-37.344301493705245
160000	-29289.957328526383	-248.7730425769605	-29041.184285949425	122.07079154847733	1895.3548074426928	316.561027325061	20.839315322232448	-0.01646752157225717	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1443061214601897	0.001286639144316213	0.04995042909114727	6.96924511204864E-5	2.233807216415176	-0.05989627010508786	-29041.184285949425	-156.9821239679015	-90.76364066603367
240000	-29235.858864407386	-198.57840874343418	-29037.280455663953	5.04413418626855	2012.3814648049015	17.139487646471324	66.63951202730637	1.0679405124226904	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1027857952921886	0.001665167901994349	0.017181219620533143	0.0013092786153176407	1.7631440976005273	-0.2699431556355349	-29037.280455663953	-156.9821239679015	-38.49017206600726
320000	-29247.599239669787	-203.5817115302666	-29044.01752813952	4.550833191890163	2012.8747657992799	16.954067593279134	76.67407159307257	0.9821027541905081	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.18231195368860434	0.0037399591941473507	0.09187324670483812	0.0010730874779647356	2.1450981821981037	-0.15282867418855187	-29044.01752813952	-156.9821239679015	-42.75120348127506
400000	-29233.219122444734	-192.87315301908623	-29040.34596942565	3.5543000836169916	2013.8712989075532	11.564674774643862	2091.759045026068	2.5542722659022807	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03354327432327067	0.0057970069043320055	0.10376886522337303	0.0018580871971840228	2.006818741099382	-0.16011913991001572	-29040.34596942565	-156.9821239679015	-30.298132313314678
480000	-29220.41588578733	-175.16340975768398	-29045.252476029647	3.314812038082334	2014.1107869530877	10.28780305183367	25.011005986093153	1.326623401355997	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1655936120489299	0.007156951880294966	0.038580288699724144	0.0020598841934830812	1.678753647173793	-0.0958705123801101	-29045.252476029647	-156.9821239679015	-13.597712343160378
560000	-29261.755922822187	-220.847816208548	-29040.90810661364	7.128685792888211	2010.2969131982818	36.77733824539611	74.6105509261625	0.6395155675678061	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04300120960202493	0.005467349980798776	0.25103741072331887	6.348408468831783E-4	2.7405652463906747	-0.0732623425312371	-29040.90810661364	-156.9821239679015	-60.220705284812134
640000	-29271.528206355677	-230.24677704006595	-29041.28142931561	9.45572799436517	2007.969870996805	49.32000904503171	94.04622792557139	0.6353148559531712	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.209156939919144	0.005067257481590321	0.5018296053390372	4.8654842685440637E-4	2.683855928326723	-0.009093462024616236	-29041.28142931561	-156.9821239679015	-68.67486297591593
720000	-29268.63481614092	-229.9799803725858	-29038.65483576833	7.658034245404035	2009.767564745766	65.56184208724191	16340.520080046772	1.410925641560987	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.18484315754443859	0.0038878764502948302	0.13823965848576014	3.6114665921194167E-4	4.064040899622035	-0.04387351625150946	-29038.65483576833	-156.9821239679015	-68.87920934315744
