# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 12:44:53 AEDT 2019 [seed=1576547090299]
# -overwrite Guinea_subset_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-88761.18654307784	-5913.7697520807005	-82847.41679099714	2.4532060863602503	2013.3515438085496	37.50911463464417	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.23151847433601674	1.186500388735888	-0.05371596112926839	-82847.41679099714	-5470.802113650711	-423.1091108128551
5000	-61676.64765896863	-6446.650044746095	-55229.997614222535	2.513301507706355	2013.2914483872037	68.02005785168225	6.6869267835827335	0.365493369686422	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06429548381545659	0.10447335474627861	0.05281310342921486	0.09575529281782708	0.4958425321355413	-0.0022886163398480566	-55229.997614222535	-5470.802113650711	-960.341691749835
10000	-59125.93412157705	-6593.934236987493	-52531.99988458955	2.4286927548343398	2013.3760571400755	84.8986143203643	9.75773216502674	0.5213725696232199	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07029003703356544	0.051872312413754354	0.03277159183293311	0.04462940873696377	0.6287673296310583	-0.050595198192648294	-52531.99988458955	-5470.802113650711	-1110.6814067168013
15000	-57927.80778167808	-6631.8855721416885	-51295.92220953639	2.352856707153726	2013.4518931877562	89.01672017298515	9.374311235329142	0.38364578797494464	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06931438665609183	0.046543971423041446	0.030365643867233064	0.040106777148568695	0.655149477006119	-0.053178117863030255	-51295.92220953639	-5470.802113650711	-1149.118214461059
20000	-56811.4359813176	-6654.414174841909	-50157.02180647569	2.344840144875195	2013.4599097500347	92.08208470378442	11.00244448685052	0.5481744261956454	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07091617920224047	0.026287821260202522	0.01509234713783928	0.023782460225423598	0.5738212408347018	0.002956320599076949	-50157.02180647569	-5470.802113650711	-1173.5500167982111
25000	-54821.71448406779	-6703.051038106133	-48118.663445961654	2.5256214212429025	2013.279128473667	100.36734674834648	14.879562261780052	0.5738177574017664	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.040711279102760095	0.0021391100693914484	0.0015775233133966716	0.0018073478909088742	0.7127163355938642	-0.027473580833181428	-48118.663445961654	-5470.802113650711	-1225.7655290102846
30000	-53575.5690461848	-6714.487273232243	-46861.08177295256	2.579912387933758	2013.2248375069762	101.83586302922427	16.971393046925233	0.6860905969049018	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010766620952975998	0.0019826351619672885	0.0015140629067849902	0.001646450728308667	0.7578115839371066	-0.001995430786204904	-46861.08177295256	-5470.802113650711	-1237.207587738267
35000	-52400.375115558985	-6729.205650223746	-45671.16946533524	2.512490805843277	2013.2922590890666	103.74602003101768	19.214956906111464	0.7279458563491725	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03442928476866313	0.001659224953215084	0.001418644464774798	0.0013651398257595864	0.8197737863526894	0.01450984621844755	-45671.16946533524	-5470.802113650711	-1251.965143198999
40000	-51489.28468981697	-6743.450274956722	-44745.83441486025	2.5623404569337356	2013.2424094379762	106.56824219212771	18.385339700151608	0.6491884389182481	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04191229531365401	0.00160660767471417	0.001508152379462767	0.0012674398231970973	0.8955721236888144	0.026561337436082966	-44745.83441486025	-5470.802113650711	-1266.303756445399
45000	-50829.99957298337	-6734.932357347409	-44095.06721563596	2.615451204739875	2013.18929869017	104.76881599114353	16.18442952644328	0.5529457164942468	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.035881479092318154	0.0014687137784613977	0.0013306913979107297	0.0011920022961616624	0.8620363783168551	0.013481531481876528	-44095.06721563596	-5470.802113650711	-1257.9483897867751
50000	-50274.80181659509	-6713.605677587077	-43561.19613900802	2.971276079051685	2012.8334738158583	103.34634354510922	16.187813241091316	0.6529881214587738	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01531389994666695	0.0014351441053756886	0.0014153283711437765	0.0011967282862964939	0.9452710973024623	0.048506380556216776	-43561.19613900802	-5470.802113650711	-1236.5728330963545
55000	-49866.28188648727	-6712.427735338905	-43153.85415114836	2.848675689062518	2012.9560742058475	102.98570547314806	17.469922197182356	0.7640060943995082	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007250363423892393	0.0013155616603509727	0.0014318939904482534	0.0010754401848559194	1.0323634697517652	0.05191298257399349	-43153.85415114836	-5470.802113650711	-1235.3545232124468
60000	-49480.190272368585	-6725.029162534185	-42755.1611098344	2.9420747231141284	2012.862675171796	102.49126471515766	17.19731629436299	0.7836806749895244	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.003528198328577336	0.001309187761979759	0.0012777151104201355	0.0010948553735927226	0.9742436336341896	0.023278814043253174	-42755.1611098344	-5470.802113650711	-1247.945511232515
65000	-49027.875066674555	-6702.794363306588	-42325.08070336797	2.7782741255765036	2013.0264757693335	100.50732143410342	17.33534704005282	0.7630399424698533	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004109069464396516	0.0012347457991795977	0.001204269556539588	0.001057154596827581	0.9545187017617062	0.004828614003307139	-42325.08070336797	-5470.802113650711	-1225.7599866680189
70000	-48809.17150933696	-6695.188261694468	-42113.98324764249	2.825215689898099	2012.9795342050118	98.87362239266815	15.331987249518551	0.7127145056224091	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004067254125508304	0.001217189064902085	0.0011049614706909047	0.0010829743083537	0.873047921959693	0.03612844093393785	-42113.98324764249	-5470.802113650711	-1218.2073316228827
75000	-48530.79287933872	-6685.574977711738	-41845.21790162698	2.3102233037218385	2013.494526591188	97.12219418447432	18.365182697959863	0.8355958388562441	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0034628997558896033	0.0013043032280094543	0.001322013463952161	0.0010943895965878777	1.0196590305868285	0.003463034870747531	-41845.21790162698	-5470.802113650711	-1208.4218659324672
80000	-48320.779552528715	-6681.721205812586	-41639.05834671613	2.3559105649601917	2013.4488393299498	95.38764111056314	16.694832150852484	0.784626684842231	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012335388808463714	0.001212866587645571	0.0010719075806419366	0.0010454228378318836	0.9029148741633165	0.031105394181561923	-41639.05834671613	-5470.802113650711	-1204.6404002575975
85000	-47999.98780823784	-6689.191657053581	-41310.79615118426	2.3217270424834404	2013.4830228524265	96.80393698605758	11.740759840139152	0.469473212161164	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025049463823481232	0.0010869015340693882	9.888330516085045E-4	9.321816416763233E-4	0.8935563656495193	0.009952575667412275	-41310.79615118426	-5470.802113650711	-1212.473548851868
90000	-47755.56446344709	-6669.8546742224735	-41085.70978922462	2.3967378303809928	2013.408012064529	94.17847493012374	9.870507630564868	0.3444395088111436	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05021994687938638	0.0011298247817971379	0.00102386581587427	9.551300719910032E-4	0.8857138318803945	-0.016521849992666596	-41085.70978922462	-5470.802113650711	-1193.1768697576558
95000	-47620.57648717083	-6673.234076921225	-40947.34241024961	2.2690946925710906	2013.5356552023388	93.75139298989372	9.98187725034164	0.3586526158049028	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02255418466056854	0.0011696469240730077	0.001048174136489065	0.0010027655726223713	0.873202378235681	-0.03175167310918485	-40947.34241024961	-5470.802113650711	-1196.5744737332068
100000	-47373.28835175448	-6684.196456724389	-40689.0918950301	2.8718125013126237	2012.9329373935973	97.24298674366794	12.40459296102835	0.4458753011894625	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03442108640960298	0.0010331554416127423	9.569549596914261E-4	8.685698339056686E-4	0.8944008791883649	-0.01955963507680757	-40689.0918950301	-5470.802113650711	-1207.5156606929352
105000	-47082.20990919758	-6663.561610373293	-40418.64829882429	2.4357708847029484	2013.3689790102069	94.0068979571339	12.546972680311361	0.5829512475672334	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04136957448532679	0.0010942868451340217	9.078167942902227E-4	9.307271661551771E-4	0.832630348563277	0.008217315316983274	-40418.64829882429	-5470.802113650711	-1186.681919061418
110000	-46875.761231700606	-6673.717104266897	-40202.044127433706	2.1779055833272682	2013.6268443115828	93.89954429407494	12.526524255770385	0.50482524101893	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02963168707855582	9.875477715657521E-4	7.926023930044797E-4	8.747338755705739E-4	0.7889144052451555	0.00175790894481156	-40202.044127433706	-5470.802113650711	-1197.0002461332506
115000	-46722.33389466441	-6640.072428623827	-40082.26146604058	2.115790870548668	2013.6889590243613	90.10725001438225	9.516060997927188	0.3847992454908087	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026503118521046486	0.0010441916595158268	8.763609643205451E-4	9.436765215455531E-4	0.8248605596733076	0.033878969849738996	-40082.26146604058	-5470.802113650711	-1163.4317743150098
120000	-46634.57285730993	-6629.750956812196	-40004.821900497736	2.0866728635894223	2013.7180770313205	88.86813287015138	10.655597352700923	0.532193565654985	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04113669432589765	9.873765085948005E-4	7.815138600754103E-4	9.187350903554403E-4	0.7751328977033148	0.022591096507613404	-40004.821900497736	-5470.802113650711	-1152.9613070543749
125000	-46433.801235419945	-6643.475960343403	-39790.32527507654	2.3032541947547465	2013.5014957001551	91.04394854055681	13.534900637816685	0.6539925316424284	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03737780285910245	9.806120256531355E-4	8.961531260600889E-4	8.607273708553523E-4	0.8619106542464837	-0.01295335348088428	-39790.32527507654	-5470.802113650711	-1166.5856558400208
130000	-46215.79711771304	-6632.909393553584	-39582.88772415945	2.3239745312832443	2013.4807753636267	90.54340822410317	15.758109809695862	0.8470352370705929	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.018269236728054052	9.802870105455417E-4	8.434074072704246E-4	8.541839118450119E-4	0.8062810772150716	0.0448855926306445	-39582.88772415945	-5470.802113650711	-1155.862329015772
135000	-46046.925330525584	-6621.029521918925	-39425.89580860666	2.294079397190458	2013.5106704977195	89.89623795358686	13.07935820001249	0.6992666741861757	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01872462222806261	9.329631756425776E-4	7.879287100913173E-4	8.183785687815173E-4	0.7886335903812235	-0.008502988004183561	-39425.89580860666	-5470.802113650711	-1144.1555502311278
140000	-45851.31554696709	-6612.441604688381	-39238.87394227871	2.3055758531016624	2013.4991740418084	88.85462874233541	12.977277467446418	0.7116656525149383	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010816665393021948	0.001011929107650837	8.841057007302889E-4	8.577050512471802E-4	0.8303325805762265	0.02713845724606741	-39238.87394227871	-5470.802113650711	-1135.5182664659449
145000	-45764.180074476295	-6603.490860428008	-39160.68921404829	2.3696031360030347	2013.435146758907	88.65020190480017	9.91962500193417	0.42302360631340563	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007636272490609581	0.0010256482629462972	8.475761810840472E-4	8.686272644313619E-4	0.8061862493131401	0.019487182064880856	-39160.68921404829	-5470.802113650711	-1126.8537710187586
150000	-45661.779857914706	-6593.327191167429	-39068.452666747275	2.308176527700092	2013.4965733672097	87.12187849033344	11.505769900600352	0.695235228286643	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03090289298528825	9.881023184352777E-4	8.235476591876249E-4	8.593346103121526E-4	0.8009593994452212	0.0010262722142110612	-39068.452666747275	-5470.802113650711	-1116.3862035248965
155000	-45533.530055468174	-6594.485666136596	-38939.04438933158	2.3404949756774083	2013.4642549192326	86.98314122275242	12.293228029920348	0.7363496374491199	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019710736620234263	0.0010242672401252933	0.0010280347124053076	8.619366783239555E-4	0.9253335522610291	0.03444438343189826	-38939.04438933158	-5470.802113650711	-1117.503548302842
160000	-45395.16227888958	-6596.888339001357	-38798.27393988822	2.3120724280933715	2013.4926774668165	87.03463384906898	9.805999074762322	0.5297445410097608	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06072061382408636	9.596497693039615E-4	9.433851985946961E-4	8.146682012596973E-4	0.9060670156907594	0.01424264423159592	-38798.27393988822	-5470.802113650711	-1120.0695346275731
165000	-45387.725950984364	-6596.664715441702	-38791.061235542664	2.4192928069962756	2013.3854570879137	87.2201901712124	10.330913752854483	0.5380325906265109	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025836518865506412	9.580856371830992E-4	8.735040991293124E-4	8.287045964176002E-4	0.8887152460721081	-0.004520040380673454	-38791.061235542664	-5470.802113650711	-1119.9094344280725
170000	-45305.23925337329	-6583.480086320333	-38721.75916705296	2.4640496363780353	2013.340700258532	86.28485094397442	11.394680177777303	0.6289677636092719	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004627345719231164	8.92761208365609E-4	7.752216045208406E-4	7.915964427400159E-4	0.833148199864878	0.010865920865320884	-38721.75916705296	-5470.802113650711	-1106.713023445903
175000	-45180.91933459876	-6579.975020994379	-38600.94431360438	2.428605287407316	2013.3761446075027	85.9323046302645	9.391749895201498	0.4638745783710476	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004308692608671123	9.577801629995574E-4	0.0010210480817969202	8.370254070840613E-4	0.970862495372702	0.03467307307370587	-38600.94431360438	-5470.802113650711	-1103.3305019984311
180000	-45085.694295167166	-6567.253845198572	-38518.44044996859	2.3653463994074855	2013.4394034955026	83.84440302971981	7.925507733245271	0.2956203203987007	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005225489081481032	9.933264632379128E-4	0.001063216550579088	8.375554444237592E-4	0.9991662362878059	0.08227745405002998	-38518.44044996859	-5470.802113650711	-1090.7441353208337
185000	-45008.728312642765	-6566.456639115606	-38442.27167352716	2.4145473494755567	2013.3902025454345	84.58751908845055	6.524064985576197	0.18285809751856896	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0068963338559379795	0.0010083317007538067	0.0011265874615641977	8.336845094905908E-4	1.024716277787903	0.03466576477674067	-38442.27167352716	-5470.802113650711	-1090.051081711668
