# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 12:50:43 AEDT 2019 [seed=1576547440340]
# -overwrite Liberia_subset_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-68738.7866238406	-3415.586465309269	-65323.200158531334	3.7854492410797325	2012.5413687496703	28.129194099402135	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.2905361394999266	1.1010401718258183	-0.024985650289037722	-65323.200158531334	-3136.17843910797	-261.7505907242629
5000	-43222.89526527763	-3717.3936169961	-39505.501648281526	3.69684397774018	2012.6299740130098	54.70393393164303	2.1405639285668476	-0.2744474627214424	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.060052139461763514	0.00793513414833126	0.05267649618672986	0.0015432007189011725	2.669034513479847	-0.03135648816573826	-39505.501648281526	-3136.17843910797	-573.6610094010796
10000	-42262.48993340522	-3762.5004094657215	-38499.9895239395	3.504822651093643	2012.8219953396563	54.92428973953663	2.4092950481509843	-0.40064111468880226	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04853579500476456	0.005306328411805095	0.020205410677038054	0.0013899486022511548	1.9570532760803943	-0.063834076208908	-38499.9895239395	-3136.17843910797	-619.1078982984557
15000	-41728.375218613175	-3810.070136179645	-37918.30508243353	3.310985003845814	2013.0158329869041	57.363371604195976	2.18174200013768	-0.4771454629900789	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04039182335067405	0.004235409834814995	0.014084392959538117	0.001355617390699957	2.169916889042308	9.347350573789468E-4	-37918.30508243353	-3136.17843910797	-666.8186980364989
20000	-41455.83460979428	-3791.1194426060447	-37664.71516718823	3.0457783290305556	2013.2810396617194	52.46950713427078	2.4554123137337194	-0.42579229588666023	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023338186691776206	0.003907087490168629	0.011438998885803053	0.001384436713693526	1.8297892967873521	-0.04492647341032061	-37664.71516718823	-3136.17843910797	-647.9951098310405
25000	-41108.12105433875	-3794.2107162924817	-37313.91033804627	3.463536498669266	2012.8632814920807	53.69637858265588	2.8110039133824016	-0.29571445080956127	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04913601099021482	0.003492668491498895	0.009493062562611983	0.0013647969774941004	1.702274417737976	-0.022400761366037265	-37313.91033804627	-3136.17843910797	-651.2557790379406
30000	-40879.97721299428	-3794.396324925112	-37085.58088806917	3.308346244828535	2013.0184717459215	52.22277005294453	2.5376684847858186	-0.41722413962474136	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02160034165104197	0.0027310510606514547	0.005842641606498419	0.0013374030276785567	1.4349951625511432	-0.04946824266289027	-37085.58088806917	-3136.17843910797	-651.5399001957851
35000	-40754.041818699894	-3791.0953904817247	-36962.94642821817	3.177096788897801	2013.1497212018521	51.922451868991416	4.867083572566781	0.08400133684837408	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03806705231558815	0.002574682861147618	0.005752019384916987	0.0012619553349703183	1.473386644396018	-0.03647173831059231	-36962.94642821817	-3136.17843910797	-648.575039341348
40000	-40585.90259034085	-3812.765894014205	-36773.13669632664	4.38237615533065	2011.9444418354194	57.66483525890007	7.204137893763654	0.20381180912670405	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026448828241403217	0.002146893152207568	0.004533594730201121	0.001084915070552509	1.431581295548768	0.017019254402197655	-36773.13669632664	-3136.17843910797	-670.3057847930102
45000	-40496.40835369418	-3833.451133243235	-36662.957220450946	4.459716177123862	2011.867101813626	59.05629278240888	9.231613461275774	0.2381646613338242	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025356356404500652	0.001916948480097636	0.003294886765981812	0.0010906791993806567	1.2765773152695437	-0.0616109731766752	-36662.957220450946	-3136.17843910797	-691.041709692053
