# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:57:10 AEDT 2019 [seed=1576857426228]
# -overwrite Liberia_subset_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-52710.26114751519	-3405.179390380559	-49305.081757134634	0.9952399822924471	0.9952399822924471	10.200554641783418	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0016332819123626538	6.558398035621758	-0.004014368327802178	-49305.081757134634	-3136.17843910797	-256.5866280962871
10000	-42769.08103626014	-3979.17392485193	-38789.90711140821	2.073030086946466	2.073030086946466	62.281250247716336	13.435140334951805	1.157296846470696	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006653818219262934	0.005	0.01571777072534628	0.0013354259947561558	2.262711876783938	0.014954730100634805	-38789.90711140821	-3136.17843910797	-831.3632804211694
20000	-41910.54258033011	-3994.0503842847397	-37916.49219604537	2.083618570929022	2.083618570929022	64.73462323577381	13.685459026841826	1.2406406116215931	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009338452484399414	0.005	0.01827190783940921	0.0012188347789494432	2.1830432562100084	0.08360880364601266	-37916.49219604537	-3136.17843910797	-846.1433619057689
30000	-41407.3911398493	-3983.422528971845	-37423.968610877455	2.4550821882655423	2.4550821882655423	62.336433464628705	12.312720779535484	1.1686042220502728	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014890505580771972	0.005	0.019223249446258563	0.0011371614120498684	2.2283617989167106	0.06877651877957724	-37423.968610877455	-3136.17843910797	-835.5735985788149
40000	-40990.898830361446	-3992.832540615219	-36998.066289746224	2.784708322453386	2.784708322453386	65.39074214288702	14.944194820311978	1.3348405793741145	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03208007226255018	0.005	0.02458387654008206	9.949347845587305E-4	2.5857573328396493	0.04413687056573466	-36998.066289746224	-3136.17843910797	-844.7668865354791
50000	-40782.186411351584	-4009.800211060314	-36772.38620029127	2.2831442905769457	2.2831442905769457	67.54603358439182	16.022035004246717	1.5501593150228978	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008024059843222976	0.005	0.028374326786599707	9.486941542400549E-4	2.876572904609244	0.06104445138095935	-36772.38620029127	-3136.17843910797	-861.5559681406224
60000	-40510.092675628315	-3993.579412200749	-36516.513263427565	2.2420297244543574	2.2420297244543574	62.27935754157105	14.066452617390128	1.5937390301126935	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03181919744525071	0.005	0.027290667987265788	0.0010502577273651273	2.749771598584854	0.05710361348534019	-36516.513263427565	-3136.17843910797	-845.2472698229857
70000	-40216.01980397507	-3986.5019446421084	-36229.51785933296	2.6824601812594895	2.6824601812594895	60.324500094428934	14.832019056885443	1.7753287090674519	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02357425616660612	0.005	0.03063691744236649	9.775564223487379E-4	2.5990670153461592	0.07013266486152357	-36229.51785933296	-3136.17843910797	-837.9946560639179
80000	-39862.98206175003	-3983.60808696367	-35879.37397478636	2.6579870926497553	2.6579870926497553	58.68404017274639	14.125913693650839	1.626062289199109	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.020115194843760804	0.005	0.031576613400703245	0.00101328631370929	2.6165102287956103	0.07559221380767174	-35879.37397478636	-3136.17843910797	-835.2541709011723
90000	-39589.75218848769	-3988.261569670799	-35601.49061881689	2.434207882341159	2.434207882341159	59.09705646869407	15.490876854328155	1.8231284597546689	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01369907566560325	0.005	0.031496480729109134	9.835882457431494E-4	2.734645913314128	0.045023765509602846	-35601.49061881689	-3136.17843910797	-839.723646424485
