# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jan 04 22:03:12 AEDT 2020 [seed=1578135787768]
# -overwrite guinea_subset_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-82138.6863819118	-472.7559452641523	-81665.93043664764	2.263147693782104	2.263147693782104	15.51223143079248	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.0049999999999999975	-81665.93043664764	0.0	-460.24300979918206
20000	-51360.58194792839	-1726.4820632404706	-49634.099884687916	2.2004242795387023	2.2004242795387023	133.45710300873262	51.92609381993772	2.2725083726766053	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028113328847649725	0.005	0.005000000000000004	-49634.099884687916	0.0	-1712.6398834841902
40000	-47116.82253133166	-1674.6902478045247	-45442.132283527135	1.5007071545536335	1.5007071545536335	115.61119521012859	59.33377473711375	3.77502178305065	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0293747867169421	0.005	0.005	-45442.132283527135	0.0	-1659.3429576453225
60000	-44604.17401987988	-1542.9455585569208	-43061.22846132296	1.0462801933607313	1.0462801933607313	83.60392022852885	43.527680617581524	4.978237432872915	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03713543185329455	0.005	0.004999999999999996	-43061.22846132296	0.0	-1526.3796895185649
80000	-42960.97711242875	-1374.014047119571	-41586.96306530918	0.8117398938405647	0.8117398938405647	55.12323261145351	26.73386753374975	7.548513998043045	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0039473958384752235	0.005	0.005000000000000006	-41586.96306530918	0.0	-1354.9444455262053
100000	-41485.74767553194	-1231.0564601828457	-40254.69121534909	0.6026724540874695	0.6026724540874695	38.43033648441179	17.82934757419876	9.368117638340623	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033632768296648075	0.005	0.0049999999999999906	-40254.69121534909	0.0	-1210.1079732494659
120000	-40552.806731826684	-1135.0370822337045	-39417.76964959298	0.4796379909313196	0.4796379909313196	30.424306081387243	13.425221753709106	11.345304528166226	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04047415392290138	0.005	0.0049999999999999906	-39417.76964959298	0.0	-1112.0977696805046
140000	-39811.53744669887	-1054.1230491704016	-38757.41439752847	0.42431786285782075	0.42431786285782075	24.885968398929116	9.16575262901948	12.350204408017934	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033251511203089126	0.005	0.005000000000000006	-38757.41439752847	0.0	-1030.193324617481
160000	-39333.339087441535	-991.1174948006745	-38342.22159264086	0.3729181055286508	0.3729181055286508	21.189379182459128	8.594501037197025	14.788307864963397	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03439323815550557	0.005	0.0050000000000000044	-38342.22159264086	0.0	-964.7473890494196
180000	-39004.09770572401	-930.9868052042193	-38073.11090051979	0.294871297308445	0.294871297308445	18.33911572930893	6.502740967328671	15.746307683831924	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.045223387485288515	0.005	0.005	-38073.11090051979	0.0	-903.6370602530369
200000	-38733.13658906373	-913.117793495385	-37820.01879556834	0.298778738239494	0.298778738239494	17.326427984418018	6.891919017704782	18.748727462805398	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005772893830049179	0.005	0.0049999999999999975	-37820.01879556834	0.0	-882.8445258607591
220000	-38584.89310151262	-863.6356469518013	-37721.25745456082	0.26870953895017896	0.26870953895017896	15.30877749296943	5.951736564767947	19.580874711081854	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030634999961821875	0.005	0.005000000000000003	-37721.25745456082	0.0	-832.4805172584599
240000	-38485.45043676847	-873.2094018120147	-37612.24103495646	0.2744220804361124	0.2744220804361124	15.55503960157561	6.8088359274445365	22.385366562058273	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019853501641089056	0.005	0.005000000000000007	-37612.24103495646	0.0	-839.2713346933448
260000	-38429.367876589895	-869.2937480294842	-37560.07412856041	0.2487037333007509	0.2487037333007509	15.058417628167357	8.769795255970735	28.113730172329056	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.020545813235658076	0.005	0.004999999999999995	-37560.07412856041	0.0	-829.625913067761
280000	-38295.238571785914	-844.8278136587984	-37450.41075812712	0.2692977617210183	0.2692977617210183	14.572938116399758	5.228972674500122	18.918159547865137	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.038443948896889076	0.005	0.004999999999999994	-37450.41075812712	0.0	-814.3197884584425
300000	-38094.28352529126	-839.9816162028428	-37254.30190908842	0.2116725187690012	0.2116725187690012	14.130843359435815	5.469071019089207	22.83661001386522	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.039579132407340435	0.005	0.0049999999999999975	-37254.30190908842	0.0	-805.5528677684825
320000	-37998.06345442984	-829.5359254927629	-37168.52752893708	0.23216835585694998	0.23216835585694998	13.85892563680116	5.9326753584261676	25.0573300200345	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05048326618087949	0.005	0.005000000000000013	-37168.52752893708	0.0	-792.8646441486428
