# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jan 04 22:10:28 AEDT 2020 [seed=1578136226209]
# -overwrite 2014.5-2015_sierra_leone_max200_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-61878.81773275802	-2591.0845492721746	-59287.73318348585	2.9358100542435324	2012.0637696010765	20.83508505963708	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.23603983235201328	1.2498429799764532	-0.0385274145470511	-59287.73318348585	-2382.607898103206	-192.49265813910418
20000	-38890.009310174784	-2790.799016801499	-36099.21029337328	2.422574373391344	2012.5770052819287	36.53806526473467	3.3067965362969485	0.3402581933516857	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03234681890861185	0.005197658611482691	0.016435226949060355	0.0015683611834268554	2.6512472868150163	0.05662562298347662	-36099.21029337328	-2382.607898103206	-400.9891884209982
40000	-38296.372244442784	-2803.2470298955536	-35493.12521454723	1.960815029296635	2013.0387646260235	33.52018493626606	3.7594507315256047	0.6413693921958197	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04505954591005191	0.004041534679816076	0.0115473237373099	0.0016061369000485535	2.3874971969888517	0.02345893612561816	-35493.12521454723	-2382.607898103206	-413.2624519238481
60000	-37903.76386265461	-2797.305561455857	-35106.458301198756	1.1570430711047661	2013.8425365842154	29.500296982396204	9.541220258943463	2.885346792178704	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0046421890236617224	0.0031150760908907503	0.007355647507556896	0.0017117985322367716	2.0362577157683655	-0.024513920458883072	-35106.458301198756	-2382.607898103206	-405.28024705382165
80000	-37463.34735110952	-2811.9601122965246	-34651.387238813	1.1090953655290485	2013.890484289791	30.558915258577862	21.77416314282814	4.64705504223506	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005216402747100406	0.0019785968264700174	0.0021655857497769153	0.0015569255805951468	1.1232576028175494	0.019091744329830566	-34651.387238813	-2382.607898103206	-418.46338186834464
100000	-37155.06181788067	-2824.616891777904	-34330.44492610276	1.186543465911881	2013.8130361894082	31.94447524286949	15.324580177274868	3.7344200908730714	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04858071803141064	0.0016502031519943189	0.0018187402413843885	0.001306392066926518	1.046913202502739	0.09795949141324778	-34330.44492610276	-2382.607898103206	-432.06783774991203
120000	-36799.30651672509	-2828.3841310445473	-33970.92238568054	1.1778982589936218	2013.8216813963265	32.40441323338317	21.43269356938637	4.297615049788075	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.029669366679574344	0.0016215088013047906	0.0021891964490919364	0.0012331280991288056	1.1755399835003526	-0.031184824917438875	-33970.92238568054	-2382.607898103206	-435.3246214958272
140000	-36521.17424226329	-2842.0855121470345	-33679.08873011625	0.8259699255572764	2014.1736097297628	32.33510805688907	36.745050952073726	5.611981096519138	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.021379743501816054	0.0017233033674626122	0.0023954682039400784	0.0012505478043464972	1.2266930245362038	-0.08393446686403767	-33679.08873011625	-2382.607898103206	-447.69275120750996
160000	-36400.21553582793	-2857.273906019541	-33542.94162980839	0.8555650578623253	2014.1440145974577	33.759926234709475	24.50062080808896	4.354502316871299	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07056489113447253	0.0016920927284283184	0.0033191363699842055	0.0010587276787732182	1.681903217958953	-0.06015658234634577	-33542.94162980839	-2382.607898103206	-464.06690220696606
180000	-36277.17473784243	-2846.5650282396664	-33430.609709602766	0.8816528199728719	2014.1179268353471	32.77172119266856	35.09030064407859	5.544716331153804	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.051974763819313735	0.001552403622123484	0.0023602769971995652	0.0011698732106962537	1.3232436281362063	-0.007169300309419914	-33430.609709602766	-2382.607898103206	-452.24223789076564
200000	-36093.09256960322	-2852.2035752381403	-33240.88899436508	1.06248211513225	2013.9370975401878	34.03059326490567	33.158713149101516	4.831957726974359	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007911518990755758	0.0013480044383121711	0.002180745588164722	0.0010458094785714008	1.4068073577626696	0.01281726610501598	-33240.88899436508	-2382.607898103206	-458.7766659840705
220000	-35954.02173234283	-2856.2766019022506	-33097.74513044058	0.8988926862314327	2014.1006869690887	34.70238702493848	29.27273457697239	4.743688654879274	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06428247138990625	0.001034210634513264	0.0013588319625947483	9.418972248348271E-4	1.0918709283661021	0.05823697897259424	-33097.74513044058	-2382.607898103206	-462.97997592630463
