# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 13:03:27 AEDT 2019 [seed=1576721003490]
# -overwrite 2014.5-2015_sierra_leone_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-48082.16911462693	-2582.570135266351	-45499.59897936058	2.18400973523258	2012.8155699200875	19.33681089083934	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0068578230091344925	6.363944427991508	-0.024332097142890714	-45499.59897936058	-2382.607898103206	-187.54791398684262
5000	-40262.33222239785	-2918.0355242632313	-37344.29669813462	2.6000048748736875	2012.3995747804463	51.830961289449924	4.458924547097666	-0.2068952396188235	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.14276080880008707	0.005	0.020051516752037483	0.0014230183426480595	2.8116339261478043	-0.0025252562809560102	-37344.29669813462	-2382.607898103206	-524.4606969870028
10000	-39564.89445100096	-2916.577220326622	-36648.317230674336	2.535553701026364	2012.4640259542937	50.439754882388144	7.565353804780299	0.6914977693307078	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0463885835184885	0.005	0.018303185856774172	0.0014488865060962126	2.8425290715323768	0.011230851054000807	-36648.317230674336	-2382.607898103206	-522.7157488996377
15000	-39226.04109738937	-2924.4528799172163	-36301.58821747215	2.7612290587988677	2012.2383505965213	51.378515405134266	10.23478173162507	1.1552611196273967	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01851146519913336	0.005	0.020180230816115346	0.0013228970796726367	3.0440623472033406	-0.009813598012493631	-36301.58821747215	-2382.607898103206	-530.1777415474166
20000	-38955.70085797452	-2922.452431342802	-36033.24842663172	2.535707835983371	2012.4638718193366	49.363684740307605	9.719874384609327	1.1038951848878535	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01707218487195034	0.005	0.023620336976343394	0.001202885474015805	3.538431316084986	0.005267857940803043	-36033.24842663172	-2382.607898103206	-528.2212222989889
25000	-38797.564719561655	-2907.977326196215	-35889.58739336544	2.4778400905182014	2012.521739564802	47.268366469383565	8.980076170700508	1.278768442462792	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013296469806501277	0.005	0.021697512446805504	0.001204359125478025	3.36151060020922	0.004904886243934639	-35889.58739336544	-2382.607898103206	-513.5845711965289
30000	-38644.25849778541	-2916.620946482046	-35727.63755130336	2.2544662855331197	2012.7451133697868	48.409838420760295	6.861390866608028	0.5946836531669855	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.011315243276036007	0.005	0.024504827447337025	0.0012115759876653463	3.634692011945035	-0.020231843441537365	-35727.63755130336	-2382.607898103206	-522.9078379665679
35000	-38458.76497362662	-2906.0973035390925	-35552.667670087525	3.1807513392690803	2011.818828316051	48.707796472877384	7.153385728670226	1.0293871231115919	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008449204591753906	0.005	0.025306775509533506	0.001112617979342641	3.848908119400814	-0.015417624461858221	-35552.667670087525	-2382.607898103206	-511.95281486690334
40000	-38382.97362938886	-2905.6968516560087	-35477.276777732855	2.88042743149335	2012.1191522238266	45.89362550802772	7.159173850849111	0.7353757110731229	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010247823420635098	0.005	0.024060551200904418	0.0012632700023865067	3.6907119520184097	-0.022560333444584885	-35477.276777732855	-2382.607898103206	-511.8465157732448
45000	-38249.500753191554	-2915.1839616800053	-35334.31679151155	3.4806616076486794	2011.5189180476714	48.21827227402264	8.940010694728896	1.1921189508225642	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0163945997734781	0.005	0.030814478920241143	0.0010618320146833053	4.300887414457671	-0.027888258608333487	-35334.31679151155	-2382.607898103206	-520.8443094132597
