# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 13:08:18 AEDT 2019 [seed=1576721295593]
# -overwrite 2015.5-2016_sierra_leone_max200_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-42186.41718147201	-130.67135980194965	-42055.74582167006	1.6347349239706719	2014.0903596535793	12.495316840596743	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.0049999999999999975	-42055.74582167006	0.0	-118.15842433697941
5000	-33631.42194744373	-249.3761321920665	-33382.04581525166	1.1819214246103305	2014.5431731529395	19.466735544128692	8.660992731682718	2.8435692616427986	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04112560640386416	0.005	0.004999999999999999	-33382.04581525166	0.0	-234.93729964271844
10000	-31979.81753509624	-200.54208640264085	-31779.2754486936	1.023224781478688	2014.7018697960714	14.477506279298854	4.107226581879912	2.5423697505660563	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.049842208673754065	0.005	0.005000000000000003	-31779.2754486936	0.0	-186.38706569749124
15000	-31184.049187303528	-158.65607645133753	-31025.39311085219	0.6299550867235583	2015.0951394908263	10.351514819216808	2.5717306430749995	2.3574211866770782	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03523552614048456	0.005	0.005000000000000001	-31025.39311085219	0.0	-144.7152330301028
20000	-30805.660489056514	-124.31062161723897	-30681.349867439276	0.488403785785565	2015.2366907917644	8.049809376979775	2.4752296583813598	4.353309627385499	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03706220535624143	0.005	0.005	-30681.349867439276	0.0	-108.37023736187417
25000	-30311.48190074725	-91.19589412484439	-30220.286006622406	0.5025981622739305	2015.222496415276	6.859905216160887	1.7786315528394392	4.015366526077353	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05589351684997897	0.005	0.004999999999999995	-30220.286006622406	0.0	-75.55579731378131
30000	-30094.65023749753	-68.260029076378	-30026.390208421155	0.46726393968573987	2015.2578306378641	6.122876832490099	0.9840747096483097	1.678955088117828	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06418485768899092	0.005	0.004999999999999998	-30026.390208421155	0.0	-54.93976896716487
35000	-29930.30850232588	-51.54207472782399	-29878.766427598057	0.48549443339471166	2015.2396001441552	5.780705249981172	0.4687356880995936	-0.128724066289307	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07532159783412455	0.005	0.004999999999999996	-29878.766427598057	0.0	-39.74977731353932
40000	-29903.224544846853	-37.639328568123986	-29865.58521627873	0.40864576831041477	2015.3164488092395	5.2350572200012815	0.44549421802533873	-0.3153008079335271	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02999597003203195	0.005	0.005000000000000005	-29865.58521627873	0.0	-25.751105900213982
45000	-29862.03146870103	-26.05130245212763	-29835.9801662489	0.4227402551612573	2015.3023543223887	4.954000441784396	0.3380970115349637	-1.1097515548308328	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0672913809634449	0.005	0.005000000000000002	-29835.9801662489	0.0	-13.294039289429563
