# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 03:04:13 AEDT 2019 [seed=1576857851547]
# -overwrite ebola_2018Public_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-101631.48980076329	-72.17370566921132	-101559.31609509408	2.528261028446789	2.528261028446789	9.091547257430342	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.004999999999999999	-101559.31609509408	0.0	-59.66077020424109
10000	-31924.106608499183	-89.7161957146211	-31834.390412784564	2.402395409199125	2.402395409199125	10.516591252413855	1.0275372862385248	-0.4004813390317232	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026148589454924088	0.005	0.005	-31834.390412784564	0.0	-77.75048145633643
20000	-31684.188260949482	-41.99851181780188	-31642.18974913168	1.8996626789219122	1.8996626789219122	7.522823452920026	0.5086726783087485	-0.15166127904918647	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06625913800940648	0.005	0.005000000000000002	-31642.18974913168	0.0	-30.201401711036866
30000	-31646.919755886527	-44.23314111917787	-31602.68661476735	1.8629060697087791	1.8629060697087791	7.442035568075934	0.4982540600758888	-0.8344032920494946	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005043792411012246	0.005	0.0049999999999999975	-31602.68661476735	0.0	-31.875719794795526
40000	-31572.546663965502	-42.63234705290031	-31529.914316912604	2.052092988135814	2.052092988135814	7.6276438772152595	0.5890620599795228	-1.060531485802875	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07683204389297509	0.005	0.004999999999999998	-31529.914316912604	0.0	-29.905220123720657
50000	-31572.952480064916	-38.05311828801253	-31534.899361776905	2.3878729299023465	2.3878729299023465	8.420632345962936	0.42229314856438965	-0.8922848866338171	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02107111290303173	0.005	0.004999999999999999	-31534.899361776905	0.0	-25.605761487670932
60000	-31567.177424660356	-30.358458977112782	-31536.818965683244	1.8786734927562443	1.8786734927562443	6.911596527770688	0.3395957556299245	-0.5173017451406103	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013886021983444078	0.005	0.005000000000000002	-31536.818965683244	0.0	-18.3004563270775
70000	-31577.586287469792	-35.007076598343545	-31542.57921087145	1.8601462935250757	1.8601462935250757	7.027956687919181	0.5348582090722239	-0.12429828860558234	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004979410032242257	0.005	0.005000000000000001	-31542.57921087145	0.0	-23.35988867612116
80000	-31573.023692382092	-43.75666851542832	-31529.267023866665	2.132698039105648	2.132698039105648	7.912493154861526	0.5011218120466598	-1.6111056697062578	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0035853240056512403	0.005	0.005	-31529.267023866665	0.0	-30.625461721522413
90000	-31587.472190549754	-42.215774191319255	-31545.256416358436	2.106861285126165	2.106861285126165	8.002543412867716	0.4950311014449339	-0.6441897440038304	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.021839724826838814	0.005	0.005000000000000003	-31545.256416358436	0.0	-30.014974582380507
100000	-31583.94185816949	-50.50069140448021	-31533.441166765013	2.014084978406727	2.014084978406727	7.873824199523849	0.4616925975063278	-0.7091537636243754	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03251256494838532	0.005	0.0049999999999999975	-31533.441166765013	0.0	-38.21358242906285
110000	-31562.22986075211	-30.33195165371206	-31531.8979090984	2.011834642999465	2.011834642999465	7.141042598592849	0.3706126876529445	-0.763245289745971	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.049931861270865734	0.005	0.005000000000000001	-31531.8979090984	0.0	-17.955913470327253
120000	-31577.763497255033	-33.793124709785374	-31543.97037254525	2.092286685108289	2.092286685108289	7.848759128521136	0.5370866060587802	-0.807716836336263	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.049834086377941116	0.005	0.005000000000000001	-31543.97037254525	0.0	-21.372808864856935
130000	-31569.453239413953	-45.634003154499965	-31523.819236259453	1.9199497125716183	1.9199497125716183	7.236063159263102	0.4890180492335781	-2.17785724142764	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09129889408341499	0.005	0.005000000000000002	-31523.819236259453	0.0	-31.76061776975477
140000	-31536.43432675835	-29.855471196927397	-31506.578855561424	1.9125931804035927	1.9125931804035927	6.928396362479011	0.4929224486234118	-0.33086835827584093	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03679107603130633	0.005	0.004999999999999996	-31506.578855561424	0.0	-17.93809029239423
150000	-31545.053773926993	-28.696896552483608	-31516.35687737451	1.9852226020862578	1.9852226020862578	7.228089511967037	0.4856452385213513	-0.9962752003387005	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06625419013790047	0.005	0.005000000000000003	-31516.35687737451	0.0	-16.05518265044649
160000	-31535.693130769956	-38.80262348375908	-31496.890507286196	1.922884380684495	1.922884380684495	7.329344062128713	0.41635690426690747	-0.32129298854378807	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007735015089980645	0.005	0.004999999999999997	-31496.890507286196	0.0	-26.95293083649606
170000	-31544.267713551617	-35.34522149140619	-31508.92249206021	1.929487843245769	1.929487843245769	7.224680761393958	0.3899286325594	-1.5457579593135695	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03299028049938859	0.005	0.005	-31508.92249206021	0.0	-22.22055360683729
180000	-31543.00336508766	-34.12779046692522	-31508.875574620735	1.8691871046969535	1.8691871046969535	7.130136093393477	0.47619369553805163	-0.11006519403770354	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008519108413609474	0.005	0.005	-31508.875574620735	0.0	-22.487756829153117
190000	-31560.948262820206	-42.9028024966906	-31518.045460323516	1.9094196263507879	1.9094196263507879	7.476739711239512	0.5765890456024086	-0.8805657525231321	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.011314281180060837	0.005	0.004999999999999998	-31518.045460323516	0.0	-30.48667695094666
200000	-31559.03120373362	-42.721412626346606	-31516.309791107273	1.8120777134429429	1.8120777134429429	7.299067172579309	0.5012099235023382	-0.7653766828576802	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004050366559419139	0.005	0.004999999999999998	-31516.309791107273	0.0	-30.435004733300627
210000	-31553.992378153234	-34.24863716312149	-31519.743740990114	1.8960196949575714	1.8960196949575714	7.19297218839739	0.4468416779874866	-0.5396334071131801	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0387626353314233	0.005	0.0049999999999999975	-31519.743740990114	0.0	-22.118548551958455
220000	-31544.19445467585	-36.94779343128727	-31507.24666124456	1.8041275145695468	1.8041275145695468	7.037478426390051	0.4189406969876486	-0.7895991276873393	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02951894473024104	0.005	0.005000000000000003	-31507.24666124456	0.0	-24.58622675976225
230000	-31546.103493614744	-36.143960023804894	-31509.95953359094	1.792026494284756	1.792026494284756	7.017287550033607	0.4278543291772648	-1.3787218374723182	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005540048927268992	0.005	0.005	-31509.95953359094	0.0	-23.24122834496452
240000	-31548.066529375777	-35.73556625095293	-31512.330963124823	2.085379603089703	2.085379603089703	7.5294711281088125	0.4306454159679152	-1.0453958855482857	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01708148388560724	0.005	0.004999999999999998	-31512.330963124823	0.0	-23.143077626209035
250000	-31554.563839990446	-33.20548162836099	-31521.358358362086	1.888872419144183	1.888872419144183	6.869651428345801	0.41035100054285767	-0.7744699956430867	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03215819355835813	0.005	0.004999999999999998	-31521.358358362086	0.0	-20.853765677120958
260000	-31548.287448129813	-37.31937363872443	-31510.968074491087	1.820211828777804	1.820211828777804	7.074826819844209	0.39949866010008256	-0.9288934686603421	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06773332881399623	0.005	0.005	-31510.968074491087	0.0	-24.742084052479267
270000	-31563.641939739682	-40.96146410554337	-31522.680475634137	1.9851454740843655	1.9851454740843655	7.396420396586063	0.48789109067775227	-1.3473310239300211	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012607403723177816	0.005	0.004999999999999999	-31522.680475634137	0.0	-28.075987930285855
280000	-31561.882190524964	-41.691026126418265	-31520.191164398548	1.8322401290503751	1.8322401290503751	7.072468302176173	0.5031369181454285	-0.3035586643956154	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07180962564434006	0.005	0.004999999999999999	-31520.191164398548	0.0	-29.730917714394558
290000	-31543.11437568047	-32.585693871819636	-31510.52868180865	1.9094465551568522	1.9094465551568522	7.163215221791313	0.5088950976973049	-0.44928797968892686	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07814191506649412	0.005	0.004999999999999999	-31510.52868180865	0.0	-20.467191508076517
300000	-31553.44207857369	-32.30282903884757	-31521.139249534845	2.0525031665778464	2.0525031665778464	7.43800384959517	0.5636474526431159	-0.5237501605295025	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09530159152913949	0.005	0.005	-31521.139249534845	0.0	-20.07554459381503
310000	-31537.741809655614	-27.969401900723184	-31509.772407754892	1.9791174889459304	1.9791174889459304	7.280937721337179	0.41898473251731	-0.18847878103524285	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06916658963139087	0.005	0.004999999999999998	-31509.772407754892	0.0	-16.129660285607606
320000	-31540.447391070822	-32.13934926592684	-31508.308041804896	2.069773804409686	2.069773804409686	7.651359071502526	0.47679280637904625	-0.33850211895081306	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.029873550812418652	0.005	0.005000000000000002	-31508.308041804896	0.0	-20.228169812452894
330000	-31539.911637975973	-30.679758726597562	-31509.231879249375	2.0954232797693235	2.0954232797693235	7.59441369891257	0.43816084381406667	-1.0943573641103066	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07445442347223945	0.005	0.005000000000000003	-31509.231879249375	0.0	-17.92356266896411
340000	-31543.808792728378	-31.36884769246427	-31512.439945035912	1.9125196106218325	1.9125196106218325	7.123096007850305	0.41307611065754074	-0.4989281640837886	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05422032076034075	0.005	0.005000000000000004	-31512.439945035912	0.0	-19.248549291128466
350000	-31538.05234936427	-27.624245937070825	-31510.4281034272	2.0419641335545236	2.0419641335545236	7.315098342129206	0.44496711149402696	-0.6200923086500083	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08141996631233105	0.005	0.005000000000000001	-31510.4281034272	0.0	-15.328383781154812
