# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 23 10:42:23 AEDT 2019 [seed=1577058142582]
# -overwrite ebola_2018Public_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-120769.7444517158	-941.3759589823529	-119828.36849273345	4.257280825576902	4.257280825576902	14.517078920992773	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	8.016376327173557E-4	5.869947437298675	-0.040690425503180215	-119828.36849273345	-836.3780941631686	-92.58354164288218
16000	-36225.65808669107	-1117.319411774896	-35108.33867491618	8.811299683682911	8.811299683682911	70.94257969799247	13.128713246380501	0.20815453331965417	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03952021541219244	0.005	0.05255116323889749	0.0013004211216043585	5.018158498645714	-0.024084011260386545	-35108.33867491618	-836.3780941631686	-270.0820246944321
32000	-34689.811367173636	-1125.6654704067696	-33564.145896766866	7.237247178233073	7.237247178233073	69.63944212325295	12.52913290358422	0.2792459013628872	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.032089767659117155	0.005	0.10107120716208036	9.338416120152832E-4	6.2003903851260045	-0.017808328153612888	-33564.145896766866	-836.3780941631686	-278.2262987178025
48000	-32809.75658719049	-1110.1895404435377	-31699.567046746954	10.092342324956853	10.092342324956853	66.2964245396024	11.844867807281787	0.19548786265078122	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0036055876950289883	0.005	0.16061239822245887	5.680670568518741E-4	7.191185449649449	-0.018141633530933003	-31699.567046746954	-836.3780941631686	-262.71247842268053
64000	-32805.86738930089	-1094.835316734855	-31711.032072566035	8.691073000623083	8.691073000623083	58.41349511463987	8.849471724312332	0.2511628665340382	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.058068970694476446	0.005	0.15060910528447033	6.614778866344544E-4	7.163192433544522	-0.0210129516971723	-31711.032072566035	-836.3780941631686	-247.2236927768906
80000	-32761.567333164836	-1074.7734714465287	-31686.793861718306	6.795323802231852	6.795323802231852	46.3160102752719	6.9433044840703815	0.06513184614576084	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033978341259948835	0.005	0.14853286027185955	8.719427463244414E-4	6.596090130954227	-0.023509569998081667	-31686.793861718306	-836.3780941631686	-227.40230756453192
96000	-32744.665982980594	-1066.979419114781	-31677.686563865813	9.23444781929495	9.23444781929495	54.81958109049405	4.456934711634187	-0.014377638444317054	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01901455758824229	0.005	0.22477579940655867	6.691701242712734E-4	7.541817921120565	-0.03815047347834892	-31677.686563865813	-836.3780941631686	-219.46023305412268
112000	-32756.23928058845	-1068.1629352759046	-31688.076345312544	7.349592829858974	7.349592829858974	48.66341078620252	5.15092783584893	-0.04771851361337509	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03911504921684128	0.005	0.2067949038567127	7.830487915585762E-4	7.554085477642459	-0.02116566199512257	-31688.076345312544	-836.3780941631686	-220.62414310353833
128000	-32748.799511652225	-1069.502793497503	-31679.29671815472	7.369715281634468	7.369715281634468	46.6086695241299	5.019832468889087	-0.005564277194963996	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04849590165707689	0.005	0.15468379043396177	8.15984730313318E-4	7.8761486649778805	-0.009293789009881122	-31679.29671815472	-836.3780941631686	-222.14372850789658
144000	-32624.932925005338	-1080.6165287642345	-31544.3163962411	6.583750068433181	6.583750068433181	50.1562331994988	5.607218910470583	-0.011147521802653992	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04097096086455494	0.005	0.1478819242814961	7.184125166383586E-4	7.129174450582081	-0.04205849806774929	-31544.3163962411	-836.3780941631686	-233.2873301361984
